Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au,is_synthetic,Au_ppm,East,North,Level
0.579,5.9399999999999995,12.590000000000002,913.4499999999997,0.79,0.05,1.44,0.05,23.269999999999996,16.850000000000005,38.24,8.79,9.71,5.219999999999999,13.84,0.13,0.9300000000000002,2.31,12.070000000000004,1.6699999999999997,1495.0300000000002,1.09,0.38,4.02,17.240000000000002,775.3099999999997,7.169999999999998,132.97,0.001,0.01,19.71,14.849999999999998,0.5,0.56,91.86000000000004,0.26,0.025,2.0200000000000005,0.33,1.9499999999999997,0.52,100.34000000000005,2.9400000000000004,13.7,78.38000000000002,27.810000000000002,0,0,0.011,6875.539,7952.171,901.279
0.591,1.17,60.550000000000004,42.84,0.28,0.005,10.050000000000002,0.4,5.680000000000001,5.06,11.030000000000001,3.5399999999999996,5.43,1.6599999999999997,3.12,0.08,0.41000000000000003,0.15,3.6900000000000004,0.41000000000000003,1958.9500000000005,1.37,0.02,0.49,2.4200000000000004,82.03,6.349999999999999,10.220000000000002,0.001,0.005,30.379999999999995,2.1500000000000004,0.5,0.19999999999999998,105.88999999999997,0.025,0.025,0.33999999999999997,0.04,0.19,0.27,22.139999999999997,0.49,3.37,56.42,10.169999999999998,0,0,0.012,10050.0,6372.0,1533.0
0.387,6.6800000000000015,12.17,993.0899999999997,1.9499999999999997,0.16,0.57,0.16999999999999998,54.3,0.9,10.830000000000002,2.76,12.14,0.73,14.939999999999998,0.13,2.16,2.9700000000000006,28.329999999999995,0.07,183.73,0.54,2.19,5.480000000000001,0.65,65.36000000000001,49.9,110.3,0.001,0.02,1.26,2.49,0.5,0.9300000000000002,183.07,0.7199999999999999,0.08,19.03,0.04,0.83,5.199999999999999,1.8100000000000003,0.54,16.730000000000004,71.17,78.87999999999998,0,0,0.0025,7256.961,3823.359,1200.709
0.073,8.78,8.819999999999999,598.9499999999998,1.21,0.15,2.3199999999999994,0.23000000000000004,37.76,13.72,20.979999999999997,14.729999999999997,20.44,3.4499999999999997,21.71,0.11,2.81,1.6399999999999997,19.52,1.17,912.7499999999995,0.64,2.46,8.379999999999999,8.939999999999998,681.39,15.360000000000003,69.31000000000002,0.001,0.37,1.9999999999999996,14.109999999999998,1.0,1.6000000000000003,386.48000000000013,0.62,0.068,7.880000000000001,0.41000000000000003,0.65,5.44,108.31000000000003,0.81,17.35,65.72,85.14999999999998,0,0,0.005,7484.0,6817.0,1293.0
0.087,8.469999999999999,2.33,927.51,1.54,0.08,2.85,0.05,39.29,4.879999999999999,6.610000000000002,5.33,7.94,2.44,19.02,0.08,1.75,2.4,19.58,0.61,515.1799999999998,0.32,1.82,7.460000000000001,1.72,503.9199999999998,11.729999999999999,97.99000000000002,0.001,0.23000000000000004,1.2,6.470000000000001,0.5,1.35,206.22000000000006,0.62,0.025,7.659999999999999,0.24,0.8500000000000001,1.85,39.68999999999999,0.9,15.279999999999996,47.79,56.35999999999998,0,0,0.0025,5274.881,6429.832,1240.0
4.863999999999999,0.58,3.23,41.419999999999995,0.18,0.05,0.03,0.05,0.26,0.32,21.32,1.68,1.68,0.48,1.4,0.025,0.05,0.23000000000000004,0.25,0.02,50.36999999999999,1.4100000000000001,0.02,0.05,1.31,9.53,3.6799999999999997,18.100000000000005,0.001,0.02,11.57,0.1,0.5,0.22,6.04,0.025,0.025,0.05,0.0025,0.14,0.05,12.46,0.1,0.11,7.43,0.5,1,0,0.921,4923.0,6645.0,1050.0
0.965,6.24,490.4700000000001,572.4399999999999,1.8100000000000003,0.49,0.08,0.07,41.14,0.38,3.1100000000000003,8.280000000000001,3.12,0.7199999999999999,11.559999999999999,0.025,2.45,2.4,24.439999999999998,0.13,97.46000000000002,2.45,0.1,4.719999999999999,0.55,87.88999999999999,25.89999999999999,154.43,0.001,0.05,11.689999999999998,3.04,0.5,1.1,21.270000000000003,0.56,0.025,17.850000000000005,0.08,1.33,3.5300000000000002,15.470000000000002,1.08,8.719999999999999,17.46,88.85,0,0,0.0025,5106.5,8327.524,355.0
0.352,12.77,27.169999999999998,1062.8999999999999,2.36,0.19999999999999998,0.03,0.08,46.709999999999994,2.6100000000000003,1.8399999999999999,20.140000000000004,2.7000000000000006,2.9700000000000006,33.95,0.08,5.09,7.1400000000000015,18.429999999999996,0.4699999999999999,202.80999999999995,9.060000000000002,0.07,13.399999999999999,0.41000000000000003,438.8699999999999,26.379999999999995,412.36,0.001,1.48,4.14,8.57,0.5,3.22,21.119999999999997,1.15,0.05,13.530000000000001,0.35,2.5699999999999994,4.869999999999999,39.18000000000001,1.8100000000000003,14.629999999999997,48.55,193.42999999999992,0,0,0.007,6362.176,6658.167,1292.0
0.064,10.03,0.8,305.45,0.8400000000000001,0.05,5.700000000000001,0.14,23.54,19.200000000000003,48.61999999999999,0.9,22.88,5.15,16.29,0.12,1.9999999999999996,0.81,8.969999999999999,2.9600000000000004,1163.21,0.8400000000000001,1.9099999999999997,3.64,14.180000000000001,951.5500000000004,5.09,4.82,0.001,0.01,0.6599999999999999,23.830000000000002,0.5,0.89,573.2400000000001,0.24,0.025,2.0200000000000005,0.49,0.05,0.55,171.68,0.21,19.930000000000003,75.27000000000002,72.28000000000003,0,0,0.0025,7118.649,9357.443,984.0
125.41900000000004,0.61,654.56,60.23,0.11,10.76,0.005,2.0599999999999996,11.479999999999999,1.07,15.819999999999999,0.33999999999999997,4139.629999999999,3.91,2.4100000000000006,0.05,0.05,0.26,5.05,0.02,50.93,91.90000000000003,0.01,0.21,0.76,73.26000000000003,201.77000000000004,11.44,0.001,1.2400000000000002,28.870000000000005,1.2,1.88,22.119999999999997,2.1500000000000004,0.025,0.9200000000000002,0.26,0.01,0.09,0.78,27.56,2.88,1.29,154.85999999999999,0.25,1,0,0.204,5635.487,3346.942,1112.64
0.087,6.920000000000001,2.9400000000000004,320.8699999999999,1.45,0.05,1.99,0.09,43.71999999999999,1.97,2.08,7.81,5.47,1.63,13.830000000000002,0.05,3.26,2.54,23.159999999999997,0.16,540.1000000000001,1.14,1.44,10.679999999999996,1.15,244.90999999999997,15.520000000000003,127.11999999999999,0.001,0.02,1.2800000000000002,3.5499999999999994,0.5,1.31,243.30999999999992,0.99,0.025,18.580000000000002,0.13,1.1,3.62,11.810000000000002,1.22,16.009999999999998,49.33,111.18999999999998,0,0,0.0025,8526.9,5998.63,1409.48
980.1549999999997,2.04,25.25,232.25,0.4,0.05,0.03,0.24,0.5,0.19999999999999998,7.419999999999998,4.460000000000001,18.569999999999997,0.69,4.58,0.025,0.05,1.09,0.25,0.08,39.76,8.650000000000002,0.04,0.1,1.02,65.13999999999997,22.250000000000004,61.24000000000002,0.001,0.02,43.28,0.32,16.47,0.19999999999999998,13.439999999999998,0.025,0.11299999999999999,0.13,0.01,0.6000000000000001,0.11,11.990000000000002,0.05,0.2899999999999999,37.02,1.4,1,0,74.766,6365.0,7602.0,924.0
0.24,8.189999999999998,2.74,351.0200000000001,0.9799999999999999,0.05,3.29,0.1,25.590000000000003,17.620000000000005,33.27,5.390000000000001,21.060000000000002,4.6499999999999995,18.330000000000002,0.07,2.13,1.29,12.09,1.88,753.6499999999997,0.78,2.21,6.410000000000001,11.140000000000002,698.24,9.910000000000004,34.910000000000004,0.001,0.01,2.28,16.460000000000004,0.5,1.16,376.77999999999986,0.36,0.025,3.2499999999999996,0.48,0.39,0.9799999999999999,149.97000000000006,0.64,13.7,99.95,69.31999999999998,0,0,0.0025,7134.0,6878.0,1192.0
41.99399999999999,4.450000000000001,23.639999999999997,209.07999999999993,0.63,0.1,0.07,0.75,16.12,6.01,13.339999999999998,4.61,39.02,3.38,8.520000000000001,0.09,1.4,1.23,7.710000000000001,0.86,1103.4500000000003,3.5099999999999993,0.04,2.8,4.15,318.36000000000007,453.75000000000017,83.82999999999998,0.001,0.005,37.42,6.349999999999999,1.08,0.81,10.600000000000001,0.22,0.272,4.06,0.15,0.8200000000000001,2.17,53.28999999999999,0.65,6.19,505.9499999999999,43.82999999999999,1,0,2.376,7347.0,7301.0,1265.0
0.338,7.019999999999999,10.2,385.89,0.49,0.24,2.81,0.4600000000000001,23.839999999999996,4.1,26.209999999999997,3.71,22.43,5.28,15.450000000000003,0.07,1.04,2.28,10.139999999999999,0.91,722.9099999999999,1.13,1.22,5.05,3.9800000000000004,778.81,11.079999999999998,159.75000000000006,0.001,0.07,5.42,14.869999999999997,0.5,1.8000000000000003,124.72000000000001,0.32,0.2919999999999999,2.1399999999999997,0.41999999999999993,1.22,0.58,109.21000000000001,1.4100000000000001,10.009999999999998,103.81000000000004,29.35000000000001,0,0,0.01,3943.527,6421.15,586.0
0.075,7.150000000000001,3.1899999999999995,532.8699999999998,1.29,0.16,1.75,0.19999999999999998,33.44,5.84,14.699999999999998,6.02,13.039999999999997,2.04,17.71,0.11,2.8400000000000003,2.19,19.89,0.77,400.29999999999984,0.1,1.03,6.839999999999998,5.879999999999999,304.89,26.019999999999996,86.66999999999999,0.001,0.005,0.9300000000000002,7.1899999999999995,0.5,1.97,75.01,0.6800000000000002,0.025,12.2,0.19999999999999998,0.8400000000000001,3.23,42.43000000000001,0.97,13.820000000000004,53.55,83.82,0,0,0.0025,7108.0,7442.0,1182.0
0.777,2.5699999999999994,39.839999999999996,67.32000000000001,0.38,0.16,0.01,0.16999999999999998,28.53,1.9400000000000002,22.220000000000002,2.1399999999999997,7.7799999999999985,1.18,5.51,0.05,0.9599999999999999,1.09,12.660000000000002,0.08,57.17,1.04,0.02,4.68,3.3500000000000005,116.71999999999994,31.990000000000002,55.02999999999998,0.001,0.01,2.98,3.4699999999999998,0.5,2.24,6.23,0.27,0.025,2.7100000000000004,0.15,0.54,0.54,30.789999999999996,1.97,4.64,37.39999999999999,21.910000000000004,0,0,0.0025,4375.362,7677.273,366.0
