Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au,is_synthetic,Au_ppm,East,North,Level,Au_Cu_ratio,Au_Ag_ratio,Au_As_ratio,Au_Sb_ratio,As_Sb_ratio,Cu_Ag_ratio,Pb_Zn_ratio,Bi_As_ratio,pathfinder_sum,pathfinder_mean,pathfinder_max
0.579,5.94,12.590000000000002,913.4499999999996,0.79,0.05,1.44,0.05,23.27,16.850000000000005,38.24,8.79,9.71,5.219999999999999,13.84,0.13,0.9300000000000002,2.31,12.070000000000004,1.6699999999999997,1495.0300000000002,1.09,0.38,4.02,17.240000000000002,775.3099999999997,7.169999999999998,132.97,0.001,0.01,19.71,14.849999999999998,0.5,0.56,91.86000000000004,0.26,0.025,2.0200000000000005,0.33,1.95,0.52,100.34000000000005,2.9400000000000004,13.7,78.38000000000002,27.81,0,0,0.011,6875.539,7952.171,901.279,0.001132852729145211,0.018998272884283247,0.0008737092930897536,0.0005580923389142566,0.6387620497209539,16.77029360967185,0.09147741770859909,0.003971405877680699,128.18900000000002,18.31271428571429,78.38000000000002
0.591,1.17,60.55,42.84,0.28,0.005,10.050000000000002,0.4,5.680000000000001,5.06,11.03,3.54,5.43,1.6599999999999997,3.12,0.08,0.41,0.15,3.69,0.41,1958.9500000000005,1.37,0.02,0.49,2.4200000000000004,82.03,6.349999999999999,10.220000000000002,0.001,0.005,30.379999999999995,2.1500000000000004,0.5,0.1999999999999999,105.88999999999996,0.025,0.025,0.3399999999999999,0.04,0.19,0.27,22.14,0.49,3.37,56.42,10.169999999999998,0,0,0.012,10050.0,6372.0,1533.0,0.0022099447513812156,0.020304568527918784,0.00019818331957060283,0.0003949967083607637,1.9930875576036868,9.187817258883248,0.11254874158099962,8.257638315441784e-05,159.72599999999997,22.817999999999994,60.55
0.387,6.6800000000000015,12.17,993.0899999999996,1.95,0.16,0.57,0.1699999999999999,54.3,0.9,10.830000000000002,2.76,12.14,0.73,14.939999999999998,0.13,2.16,2.9700000000000006,28.329999999999995,0.07,183.73,0.54,2.19,5.480000000000001,0.65,65.36000000000001,49.9,110.3,0.001,0.02,1.26,2.49,0.5,0.9300000000000002,183.07,0.7199999999999999,0.08,19.03,0.04,0.83,5.199999999999999,1.8100000000000005,0.54,16.730000000000004,71.17,78.87999999999998,0,0,0.0025,7256.961,3823.359,1200.709,0.00020593080724876442,0.006459948320413436,0.0002054231717337716,0.001984126984126984,9.658730158730158,31.36950904392765,0.7011381199943796,0.013147082990961382,147.187,21.026714285714288,71.17
0.073,8.78,8.819999999999999,598.9499999999998,1.21,0.15,2.3199999999999994,0.23,37.76,13.72,20.98,14.729999999999997,20.44,3.45,21.71,0.11,2.81,1.6399999999999997,19.52,1.17,912.7499999999995,0.64,2.46,8.379999999999999,8.939999999999998,681.39,15.360000000000005,69.31000000000002,0.001,0.37,2.0,14.109999999999998,1.0,1.6000000000000003,386.4800000000001,0.62,0.068,7.880000000000001,0.41,0.65,5.44,108.31000000000004,0.81,17.35,65.72,85.14999999999998,0,0,0.005,7484.0,6817.0,1293.0,0.0002446183953033268,0.06849315068493152,0.0005668934240362813,0.0025,4.409999999999999,280.00000000000006,0.23371880706025572,0.017006802721088437,112.563,16.080428571428573,65.72
0.087,8.469999999999999,2.33,927.51,1.54,0.08,2.85,0.05,39.29,4.879999999999999,6.610000000000002,5.33,7.94,2.44,19.02,0.08,1.75,2.4,19.58,0.61,515.1799999999998,0.32,1.82,7.460000000000001,1.72,503.9199999999998,11.73,97.99000000000002,0.001,0.23,1.2,6.470000000000001,0.5,1.35,206.22000000000008,0.62,0.025,7.659999999999999,0.24,0.8500000000000001,1.85,39.68999999999999,0.9,15.279999999999996,47.79,56.35999999999998,0,0,0.0025,5274.881,6429.832,1240.0,0.00031486146095717883,0.02873563218390805,0.001072961373390558,0.0020833333333333333,1.9416666666666669,91.26436781609196,0.24544883866917766,0.034334763948497854,71.157,10.165285714285714,47.79
4.863999999999999,0.58,3.23,41.42,0.18,0.05,0.03,0.05,0.26,0.32,21.32,1.68,1.68,0.48,1.4,0.025,0.05,0.23,0.25,0.02,50.36999999999999,1.41,0.02,0.05,1.31,9.53,3.68,18.100000000000005,0.001,0.02,11.57,0.1,0.5,0.22,6.04,0.025,0.025,0.05,0.0025,0.14,0.05,12.46,0.1,0.11,7.43,0.5,1,0,0.921,4923.0,6645.0,1050.0,0.5482142857142858,0.18935032894736847,0.2851393188854489,0.07960242005185826,0.2791702679343129,0.3453947368421053,0.49528936742934054,0.015479876160990714,32.504000000000005,4.643428571428572,11.57
0.965,6.24,490.4700000000001,572.4399999999999,1.8100000000000005,0.49,0.08,0.07,41.14,0.38,3.1100000000000003,8.280000000000001,3.12,0.7199999999999999,11.56,0.025,2.45,2.4,24.44,0.13,97.46000000000002,2.45,0.1,4.719999999999999,0.55,87.88999999999999,25.89999999999999,154.43,0.001,0.05,11.689999999999998,3.04,0.5,1.1,21.270000000000003,0.56,0.025,17.850000000000005,0.08,1.33,3.53,15.470000000000002,1.08,8.719999999999999,17.46,88.85,0,0,0.0025,5106.5,8327.524,355.0,0.0008012820512820513,0.0025906735751295338,5.097151711623544e-06,0.00021385799828913606,41.95637296834903,3.2331606217616584,1.4833906071019467,0.0009990417354782146,550.0950000000001,78.58500000000002,490.4700000000001
0.352,12.77,27.17,1062.9,2.36,0.1999999999999999,0.03,0.08,46.71,2.6100000000000003,1.84,20.140000000000004,2.7000000000000006,2.9700000000000006,33.95,0.08,5.09,7.1400000000000015,18.43,0.4699999999999999,202.80999999999997,9.060000000000002,0.07,13.4,0.41,438.8699999999999,26.379999999999995,412.36,0.001,1.48,4.14,8.57,0.5,3.22,21.12,1.15,0.05,13.53,0.35,2.5699999999999994,4.869999999999999,39.18000000000001,1.8100000000000005,14.629999999999995,48.55,193.42999999999992,0,0,0.007,6362.176,6658.167,1292.0,0.002592592592592592,0.01988636363636364,0.0002576370997423629,0.0016908212560386474,6.562801932367151,7.670454545454548,0.5433573635427393,0.007361059992638936,109.49199999999999,15.641714285714285,48.55
0.064,10.03,0.8,305.45,0.8400000000000001,0.05,5.700000000000001,0.14,23.54,19.200000000000003,48.61999999999999,0.9,22.88,5.15,16.29,0.12,2.0,0.81,8.969999999999999,2.9600000000000004,1163.21,0.8400000000000001,1.91,3.64,14.18,951.5500000000004,5.09,4.82,0.001,0.01,0.6599999999999999,23.83,0.5,0.89,573.2400000000001,0.24,0.025,2.0200000000000005,0.49,0.05,0.55,171.68,0.21,19.930000000000003,75.27000000000002,72.28000000000003,0,0,0.0025,7118.649,9357.443,984.0,0.00010926573426573428,0.0390625,0.0031249999999999997,0.0037878787878787884,1.2121212121212124,357.5,0.06762322306363755,0.0625,104.81400000000002,14.973428571428574,75.27000000000002
125.41900000000004,0.61,654.56,60.23,0.11,10.76,0.005,2.06,11.48,1.07,15.82,0.3399999999999999,4139.629999999999,3.91,2.4100000000000006,0.05,0.05,0.26,5.05,0.02,50.93,91.90000000000003,0.01,0.21,0.76,73.26000000000003,201.77000000000004,11.44,0.001,1.2400000000000002,28.870000000000005,1.2,1.88,22.12,2.1500000000000004,0.025,0.9200000000000002,0.26,0.01,0.09,0.78,27.56,2.88,1.29,154.86,0.25,1,0,0.204,5635.487,3346.942,1112.64,4.927976654918435e-05,0.0016265478117350634,0.0003116597408946468,0.007066158642189122,22.67267059231035,33.006402538690296,1.3029187653364331,0.016438523588364704,5315.869,759.409857142857,4139.629999999999
