Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au,Au_ppm,East,North,Level,is_synthetic
10.773,1.42,26.88,77.94,0.31,0.005,0.03,0.05,2.77,1.02,16.41,2.5,4.99,1.05,3.02,0.025,0.21,0.61,1.35,0.09,83.53,3.45,0.02,0.39,1.36,88.83,7.2,40.83,0.001,0.005,17.82,1.22,0.5,0.2,9.27,0.025,0.025,0.43,0.03,0.27,0.47,29.01,0.3,0.88,5.45,7.7,1,0.438,5716.123,7160.875,1038.02,0
2.349,5.99,55.74,183.02,1.04,3.2,1.69,1.29,16.51,1.46,31.25,7.43,1.56,1.48,13.69,0.07,0.54,1.63,7.72,0.53,335.23,0.8,0.16,7.98,5.47,550.75,321.55,105.99,0.001,0.05,8.74,8.49,0.5,3.98,24.84,0.55,2.246,6.25,0.34,0.98,1.06,96.83,1.64,15.94,250.09,13.41,0,0.01,13481.737,7834.28,1461.28,0
0.073,7.11,0.97,998.73,1.88,0.05,0.91,0.64,55.69,0.66,6.06,1.81,8.22,1.36,15.27,0.05,3.15,2.8,28.26,0.08,547.35,0.82,2.71,8.56,0.63,78.05,115.47,102.69,0.001,0.005,3.52,7.34,0.5,2.51,155.51,0.77,0.025,15.17,0.08,0.98,3.59,3.87,0.49,31.46,68.2,74.47,0,0.0025,7342.329,9283.829,938.0,0
0.572,2.49,10.32,138.52,0.47,0.05,0.84,0.12,10.13,5.58,14.73,5.85,7.57,1.32,6.69,0.09,0.6,1.07,4.28,0.2,480.34,1.11,0.05,1.8,2.8,248.06,7.5,74.19,0.001,0.02,24.54,4.28,0.5,0.31,21.17,0.11,0.025,1.03,0.11,0.88,0.3,36.64,0.91,4.18,17.54,34.13,0,0.008,7168.444,7722.349,1026.789,0
0.447,9.83,68.46,538.22,1.33,0.15,0.16,4.31,48.0,19.48,32.57,15.85,10.75,4.95,20.65,0.22,3.26,2.47,23.82,0.56,3542.01,1.27,1.01,10.59,16.44,1057.87,492.17,156.47,0.001,0.01,17.64,20.01,0.5,1.63,68.54,0.61,0.025,7.73,0.48,1.79,2.19,134.37,3.07,19.32,688.29,151.78,0,0.0025,7128.681,8945.348,672.58,0
0.118,5.98,2.64,2017.27,1.35,0.24,0.46,0.19,48.74,0.3,3.82,4.83,3.02,0.83,12.85,0.13,2.38,6.06,23.52,0.06,271.1,0.95,0.43,6.67,0.28,75.47,24.05,247.7,0.001,0.01,4.41,2.19,0.5,3.47,139.22,0.87,0.052,20.37,0.03,1.77,5.95,1.0,1.21,17.63,53.83,67.74,0,0.0025,5886.0,6149.0,1254.0,0
0.363,3.93,12.82,195.55,0.56,0.06,2.62,0.17,16.72,5.2,24.63,4.35,6.04,1.78,7.6,0.025,1.34,1.43,8.41,0.38,892.87,0.48,0.07,2.65,9.14,298.31,6.75,103.74,0.001,0.03,5.64,5.64,0.5,0.72,38.25,0.2,0.025,3.21,0.16,0.85,0.92,38.85,1.14,7.75,43.96,45.8,0,0.0025,6235.006,8239.024,694.0,0
0.37,2.9,29.93,140.09,0.43,0.05,0.08,0.01,14.39,2.6,15.33,5.31,2.62,1.1,5.79,0.025,1.09,1.09,6.68,0.21,362.72,3.61,0.03,1.9,1.35,302.87,13.57,88.73,0.001,0.01,5.84,3.41,0.5,0.63,8.56,0.15,0.025,2.39,0.12,0.67,0.63,35.75,1.1,3.76,15.97,54.26,0,0.015,5427.29,8016.623,590.0,0
0.066,5.42,3.4,436.48,1.4,0.16,2.63,0.11,27.76,4.22,11.4,3.43,7.14,1.87,13.05,0.11,2.6,1.7,16.17,0.57,462.51,0.26,1.67,6.57,5.61,293.5,18.08,64.7,0.001,0.02,1.43,4.84,0.5,2.03,258.14,0.69,0.025,10.3,0.13,0.6,3.18,29.59,0.76,11.45,42.6,72.86,0,0.0025,7040.0,7506.0,1176.0,0
13.68,3.37,366.85,181.76,0.48,0.05,0.09,1.62,14.84,5.43,20.63,4.71,518.71,2.56,7.46,0.025,0.76,0.9,8.35,0.61,971.28,0.36,0.07,2.24,3.61,271.51,370.11,61.99,0.001,0.03,17.95,5.13,0.5,6.73,11.72,0.14,0.025,1.52,0.15,0.46,0.55,58.05,0.97,5.61,400.59,27.04,0,0.043,7564.877,6330.717,1304.417,0
