Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au,Au_ppm,East,North,Level,is_synthetic,Ag_ppm_log,Al_per_log,As_ppm_log,Ba_ppm_log,Be_ppm_log,Bi_ppm_log,Ca_per_log,Cd_ppm_log,Ce_ppm_log,Co_ppm_log,Cr_ppm_log,Cs_ppm_log,Cu_ppm_log,Fe_per_log,Ga_ppm_log,Ge_ppm_log,Hf_ppm_log,K_per_log,La_ppm_log,Mg_per_log,Mn_ppm_log,Mo_ppm_log,Na_per_log,Nb_ppm_log,Ni_ppm_log,P_ppm_log,Pb_ppm_log,Rb_ppm_log,Re_ppm_log,S_per_log,Sb_ppm_log,Sc_ppm_log,Se_ppm_log,Sn_ppm_log,Sr_ppm_log,Ta_ppm_log,Te_ppm_log,Th_ppm_log,Ti_per_log,Tl_ppm_log,U_ppm_log,V_ppm_log,W_ppm_log,Y_ppm_log,Zn_ppm_log,Zr_ppm_log,Au_Cu_ratio,Au_Ag_ratio,Au_As_ratio,Au_Sb_ratio,As_Sb_ratio,Cu_Ag_ratio,Pb_Zn_ratio,Bi_As_ratio,pathfinder_sum,pathfinder_mean,pathfinder_max
10.773,1.42,26.88,77.94,0.31,0.005,0.03,0.05,2.77,1.02,16.41,2.5,4.99,1.05,3.02,0.025,0.21,0.61,1.35,0.09,83.53,3.45,0.02,0.39,1.36,88.83,7.2,40.83,0.001,0.005,17.82,1.22,0.5,0.2,9.27,0.025,0.025,0.43,0.03,0.27,0.47,29.01,0.3,0.88,5.45,7.7,1,0.438,5716.123,7160.875,1038.02,0,2.4658087740960597,0.8837675401685949,3.327909585892323,4.368688070234701,0.27002713721306015,0.004987541511039074,0.0295588022415444,0.04879016416943201,1.3270750014599193,0.7030975114131134,2.8570447537800976,1.252762968495368,1.790091412127358,0.7178397931503169,1.3912819026309298,0.0246926125903715,0.1906203596086497,0.4762341789963716,0.8544153281560676,0.08617769624105233,4.437106500940836,1.4929040961781488,0.019802627296179712,0.3293037471426004,0.8586616190375187,4.497918995241116,2.1041341542702074,3.733613785454107,0.0009995003330835331,0.004987541511039074,2.9349201341572337,0.7975071958841881,0.4054651081081644,0.18232155679395462,2.329227023940467,0.0246926125903715,0.0246926125903715,0.3576744442718159,0.0295588022415444,0.23901690047049992,0.3852624007906449,3.4015306594522756,0.26236426446749106,0.6312717768418579,1.864080130807681,2.1633230256605382,0.0877755511022044,0.0406571985519354,0.016294642857142858,0.02457912457912458,1.5084175084175084,0.4631950245985334,1.3211009174311927,0.00018601190476190478,73.11800000000001,10.445428571428574,26.88
2.349,5.99,55.74,183.02,1.04,3.2,1.69,1.29,16.51,1.46,31.25,7.43,1.56,1.48,13.69,0.07,0.54,1.63,7.72,0.53,335.23,0.8,0.16,7.98,5.47,550.75,321.55,105.99,0.001,0.05,8.74,8.49,0.5,3.98,24.84,0.55,2.246,6.25,0.34,0.98,1.06,96.83,1.64,15.94,250.09,13.41,0,0.01,13481.737,7834.28,1461.28,0,1.2086617938120676,1.9444805562457188,4.038479429380705,5.215044447354215,0.712949807856125,1.4350845252893227,0.9895411936137477,0.8285518175661483,2.8627721462977607,0.9001613499442714,3.4735180432417816,2.131796772013764,0.9400072584914712,0.9082585601768908,2.6871669901857858,0.06765864847381481,0.43178241642553783,0.9669838461896731,2.1656192379208883,0.4252677354043441,5.8177954495931665,0.5877866649021191,0.14842000511827327,2.194999882314108,1.8671761085128091,6.313095045136846,5.776258162978251,4.672735372150515,0.0009995003330835331,0.04879016416943201,2.2762411176544437,2.2502386126218363,0.4054651081081644,1.6054298910365616,3.2519236789144013,0.4382549309311553,1.1774234690923995,1.9810014688665833,0.29266961396282,0.6830968447064438,0.7227059828014898,4.583231278469338,0.9707789171582247,2.8296776892239084,5.5258114405995045,2.667922410011431,0.00641025641025641,0.004257130693912303,0.00017940437746681017,0.0011441647597254005,6.377574370709382,0.6641123882503193,1.2857371346315327,0.05740940078937926,643.229,91.88985714285715,321.55
0.073,7.11,0.97,998.73,1.88,0.05,0.91,0.64,55.69,0.66,6.06,1.81,8.22,1.36,15.27,0.05,3.15,2.8,28.26,0.08,547.35,0.82,2.71,8.56,0.63,78.05,115.47,102.69,0.001,0.005,3.52,7.34,0.5,2.51,155.51,0.77,0.025,15.17,0.08,0.98,3.59,3.87,0.49,31.46,68.2,74.47,0,0.0025,7342.329,9283.829,938.0,0,0.07045846364856141,2.093097868127322,0.6780335427498971,6.907485242525575,1.0577902941478545,0.04879016416943201,0.6471032420585385,0.49469624183610705,4.037597828336212,0.5068176023684519,1.9544450515051506,1.0331844833456545,2.2213750375685026,0.8586616190375187,2.7893229212309465,0.04879016416943201,1.423108334242607,1.33500106673234,3.3762213955919784,0.07696104113612832,6.306913769206218,0.598836501088704,1.3110318766193438,2.25758772706331,0.48858001481867097,4.370080563655481,4.75763372911456,4.6414056785701865,0.0009995003330835331,0.004987541511039074,1.5085119938441398,2.1210632163706555,0.4054651081081644,1.2556160374777745,5.053119905702411,0.5709795465857378,0.0246926125903715,2.7831576735890153,0.07696104113612832,0.6830968447064438,1.5238800240724537,1.5830939370944985,0.3987761199573678,3.480008562086445,4.237000862623624,4.323735226296777,0.00030413625304136254,0.03424657534246576,0.002577319587628866,0.0007102272727272727,0.2755681818181818,112.60273972602741,1.693108504398827,0.051546391752577324,196.503,28.07185714285714,115.47
0.572,2.49,10.32,138.52,0.47,0.05,0.84,0.12,10.13,5.58,14.73,5.85,7.57,1.32,6.69,0.09,0.6,1.07,4.28,0.2,480.34,1.11,0.05,1.8,2.8,248.06,7.5,74.19,0.001,0.02,24.54,4.28,0.5,0.31,21.17,0.11,0.025,1.03,0.11,0.88,0.3,36.64,0.91,4.18,17.54,34.13,0,0.008,7168.444,7722.349,1026.789,0,0.4523486940070148,1.2499017362143359,2.4265710727750367,4.938207960160669,0.3852624007906449,0.04879016416943201,0.6097655716208943,0.11332868530700317,2.4096441652874536,1.884034745337226,2.7555697170701863,1.9242486522741338,2.1482677326096886,0.8415671856782186,2.0399207835175526,0.08617769624105233,0.4700036292457356,0.7275486072772778,1.66392609771817,0.18232155679395462,6.176573881104258,0.7466879474879752,0.04879016416943201,1.0296194171811583,1.33500106673234,5.517693831293003,2.1400661634962708,4.320018243389936,0.0009995003330835331,0.019802627296179712,3.240245850604393,1.66392609771817,0.4054651081081644,0.27002713721306015,3.09874002362822,0.10436001532424277,0.0246926125903715,0.708035793053696,0.10436001532424277,0.6312717768418579,0.26236426446749106,3.628067314717179,0.6471032420585385,1.6448050562713916,2.919930560137709,3.559055466277736,0.0010568031704095112,0.013986013986013988,0.0007751937984496124,0.00032599837000814997,0.4205378973105135,13.234265734265735,0.42759407069555305,0.0048449612403100775,68.092,9.727428571428572,24.54
0.447,9.83,68.46,538.22,1.33,0.15,0.16,4.31,48.0,19.48,32.57,15.85,10.75,4.95,20.65,0.22,3.26,2.47,23.82,0.56,3542.01,1.27,1.01,10.59,16.44,1057.87,492.17,156.47,0.001,0.01,17.64,20.01,0.5,1.63,68.54,0.61,0.025,7.73,0.48,1.79,2.19,134.37,3.07,19.32,688.29,151.78,0,0.0025,7128.681,8945.348,672.58,0,0.3694924476493468,2.382320061012899,4.240751047315928,6.290123650898337,0.8458682675776092,0.13976194237515868,0.14842000511827327,1.6695918352538475,3.8918202981106265,3.019448800171307,3.5136328109919437,2.8243506567983707,2.463853240590168,1.7833912195575383,3.075005454448499,0.1988508587451652,1.449269160281279,1.244154593958768,3.211649779776461,0.44468582126144574,8.172731927328325,0.8197798314933114,0.6981347220709844,2.4501426573516603,2.8587664184808337,6.964957580747885,6.200853942189529,5.059234963932318,0.0009995003330835331,0.009950330853168083,2.925309809257445,3.044998514856909,0.4054651081081644,0.9669838461896731,4.241902126579715,0.4762341789963716,0.0246926125903715,2.166765369851511,0.3920420877760237,1.0260415958332743,1.1600209167967532,4.908011770197695,1.4036429994545037,3.011605622710281,6.5356620823150235,5.028998978113214,0.00023255813953488373,0.005592841163310962,3.6517674554484376e-05,0.0001417233560090703,3.8809523809523805,24.049217002237135,0.7150619651600344,0.0021910604732690623,1277.907,182.55814285714285,688.29
0.118,5.98,2.64,2017.27,1.35,0.24,0.46,0.19,48.74,0.3,3.82,4.83,3.02,0.83,12.85,0.13,2.38,6.06,23.52,0.06,271.1,0.95,0.43,6.67,0.28,75.47,24.05,247.7,0.001,0.01,4.41,2.19,0.5,3.47,139.22,0.87,0.052,20.37,0.03,1.77,5.95,1.0,1.21,17.63,53.83,67.74,0,0.0025,5886.0,6149.0,1254.0,0,0.11154137473290741,1.943048916774281,1.2919836816486494,7.6099959878011525,0.8544153281560676,0.2151113796169455,0.3784364357202451,0.173953307123438,3.9068094383752587,0.26236426446749106,1.5727739280625088,1.763017000362401,1.3912819026309298,0.6043159668533296,2.6282852326333477,0.12221763272424921,1.2178757094949273,1.9544450515051506,3.1994891110680106,0.058268908123975775,5.6061696457892,0.6678293725756554,0.3576744442718159,2.0373166153791646,0.2468600779315258,4.336898507056134,3.2208738275308737,5.516247350809359,0.0009995003330835331,0.009950330853168083,1.6882490928583902,1.1600209167967532,0.4054651081081644,1.4973884086254774,4.943212617778822,0.6259384308664953,0.050693114315518116,3.0619880693310564,0.0295588022415444,1.0188473201992472,1.9387416595767009,0.6931471805599453,0.7929925155296614,2.924773184613497,4.004237489415957,4.230331271421687,0.0008278145695364238,0.021186440677966104,0.000946969696969697,0.0005668934240362812,0.5986394557823129,25.593220338983052,0.4467768902099201,0.0909090909090909,88.30799999999999,12.61542857142857,53.83
0.363,3.93,12.82,195.55,0.56,0.06,2.62,0.17,16.72,5.2,24.63,4.35,6.04,1.78,7.6,0.025,1.34,1.43,8.41,0.38,892.87,0.48,0.07,2.65,9.14,298.31,6.75,103.74,0.001,0.03,5.64,5.64,0.5,0.72,38.25,0.2,0.025,3.21,0.16,0.85,0.92,38.85,1.14,7.75,43.96,45.8,0,0.0025,6235.006,8239.024,694.0,0,0.30968815271439554,1.5953389880545987,2.626116818339524,5.280916851867869,0.44468582126144574,0.058268908123975775,1.2864740258376797,0.15700374880966475,2.8746939451769347,1.8245492920510458,3.24376354037598,1.6770965609079151,1.951608170169951,1.0224509277025458,2.151762203259462,0.0246926125903715,0.8501509293696101,0.8878912573524571,2.2417729535972883,0.32208349916911333,6.795560350729646,0.3920420877760237,0.06765864847381481,1.2947271675944,2.316487998163037,5.701479825593525,2.0476928433652555,4.651481088851342,0.0009995003330835331,0.0295588022415444,1.8931119634883424,1.8931119634883424,0.4054651081081644,0.5423242908253616,3.6699514442284173,0.18232155679395462,0.0246926125903715,1.43746264769429,0.14842000511827327,0.6151856390902335,0.6523251860396903,3.685122405236224,0.76080582903376,2.169053700369523,3.8057732055854356,3.845883202923601,0.0004139072847682119,0.006887052341597796,0.0001950078003120125,0.0004432624113475178,2.273049645390071,16.639118457300277,0.1535486806187443,0.004680187207488299,75.633,10.804714285714285,43.96
0.37,2.9,29.93,140.09,0.43,0.05,0.08,0.01,14.39,2.6,15.33,5.31,2.62,1.1,5.79,0.025,1.09,1.09,6.68,0.21,362.72,3.61,0.03,1.9,1.35,302.87,13.57,88.73,0.001,0.01,5.84,3.41,0.5,0.63,8.56,0.15,0.025,2.39,0.12,0.67,0.63,35.75,1.1,3.76,15.97,54.26,0,0.015,5427.29,8016.623,590.0,0,0.31481073984003355,1.3609765531356006,3.4317265866969784,4.949397984625066,0.3576744442718159,0.04879016416943201,0.07696104113612832,0.009950330853168083,2.733717947850788,1.2809338454620645,2.7930039069823738,1.8421356765531218,1.2864740258376797,0.7419373447293773,1.9154509415706047,0.0246926125903715,0.7371640659767197,0.7371640659767197,2.038619547159581,0.1906203596086497,5.896384340857712,1.5282278570085572,0.0295588022415444,1.0647107369924282,0.8544153281560676,5.7165999783668155,2.6789646202071133,4.496805161309966,0.0009995003330835331,0.009950330853168083,1.922787731634459,1.4838746894587547,0.4054651081081644,0.48858001481867097,2.25758772706331,0.13976194237515868,0.0246926125903715,1.220829921392359,0.11332868530700317,0.5128236264286637,0.48858001481867097,3.6041382256588457,0.7419373447293773,1.5602476682433286,2.831447079246135,4.01204931949527,0.005725190839694656,0.04054054054054054,0.0005011693952555964,0.0025684931506849314,5.125,7.081081081081082,0.849718221665623,0.001670564650851988,68.35,9.764285714285714,29.93
0.066,5.42,3.4,436.48,1.4,0.16,2.63,0.11,27.76,4.22,11.4,3.43,7.14,1.87,13.05,0.11,2.6,1.7,16.17,0.57,462.51,0.26,1.67,6.57,5.61,293.5,18.08,64.7,0.001,0.02,1.43,4.84,0.5,2.03,258.14,0.69,0.025,10.3,0.13,0.6,3.18,29.59,0.76,11.45,42.6,72.86,0,0.0025,7040.0,7506.0,1176.0,0,0.0639133257436528,1.8594181177018698,1.4816045409242156,6.081030990467025,0.8754687373538999,0.14842000511827327,1.2892326482767593,0.10436001532424277,3.358985532852846,1.6524974018945473,2.517696472610991,1.4883995840570443,2.096790180014449,1.0543120297715298,2.642622395779755,0.10436001532424277,1.2809338454620645,0.9932517730102834,2.843163674909384,0.4510756193602167,6.138827959746204,0.23111172096338664,0.9820784724121581,2.0241930674493576,1.888583653863595,5.685279003091641,2.9486406660201405,4.185098925490565,0.0009995003330835331,0.019802627296179712,0.8878912573524571,1.7647307968401358,0.4054651081081644,1.1085626195212777,5.557368456200665,0.5247285289349821,0.0246926125903715,2.424802725718295,0.12221763272424921,0.4700036292457356,1.430311246536665,3.420673158162812,0.5653138090500605,2.5217206229107165,3.775057150354989,4.3021714094244174,0.00035014005602240897,0.03787878787878788,0.0007352941176470588,0.0017482517482517485,2.3776223776223775,108.18181818181817,0.42441314553990606,0.047058823529411764,72.876,10.410857142857143,42.6
13.68,3.37,366.85,181.76,0.48,0.05,0.09,1.62,14.84,5.43,20.63,4.71,518.71,2.56,7.46,0.025,0.76,0.9,8.35,0.61,971.28,0.36,0.07,2.24,3.61,271.51,370.11,61.99,0.001,0.03,17.95,5.13,0.5,6.73,11.72,0.14,0.025,1.52,0.15,0.46,0.55,58.05,0.97,5.61,400.59,27.04,0,0.043,7564.877,6330.717,1304.417,0,2.6864860231863696,1.4747630091074988,5.907675246378274,5.208173816695071,0.3920420877760237,0.04879016416943201,0.08617769624105233,0.9631743177730056,2.7625383863862796,1.860974538249528,3.0740812399649675,1.7422190236679187,6.253270963699584,1.269760544863939,2.135349173618132,0.0246926125903715,0.5653138090500605,0.6418538861723948,2.2353763433005955,0.4762341789963716,6.879643828821061,0.3074846997479606,0.06765864847381481,1.1755733298042381,1.5282278570085572,5.607675310677678,5.916498514618069,4.142975983633837,0.0009995003330835331,0.0295588022415444,2.9418039315284354,1.81319474994812,0.4054651081081644,2.0451088625993306,2.543175557911976,0.1310282624064041,0.0246926125903715,0.924258901523332,0.13976194237515868,0.3784364357202451,0.4382549309311553,4.078384542643371,0.6780335427498971,1.888583653863595,5.995431667669093,3.333632062166389,8.289795839679203e-05,0.0031432748538011692,0.00011721412021262095,0.0023955431754874652,20.437325905292482,37.917397660818715,0.9239122294615443,0.0001362954886193267,1687.9399999999998,241.13428571428568,518.71
