Bloque,Feature,KS_stat,p_value
NE,Sb_ppm,0.11534387907247767,3.217242194506747e-05
NE,Te_ppm,0.08953595320114027,0.00256120295290253
NE,Se_ppm,0.0800904899826903,0.009639218998388691
NE,As_ppm,0.0622038652476192,0.07926134099129307
NE,Mo_ppm,0.1380075065553823,2.7641583906718234e-07
NE,Sn_ppm,0.07498671785291944,0.018557775494136217
NE,Na_per,0.12344684570429648,6.483530924557654e-06
NE,Rb_ppm,0.09568401629276713,0.0009982042528515584
NE,Mg_per,0.08511428359240658,0.004851818590210412
NE,Sr_ppm,0.13158751649556977,1.160293750011518e-06
NE,Cs_ppm,0.0847886567607557,0.005079836441034588
NE,Mn_ppm,0.11600655823864447,2.835625631218937e-05
NE,S_per,0.17178472067501882,4.649513849183183e-11
NE,U_ppm,0.13310710837660744,8.307246356045648e-07
NE,Cd_ppm,0.05785303375664824,0.12218874251867674
NE,P_ppm,0.1284352202551315,2.288614019932944e-06
NE,Be_ppm,0.13126417476449181,1.245364875207431e-06
NE,Co_ppm,0.07640690785903209,0.015536506055864195
NE,La_ppm,0.05804383965449278,0.11994388298631517
NE,Cr_ppm,0.074985575302633,0.018560400558155506
NE,Fe_per,0.08761989637068901,0.0033912343153499704
NE,Zr_ppm,0.1875873336875239,4.1059840030437704e-13
NE,Ni_ppm,0.06470490782475563,0.06096039510092783
NE,cluster_litho_prob,0.05092803647020516,0.22782168927534158
NE,Ce_ppm,0.07108148097368128,0.029756649139728922
NE,Ba_ppm,0.07889423983273064,0.011285757702208462
NE,Ge_ppm,0.07246168171976669,0.02526540752784997
NE,Ta_ppm,0.16481287882682938,3.268512732508781e-10
NO,Sb_ppm,0.053953069485507654,0.1992818042939456
NO,Te_ppm,0.18129105393858247,1.2172241208787033e-11
NO,Se_ppm,0.09522280344451672,0.001601666498723873
NO,As_ppm,0.09180750207344646,0.0026418471685857605
NO,Mo_ppm,0.10222242074726157,0.0005425412748923257
NO,Sn_ppm,0.23226222367628396,6.952777537406772e-19
NO,Na_per,0.3347804199046032,3.744900127098329e-39
NO,Rb_ppm,0.10140390737519178,0.0006180856355261349
NO,Mg_per,0.2697798343898756,2.110798388913048e-25
NO,Sr_ppm,0.36059135780261753,1.6543772342995293e-45
NO,Cs_ppm,0.25527234885571104,9.250207809787003e-23
NO,Mn_ppm,0.19366774876227016,3.13384889286122e-13
NO,S_per,0.3314870504665405,2.2251411126206553e-38
NO,U_ppm,0.1428148892169917,2.2201275551807113e-07
NO,Cd_ppm,0.07271127121887264,0.030956802435623196
NO,P_ppm,0.28668611943776096,1.1271765055226918e-28
NO,Be_ppm,0.25805505287137626,2.964444925096768e-23
NO,Co_ppm,0.26056371184949007,1.0493247185208543e-23
NO,La_ppm,0.21691811606712774,1.649649427052108e-16
NO,Cr_ppm,0.036944168454398074,0.6470306489301705
NO,Fe_per,0.3115336743403301,7.185828062996103e-34
NO,Zr_ppm,0.1650403039364698,1.0248632278900925e-09
NO,Ni_ppm,0.20570399997102606,7.024700238632118e-15
NO,cluster_litho_prob,0.07107303722787145,0.03723263386413719
NO,Ce_ppm,0.22183281804013122,2.9860904502431867e-17
NO,Ba_ppm,0.22959179361873444,1.8566828860678652e-18
NO,Ge_ppm,0.3197936573664392,1.0564819556717462e-35
NO,Ta_ppm,0.2322344569984704,7.041537849864387e-19
SO,Sb_ppm,0.18707318605860135,4.826887958492135e-13
SO,Te_ppm,0.4073911578033328,1.2796253736157933e-61
SO,Se_ppm,0.08281204476512016,0.006678602436417621
SO,As_ppm,0.09928076459465174,0.0005587063918994826
SO,Mo_ppm,0.24353573611658585,7.027964382614922e-22
SO,Sn_ppm,0.18758504858695096,4.115895545370897e-13
SO,Na_per,0.1491199506418276,1.9589468349127934e-08
SO,Rb_ppm,0.21507709358058125,3.977703443365836e-17
SO,Mg_per,0.07109861922797878,0.029702307479041682
SO,Sr_ppm,0.10957400012568058,9.426463541709597e-05
SO,Cs_ppm,0.11920227138996953,1.5208738318372312e-05
SO,Mn_ppm,0.17316263632053114,3.132292104340396e-11
SO,S_per,0.3616960016452724,2.4410169161229324e-48
SO,U_ppm,0.09727673139214038,0.0007740152188878207
SO,Cd_ppm,0.11997577793392633,1.3046487309811395e-05
SO,P_ppm,0.0832964860865939,0.006251234459121347
SO,Be_ppm,0.07901992036424504,0.011103012945174469
SO,Co_ppm,0.06282998280461818,0.07428534823844189
SO,La_ppm,0.14390877878512626,6.954605203817581e-08
SO,Cr_ppm,0.08281661496626624,0.006677784279294149
SO,Fe_per,0.12856547098779186,2.22679188783428e-06
SO,Zr_ppm,0.1613680897130485,8.3249496837241e-10
SO,Ni_ppm,0.13635537884111126,4.020746590671301e-07
SO,cluster_litho_prob,0.05490296891691937,0.16089094780407867
SO,Ce_ppm,0.13364753466211932,7.375473305482359e-07
SO,Ba_ppm,0.15087605043216962,1.2651393535366223e-08
SO,Ge_ppm,0.14925934177677996,1.892562465337853e-08
SO,Ta_ppm,0.09950470445080462,0.0005385211515810571
SE,Sb_ppm,0.11522929843263152,5.9120569339754225e-05
SE,Te_ppm,0.16149220541063902,2.5486448597712156e-09
SE,Se_ppm,0.048612209370408666,0.30556130988952257
SE,As_ppm,0.08084570057138984,0.011635312970811915
SE,Mo_ppm,0.07158249540340761,0.03517586704582195
SE,Sn_ppm,0.07362515709299777,0.02788079049483504
SE,Na_per,0.12764945414333173,5.552038772108666e-06
SE,Rb_ppm,0.13073638436808466,2.969931682701412e-06
SE,Mg_per,0.2071744266482844,4.345836628133374e-15
SE,Sr_ppm,0.1523654191380016,2.423405119926908e-08
SE,Cs_ppm,0.12536896482203375,8.728382022870879e-06
SE,Mn_ppm,0.293835435351327,4.0217063061795736e-30
SE,S_per,0.16783990940819554,4.927212949484445e-10
SE,U_ppm,0.08812177740540916,0.004441314924289155
SE,Cd_ppm,0.13834445408900548,5.955036368096387e-07
SE,P_ppm,0.10077010277292542,0.0006832959288889551
SE,Be_ppm,0.06903520452572698,0.046570236078006394
SE,Co_ppm,0.23095236083159992,1.1287906086051823e-18
SE,La_ppm,0.0855479270967765,0.006303575386593656
SE,Cr_ppm,0.08039056850461956,0.01232441213415222
SE,Fe_per,0.14600443542496905,1.0765928298917053e-07
SE,Zr_ppm,0.12181603730875706,1.7385208956077122e-05
SE,Ni_ppm,0.2334441183536533,4.50544955021472e-19
SE,cluster_litho_prob,0.13232270674404312,2.1403586440514655e-06
SE,Ce_ppm,0.07312414964549196,0.029533517267157604
SE,Ba_ppm,0.06588670471103947,0.0649758004184231
SE,Ge_ppm,0.0997439429406844,0.0008029814184496184
SE,Ta_ppm,0.09380066664171682,0.0019770978483424216
