Bloque,Feature,PSI
NE,Ag_ppm,0.21648746526646162
NE,Al_per,0.0568362958120226
NE,As_ppm,0.05289896573373138
NE,Ba_ppm,0.07510688789144117
NE,Be_ppm,0.11006835575383539
NE,Bi_ppm,0.0990702686485227
NE,Ca_per,0.11257445733582783
NE,Cd_ppm,0.02594790537370083
NE,Ce_ppm,0.06103507397729214
NE,Co_ppm,0.03972021121698894
NE,Cr_ppm,0.10161681042340706
NE,Cs_ppm,0.029572355528976593
NE,Cu_ppm,0.02776640349585776
NE,Fe_per,0.08623907431573512
NE,Ga_ppm,0.057406970184676595
NE,Ge_ppm,0.045046987330279176
NE,Hf_ppm,0.2284602684435418
NE,K_per,0.06896125462141021
NE,La_ppm,0.029239033376944466
NE,Mg_per,0.051596481679517706
NE,Mn_ppm,0.06248435949387559
NE,Mo_ppm,0.14593745925920554
NE,Na_per,0.1329639319620634
NE,Nb_ppm,0.13438192909871635
NE,Ni_ppm,0.09021899312514106
NE,P_ppm,0.10580520618448822
NE,Pb_ppm,0.08133630355841487
NE,Rb_ppm,0.05766117308473573
NE,Re_ppm,0.0
NE,S_per,0.17774992918517402
NE,Sb_ppm,0.07545798024051442
NE,Sc_ppm,0.11217078316555801
NE,Se_ppm,0.016792605024970812
NE,Sn_ppm,0.07197852339354929
NE,Sr_ppm,0.17948280559795182
NE,Ta_ppm,0.15502388904066158
NE,Te_ppm,0.036509185790705175
NE,Th_ppm,0.1800769879966049
NE,Ti_per,0.1459714831025563
NE,Tl_ppm,0.02547156209330551
NE,U_ppm,0.08713536581468567
NE,V_ppm,0.1292153975223174
NE,W_ppm,0.07273203485801522
NE,Y_ppm,0.1819494267361803
NE,Zn_ppm,0.034298975238147275
NE,Zr_ppm,0.25765224904702594
NE,Au_Cu_ratio,0.0231936785139498
NE,Au_Ag_ratio,0.04357781043547945
NE,Au_As_ratio,0.08136643417759387
NE,Au_Sb_ratio,0.16581515136188785
NE,As_Sb_ratio,0.12402789386733828
NE,Cu_Ag_ratio,0.14145713361313705
NE,Pb_Zn_ratio,0.053953543308580335
NE,Bi_As_ratio,0.01393895836375963
NE,pathfinder_sum,0.030978310417097137
NE,pathfinder_mean,0.030978310417097137
NE,pathfinder_max,0.01850038524562924
NO,Ag_ppm,0.11468387542035377
NO,Al_per,0.47142973919298825
NO,As_ppm,0.051938816914038545
NO,Ba_ppm,0.25223370893011104
NO,Be_ppm,0.34425884170882465
NO,Bi_ppm,0.1746229708045402
NO,Ca_per,0.826598732977692
NO,Cd_ppm,0.030865671903838078
NO,Ce_ppm,0.24525260538381488
NO,Co_ppm,0.35337660926120334
NO,Cr_ppm,0.04764832504962077
NO,Cs_ppm,0.34091863577551673
NO,Cu_ppm,0.27056047550133067
NO,Fe_per,0.5121530385856827
NO,Ga_ppm,0.48378344413040586
NO,Ge_ppm,0.5354154644758011
NO,Hf_ppm,0.24462715145689648
NO,K_per,0.11528168133966911
NO,La_ppm,0.2545251765589348
NO,Mg_per,0.3634919202526976
NO,Mn_ppm,0.20588909513107853
NO,Mo_ppm,0.09795977689260896
NO,Na_per,0.49743106939634274
NO,Nb_ppm,0.2763415896943984
NO,Ni_ppm,0.2509483736623678
NO,P_ppm,0.3826667935167225
NO,Pb_ppm,0.12062881164364894
NO,Rb_ppm,0.07296198628632722
NO,Re_ppm,0.0
NO,S_per,0.5950902024633957
NO,Sb_ppm,0.049197067204757486
NO,Sc_ppm,0.4623107663907979
NO,Se_ppm,0.08137167113323945
NO,Sn_ppm,0.28961445357036847
NO,Sr_ppm,0.7339824304285009
NO,Ta_ppm,0.34747717297372255
NO,Te_ppm,0.3077690113034468
NO,Th_ppm,0.14128947940370637
NO,Ti_per,0.42658648750557715
NO,Tl_ppm,0.06863378937752533
NO,U_ppm,0.10767191143886184
NO,V_ppm,0.44502462324750774
NO,W_ppm,0.10747574140119244
NO,Y_ppm,0.3881639131568201
NO,Zn_ppm,0.1943458462564777
NO,Zr_ppm,0.2751159587171027
NO,Au_Cu_ratio,0.14440560091762172
NO,Au_Ag_ratio,0.11925000367249504
NO,Au_As_ratio,0.14024126526804864
NO,Au_Sb_ratio,0.05312979375231207
NO,As_Sb_ratio,0.1688245648173581
NO,Cu_Ag_ratio,0.4079119776613159
NO,Pb_Zn_ratio,0.1283264808875622
NO,Bi_As_ratio,0.18235109221949436
NO,pathfinder_sum,0.18509902252232452
NO,pathfinder_mean,0.18509902252232452
NO,pathfinder_max,0.18477572024420563
SO,Ag_ppm,0.10429321644197445
SO,Al_per,0.09253087971232724
SO,As_ppm,0.11590939899117976
SO,Ba_ppm,0.10143994054962482
SO,Be_ppm,0.052445309825485745
SO,Bi_ppm,0.6591106622982161
SO,Ca_per,0.24751834122587424
SO,Cd_ppm,0.07316194499851435
SO,Ce_ppm,0.13939960696024958
SO,Co_ppm,0.04924182878675766
SO,Cr_ppm,0.08635644570782919
SO,Cs_ppm,0.06399096129160935
SO,Cu_ppm,0.11651604160953372
SO,Fe_per,0.14414230653597665
SO,Ga_ppm,0.17655125050245307
SO,Ge_ppm,0.11248194758798385
SO,Hf_ppm,0.3166240475672787
SO,K_per,0.22027523069275023
SO,La_ppm,0.16233056157902792
SO,Mg_per,0.09507999127333182
SO,Mn_ppm,0.21262078129683074
SO,Mo_ppm,0.36065078884231805
SO,Na_per,0.16108059547255982
SO,Nb_ppm,0.14274021732253767
SO,Ni_ppm,0.1923926710378874
SO,P_ppm,0.07675332679253247
SO,Pb_ppm,0.13558114989183084
SO,Rb_ppm,0.22606154135509574
SO,Re_ppm,0.0
SO,S_per,0.6774940702170194
SO,Sb_ppm,0.21139573377292759
SO,Sc_ppm,0.04583196923364528
SO,Se_ppm,0.0075302171675699515
SO,Sn_ppm,0.2028766819149858
SO,Sr_ppm,0.1353713104784892
SO,Ta_ppm,0.07513762884562851
SO,Te_ppm,0.7840881591307225
SO,Th_ppm,0.06635898468992882
SO,Ti_per,0.05991872928027256
SO,Tl_ppm,0.1350711657853439
SO,U_ppm,0.09373444608459282
SO,V_ppm,0.05632907948038545
SO,W_ppm,0.20834735835141316
SO,Y_ppm,0.09077046438768713
SO,Zn_ppm,0.10582253662045515
SO,Zr_ppm,0.3136632160590637
SO,Au_Cu_ratio,0.06000604603876426
SO,Au_Ag_ratio,0.21483780826844068
SO,Au_As_ratio,0.2828898522899481
SO,Au_Sb_ratio,0.8684228855100374
SO,As_Sb_ratio,0.16749185958013352
SO,Cu_Ag_ratio,0.110758735948063
SO,Pb_Zn_ratio,0.07288037699140502
SO,Bi_As_ratio,0.3531666242313457
SO,pathfinder_sum,0.050020343964019595
SO,pathfinder_mean,0.050020343964019595
SO,pathfinder_max,0.058882928232291194
SE,Ag_ppm,0.05071456689641296
SE,Al_per,0.08697587774911372
SE,As_ppm,0.09954795973690513
SE,Ba_ppm,0.031767416388227575
SE,Be_ppm,0.11576086735557489
SE,Bi_ppm,0.06730200428975715
SE,Ca_per,0.261412010115733
SE,Cd_ppm,0.1381339792127373
SE,Ce_ppm,0.11177343769227946
SE,Co_ppm,0.2846176686154232
SE,Cr_ppm,0.05112407346807638
SE,Cs_ppm,0.12637257057316645
SE,Cu_ppm,0.14799694257560508
SE,Fe_per,0.1789447986138239
SE,Ga_ppm,0.10088383171134299
SE,Ge_ppm,0.06399243779894626
SE,Hf_ppm,0.09505404464074863
SE,K_per,0.08881121973039714
SE,La_ppm,0.15242236497475145
SE,Mg_per,0.253823449307382
SE,Mn_ppm,0.43423585898295963
SE,Mo_ppm,0.10335105062353846
SE,Na_per,0.08342480790925678
SE,Nb_ppm,0.0699483140921671
SE,Ni_ppm,0.24906045353618203
SE,P_ppm,0.08970023934640359
SE,Pb_ppm,0.06499672829017407
SE,Rb_ppm,0.12097810762693344
SE,Re_ppm,0.0
SE,S_per,0.13028015442365004
SE,Sb_ppm,0.13910424285482578
SE,Sc_ppm,0.12094858668737629
SE,Se_ppm,0.023734832147350074
SE,Sn_ppm,0.0925761906252709
SE,Sr_ppm,0.19843599360667794
SE,Ta_ppm,0.15875111041040357
SE,Te_ppm,0.1338880908132492
SE,Th_ppm,0.17198115210200454
SE,Ti_per,0.06424258038000505
SE,Tl_ppm,0.12121404392493747
SE,U_ppm,0.11865915764944687
SE,V_ppm,0.1658924274087887
SE,W_ppm,0.14953065245371497
SE,Y_ppm,0.19651715871867664
SE,Zn_ppm,0.2710329263190902
SE,Zr_ppm,0.1324307854656382
SE,Au_Cu_ratio,0.3094593815584743
SE,Au_Ag_ratio,0.17835609357022625
SE,Au_As_ratio,0.3002263906239725
SE,Au_Sb_ratio,0.34729052495931273
SE,As_Sb_ratio,0.10581686225734328
SE,Cu_Ag_ratio,0.14278914140767032
SE,Pb_Zn_ratio,0.14670500970254413
SE,Bi_As_ratio,0.08409751335792524
SE,pathfinder_sum,0.2523034677908612
SE,pathfinder_mean,0.2523034677908612
SE,pathfinder_max,0.20492103986147447
