Bloque,Rank,Feature,mean_abs_SHAP
NE,1,Sb_ppm,1.490532398223877
NE,2,Te_ppm,0.49355244636535645
NE,3,Ce_ppm,0.36392098665237427
NE,4,Se_ppm,0.3385247588157654
NE,5,As_ppm,0.25843191146850586
NE,6,Mo_ppm,0.22949308156967163
NE,7,U_ppm,0.2290695458650589
NE,8,Sn_ppm,0.1674865037202835
NE,9,Be_ppm,0.14901326596736908
NE,10,S_per,0.14797614514827728
NO,1,Sb_ppm,1.2119722366333008
NO,2,Se_ppm,0.6474928259849548
NO,3,Te_ppm,0.5422264337539673
NO,4,Cd_ppm,0.25006726384162903
NO,5,Rb_ppm,0.24127744138240814
NO,6,Sn_ppm,0.23134738206863403
NO,7,Co_ppm,0.21966129541397095
NO,8,Mn_ppm,0.21243922412395477
NO,9,As_ppm,0.18740296363830566
NO,10,S_per,0.17607510089874268
SO,1,Sb_ppm,1.9180681705474854
SO,2,Se_ppm,0.38801419734954834
SO,3,cluster_litho_prob,0.32659709453582764
SO,4,U_ppm,0.30110475420951843
SO,5,As_ppm,0.2516811490058899
SO,6,Te_ppm,0.2153710275888443
SO,7,Zr_ppm,0.17829549312591553
SO,8,Ge_ppm,0.15835151076316833
SO,9,Sn_ppm,0.15624584257602692
SO,10,Na_per,0.15052944421768188
SE,1,Sb_ppm,1.463850498199463
SE,2,Se_ppm,0.4191780984401703
SE,3,Te_ppm,0.3859270513057709
SE,4,Mo_ppm,0.22479411959648132
SE,5,Ce_ppm,0.2245633602142334
SE,6,Na_per,0.18123556673526764
SE,7,Cd_ppm,0.1727590560913086
SE,8,La_ppm,0.1656605750322342
SE,9,Ge_ppm,0.16406157612800598
SE,10,Mg_per,0.15882080793380737
