,F2_CV (media),F2_CV (std),Recall_CV,Precision_CV,F1_CV,AUC-PR_CV,Tiempo (s)
KNN,0.4149,0.0652,0.3895,0.5765,0.4613,0.4488,5.6991
Reg. Logística,0.4034,0.0833,0.3652,0.7161,0.4799,0.6027,0.1381
SVM (RBF),0.1883,0.0478,0.1585,0.8305,0.2626,0.535,0.9964
MLP,0.5432,0.0799,0.5235,0.6581,0.578,0.6304,9.8059
Árbol de Decisión,0.5112,0.0314,0.5193,0.4884,0.5008,0.3118,0.2302
Random Forest,0.3848,0.0738,0.3456,0.7553,0.4659,0.6678,2.3586
ExtraTrees,0.3881,0.0285,0.3465,0.7808,0.4752,0.6519,1.4619
HistGradientBoosting,0.5223,0.088,0.4899,0.7574,0.5835,0.7112,2.0149
XGBoost,0.5214,0.0444,0.4901,0.7334,0.5797,0.6745,5.467
LightGBM,0.5276,0.0241,0.4951,0.737,0.5871,0.7136,7.9614
CatBoost,0.4851,0.0689,0.4513,0.7607,0.5512,0.7052,5.1617
