,frac_censurado
Re_ppm,0.947
Se_ppm,0.818
Te_ppm,0.682
Ge_ppm,0.28
S_per,0.227
Ta_ppm,0.118
Bi_ppm,0.074
Cd_ppm,0.043
Hf_ppm,0.035
Sn_ppm,0.029
U_ppm,0.021
La_ppm,0.017
Ti_per,0.016
Zr_ppm,0.014
W_ppm,0.012
Tl_ppm,0.011
Nb_ppm,0.01
Ca_per,0.006
Ni_ppm,0.005
Na_per,0.004
As_ppm,0.003
Cr_ppm,0.003
Ba_ppm,0.002
Sc_ppm,0.002
Be_ppm,0.001
Co_ppm,0.001
Y_ppm,0.001
V_ppm,0.001
Cs_ppm,0.001
Mo_ppm,0.001
K_per,0.001
Ga_ppm,0.001
Mg_per,0.001
Rb_ppm,0.001
Sr_ppm,0.001
Ce_ppm,0.001
Th_ppm,0.001
Sb_ppm,0.001
Al_per,0.0
P_ppm,0.0
Fe_per,0.0
Mn_ppm,0.0
