,media_neg,mediana_neg,media_pos,mediana_pos,ratio_media
Ag_ppm,1.181,0.24,54.903,7.136,46.49
Al_per,5.457,6.14,2.889,2.32,0.53
As_ppm,58.517,8.795,807.243,25.18,13.8
Ba_ppm,378.213,305.37,173.842,111.88,0.46
Be_ppm,0.864,0.84,0.522,0.425,0.6
Bi_ppm,1.182,0.05,40.754,0.05,34.48
Ca_per,2.793,1.5,1.777,0.145,0.64
Cd_ppm,1.648,0.1,10.286,0.165,6.24
Ce_ppm,28.206,28.03,11.949,8.595,0.42
Co_ppm,8.548,5.89,27.69,2.28,3.24
Cr_ppm,20.981,18.69,19.863,18.385,0.95
Cs_ppm,6.161,4.64,4.582,3.45,0.74
Cu_ppm,49.517,12.82,219.671,17.625,4.44
Fe_per,3.353,2.8,3.55,1.78,1.06
Ga_ppm,12.582,13.835,7.143,5.56,0.57
Ge_ppm,0.083,0.08,0.063,0.038,0.76
Hf_ppm,1.548,1.32,0.678,0.48,0.44
K_per,1.449,1.285,1.008,0.66,0.7
La_ppm,13.918,13.07,6.073,4.385,0.44
Mg_per,0.849,0.55,0.297,0.175,0.35
Mn_ppm,873.344,663.02,636.43,253.68,0.73
Mo_ppm,3.551,0.95,13.614,3.87,3.83
Na_per,1.014,0.39,0.137,0.03,0.14
Nb_ppm,5.011,5.25,2.039,1.175,0.41
Ni_ppm,6.163,3.68,3.267,1.95,0.53
P_ppm,496.922,429.28,259.595,190.805,0.52
Pb_ppm,100.589,11.43,856.283,22.835,8.51
Rb_ppm,75.942,63.45,63.707,45.11,0.84
Re_ppm,0.001,0.001,0.001,0.001,1.0
S_per,0.16,0.02,0.493,0.03,3.08
Sb_ppm,12.518,5.04,101.07,22.94,8.07
Sc_ppm,9.052,7.77,4.463,3.01,0.49
Se_ppm,0.707,0.5,1.669,0.5,2.36
Sn_ppm,2.257,1.25,2.555,0.545,1.13
Sr_ppm,171.019,104.135,46.61,18.695,0.27
Ta_ppm,0.378,0.37,0.15,0.09,0.4
Te_ppm,0.136,0.025,3.081,0.058,22.65
Th_ppm,5.075,3.33,1.957,0.935,0.39
Ti_per,0.254,0.21,0.118,0.08,0.46
Tl_ppm,0.746,0.63,0.677,0.43,0.91
U_ppm,1.375,0.96,0.593,0.32,0.43
V_ppm,72.798,60.0,46.467,33.25,0.64
W_ppm,1.459,0.93,2.274,0.875,1.56
Y_ppm,11.553,11.7,4.686,3.36,0.41
Zn_ppm,158.604,51.985,773.182,36.405,4.87
Zr_ppm,53.891,46.455,23.105,14.66,0.43
