,Al_per,Fe_per,Mg_per,Ca_per,Na_per,K_per,Ti_per,P_ppm,S_per,Mn_ppm,Zr_ppm,Nb_ppm,Y_ppm,Th_ppm,Hf_ppm,Ta_ppm,Sc_ppm,Ga_ppm,La_ppm,Ce_ppm,V_ppm,Cr_ppm,Ni_ppm,Co_ppm,U_ppm,As_ppm,Sb_ppm,Tl_ppm,Te_ppm,Se_ppm,Bi_ppm,Ge_ppm,Mo_ppm,W_ppm,Sn_ppm,Cd_ppm,Rb_ppm,Cs_ppm,Sr_ppm,Ba_ppm,Be_ppm,Se_detectado,Te_detectado
Al_per,1.0,0.2322743523539813,0.3841240509718498,-0.09573194595346626,0.7085913412165239,0.6135530140794417,0.8067452521942617,0.665270337538058,0.011941417388867587,-0.0014582898921675451,0.6475609670149632,0.7786385006572538,0.7636762651098573,0.48973344902871324,0.678238301850008,0.7366150180923435,0.8190122143000219,0.9358869792637743,0.6691388471118273,0.7216982471322019,0.6637878164182099,0.16229542486508086,0.24276206381410131,0.042952537909235824,0.43800143471109715,-0.05241468149792524,-0.05044518465688354,0.36481796225148766,-0.07802372862479956,-0.04339272222096945,-0.0592143367922298,0.4738898280847101,-0.11447686658282041,0.03364237976351888,0.08703591959051615,-0.026742026968555647,0.4566851806996299,0.4824617344504978,0.5021823328851885,0.5667407911310087,0.7584190405438483,-0.012874204269543995,0.02471524063269073
Fe_per,0.2322743523539813,1.0,0.20168650992010548,-0.03951992205055107,0.11704198936713062,-0.033880098798916194,0.3467623551865445,0.3783926857788691,0.44272986583476037,0.10292071189301749,0.09798819879728869,0.13563211044087412,0.19034983243200712,-0.07882445401588234,0.0726188645497395,0.06206779655489059,0.34337079892004985,0.3252274713206542,0.0719359895985323,0.09733428007452406,0.4291349784278989,0.131566023698255,0.2607890280790337,0.16144645139968133,-0.06997452937396129,0.1129497210026201,0.03710956310034163,0.04401403815739592,0.1339290114503314,0.23834060301983515,0.1294384036151105,0.5642111225750797,0.05845769850634878,0.30313238426320716,0.1768938410733109,0.10361841436946374,-0.05477388493798724,0.09123164067014916,0.13500872507050993,0.016603665582539007,0.09262806646856862,0.2732335610853172,0.231809218209737
Mg_per,0.3841240509718498,0.20168650992010548,1.0,0.2871943876986125,0.3352668922769729,-0.07374116074582852,0.5138888786662201,0.5463290451617647,0.008258784831330865,0.16503987380962457,0.1728413300768215,0.22323854548476468,0.2655072594574856,-0.10422047778549062,0.1528362370128742,0.12468218164274518,0.5072663826660052,0.37194448792010587,0.0867151262013458,0.12971396419405512,0.513843987316037,0.251113800445395,0.3272907703272039,0.046643433875079285,-0.040269440743302055,-0.07456462903839071,-0.07224880355635419,-0.07849136301097252,-0.05541658593240708,-0.03312601908855207,-0.03409203420201927,0.23558350610194415,-0.1288860253860422,-0.026202714384505367,-0.0030582702366898206,-0.011620855080101864,-0.1474046469159458,0.1085886494306692,0.5436486411076776,0.08232240262469183,0.15887049552409127,-0.0006890636835352623,-0.04333258988918303
Ca_per,-0.09573194595346626,-0.03951992205055107,0.2871943876986125,1.0,-0.01464645219769327,-0.23043717818818735,0.007431278389141951,0.07667787755717465,-0.032202812172360123,0.4443514955692062,-0.09230510134973148,-0.12619860289765847,0.04295937587093489,-0.1962266000174098,-0.10919192477160164,-0.1586807142227882,0.01854411847715307,-0.08546767048957901,-0.07607013946571752,-0.0787983004539127,0.028541052781224246,-0.13658452959974907,0.024239092544784617,-0.007428241904888798,-0.12918653375219946,-0.07852284419840071,-0.05551777655398193,-0.2020983276003955,-0.03710359340375529,-0.03796916846684472,-0.030116096554316376,-0.02150654935263202,-0.1064654573643868,-0.08561324569726925,-0.08775990121223982,-0.02125884885221281,-0.2436266244819541,-0.10164497923619795,0.4527713540704858,-0.11674596383648697,-0.14007552344313398,0.07616883644313602,-0.10301165410376599
Na_per,0.7085913412165239,0.11704198936713062,0.3352668922769729,-0.01464645219769327,1.0,0.2559098546648488,0.5556592927620218,0.4846330777275122,-0.028341053453268372,-0.007706606021662514,0.5098591299097305,0.5581929015644606,0.64660775038681,0.3801487917917914,0.5713852759748308,0.5512661548879504,0.5742574100060245,0.6502762750581391,0.5090084502831056,0.5515373330645398,0.411107196346459,0.044374428464611336,0.13816609466513935,0.012524952481390754,0.3782401140215848,-0.10735027751798842,-0.1039506546766775,0.017992327363690136,-0.07379195313229028,-0.07056608549243994,-0.04084046950075408,0.36371402444356415,-0.1490210146421197,-0.08834397630945001,-0.028484882174543372,-0.0407101755088036,0.045575037492547106,0.12067392165308431,0.6453145209171283,0.46446537841770685,0.6041370583850874,-0.14053450331590364,-0.14272576028514727
K_per,0.6135530140794417,-0.033880098798916194,-0.07374116074582852,-0.23043717818818735,0.2559098546648488,1.0,0.3000385509708603,0.1950904711104752,0.022249002727352578,-0.0994901240600247,0.47595782871244574,0.6010158213159984,0.47645250653493953,0.6435707817393057,0.5272927227527092,0.6599745033532646,0.3216526302121923,0.5655462109150241,0.6166601634503763,0.628661974929172,0.1534280939373142,-0.08436093269774687,-0.0203689551665376,-0.02891598595147692,0.5638438772038542,-0.01571887961047128,-0.018268974280455486,0.6504721889357236,-0.07490875731740336,-0.04892107501891782,-0.053069812633870804,0.2307095970816149,0.015560903248019543,0.05812394474858268,0.01986821307973347,-0.013010580427526945,0.9056532489055819,0.4942392775981655,-0.0035560241263588436,0.6408920044847958,0.6430704433866069,-0.03679661124388956,0.05208896700864854
Ti_per,0.8067452521942617,0.3467623551865445,0.5138888786662201,0.007431278389141951,0.5556592927620218,0.3000385509708603,1.0,0.7995097080575401,0.03435037171747949,0.08028973546420487,0.48589194578655365,0.620910424064675,0.560996714493005,0.05177861265995752,0.4484006556006117,0.4544390519275423,0.9214839156356037,0.7862362495413223,0.37188157011287737,0.4457724765762621,0.872538733954633,0.4552002539296332,0.3826195734111267,0.07105065572974535,0.026042870783018778,-0.06177363360901511,-0.03699830272084671,0.2337417122234079,-0.053110357762745974,-0.03245831814626634,-0.045890390434550864,0.4379690318380373,-0.10269917590526044,0.06583928262356364,0.06737969572360493,-0.01213986556180092,0.19913093063200868,0.4201522917019272,0.5209983658781261,0.33760025796036836,0.44799201148039897,0.060986301891583855,0.04808761535225096
P_ppm,0.665270337538058,0.3783926857788691,0.5463290451617647,0.07667787755717465,0.4846330777275122,0.1950904711104752,0.7995097080575401,1.0,0.03434354407988683,0.1027909376446217,0.42798779851487395,0.464706237428235,0.4807440905929846,-0.011278657307379187,0.37997564370155235,0.3146312591984887,0.748246875227654,0.6438831035525482,0.2836757942496765,0.34196403547634496,0.7429944162493933,0.3154631856173975,0.3316205846135666,0.06365604043535245,0.028313212506843585,-0.02433232903917069,-0.04668447653206948,0.18107616982294408,-0.016651832170155798,-0.0018613224737394497,0.01985150518906276,0.4081880056297431,-0.07571153688946422,0.07066490960200872,0.01794341331195385,-0.008653481974368257,0.1077614857889367,0.3522714823110022,0.5049426425079857,0.30139415245332657,0.3519093982212177,0.060459530156532465,0.039015929427249414
S_per,0.011941417388867587,0.44272986583476037,0.008258784831330865,-0.032202812172360123,-0.028341053453268372,0.022249002727352578,0.03435037171747949,0.03434354407988683,1.0,0.06487416729433833,-0.05888669169411192,-0.0028984682875015247,-0.006800254814535401,-0.041293183521853995,-0.06518465499739651,-0.01771708492426122,0.03874803114101314,0.03778049382687692,-0.015668559537897208,-0.004268866070313354,0.05362518917162975,-0.005280012593189097,0.07473264098059694,0.24286963374522288,-0.04417022348550491,0.18821999016545216,0.09034804683735023,0.09955700919742423,0.09424038252955769,0.3393970315333305,0.009193908166479232,0.17601468344847176,0.07482837440370801,0.10800354436900757,0.014367194647111814,0.485009859269598,0.03363298187233421,0.02504424893405297,-0.03647593554170593,-0.021118583804975388,-0.02931386009212831,0.26166852473694363,0.2122091162256151
Mn_ppm,-0.0014582898921675451,0.10292071189301749,0.16503987380962457,0.4443514955692062,-0.007706606021662514,-0.0994901240600247,0.08028973546420487,0.1027909376446217,0.06487416729433833,1.0,-0.011117940467049196,0.0023135291018946983,0.13723859715884965,-0.10074367658702521,-0.02829451942109881,-0.033491755795662395,0.06610503696390164,0.020222595172468022,0.048065639990006834,0.05627783268616847,0.07134293036479902,0.02508760543292393,0.15165079386352465,0.009417536015649618,-0.07613865294693009,0.10948979021775607,0.1591615100611416,0.10243052946380513,-0.031360165283209014,-0.007971881547530773,-0.023345153901021983,0.05197326918273777,-0.08374309895397057,0.024498625956959397,-0.0012902491108327228,0.10148189851919963,-0.10462561091598498,-0.011210993459340419,0.1593919429138534,-0.04837373962482719,-0.04857989518469043,0.07402674910455652,-0.06642880518513818
Zr_ppm,0.6475609670149632,0.09798819879728869,0.1728413300768215,-0.09230510134973148,0.5098591299097305,0.47595782871244574,0.48589194578655365,0.42798779851487395,-0.05888669169411192,-0.011117940467049196,1.0,0.6265152374847033,0.6387440729021003,0.5048402815043033,0.9451506207614248,0.6179194329706776,0.48339280728728246,0.6131664862027993,0.5561916921031574,0.5806275978164533,0.33731561134276755,-0.04315710352191921,0.08827372631963182,0.019858906326711865,0.5284387210980442,-0.0902595132952382,-0.03978855126290336,0.2688669916753649,-0.08000662917910899,-0.07738693202369823,-0.06010238944477466,0.2915855864922761,-0.0944383327360322,-0.03068526311034195,-0.023475101344476765,-0.01820525105574641,0.3719938901259342,0.38380032931230856,0.30668059589123836,0.45723665432540417,0.5870580037686655,-0.1086775538828747,-0.15206938690266897
