,Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
Ag_ppm,1.0,-0.45311868655148696,0.5789838970958217,-0.37900805299264356,-0.4042629298612699,0.11562199375504312,-0.3406672069198592,0.2510153795996761,-0.41605533405028405,-0.22449981568088337,0.034659783279447035,-0.11725927593933844,0.2974371265427946,-0.12319450280857205,-0.40986757999747003,-0.2733750027872527,-0.4247360154553329,-0.18627922910651631,-0.4004136681819496,-0.3577405973432969,-0.21278927510678516,0.43492540038071265,-0.5146011124533063,-0.4595566875842893,-0.14939482914118093,-0.3159260607848241,0.40130767622983904,-0.005705292863948572,0.03713578637838112,0.18401902174121348,0.6364058946918209,-0.34213638347799186,0.24439124489833655,-0.18496624627029803,-0.5495386115923478,-0.4384341750014724,0.28982397023007234,-0.367725487176598,-0.350896860326636,0.01788309528609773,-0.39214958510662057,-0.1966842836508683,0.1696305383076332,-0.47927316967141576,-0.0006001300607249104,-0.40961724337616606
Al_per,-0.45311868655148696,1.0,-0.2769013688672345,0.7604562510126605,0.8015545106610547,0.18428142413498966,0.3394611714981863,0.03489797771200451,0.7774364220455601,0.5594780836304906,0.11472152477252975,0.5638770166997853,0.1604894946169527,0.5928132393481373,0.932099903454475,0.6099604671612436,0.7415757920885364,0.6563516418987718,0.751446789235579,0.6066666824943642,0.3098308463216401,-0.15370957632029159,0.7968894813942603,0.8458998589031536,0.4457338460525514,0.7456848893772838,0.06437906426675512,0.470776068384189,0.08693071990775104,0.1521122619285174,-0.47979810116879285,0.8525704809666231,-0.017919122012963043,0.5659537872018643,0.6424712547063967,0.8146887457878529,-0.008257907291346305,0.7303102810633288,0.829847512699462,0.49988918259573767,0.6612688237852806,0.6705182779366676,0.32674991689851113,0.8195917840650147,0.484598190993925,0.7067994573911737
As_ppm,0.5789838970958217,-0.2769013688672345,1.0,-0.288298629329507,-0.28675836835023943,0.19733978644173364,-0.4327053728556956,0.15237167795929768,-0.2566554852211766,-0.15018523310875467,0.06041283229582639,-0.011092676122147985,0.204119774926193,0.013338742317780136,-0.2435432759116067,-0.18056438248521942,-0.23080245182176018,-0.06750871962276764,-0.24086759198413926,-0.29372273142002087,-0.2403107974274015,0.5376745972500064,-0.4644993920137741,-0.24914418836173063,-0.08812541227692287,-0.14880672188826236,0.3655431903847921,0.07383916895030329,0.07431041727308048,0.2564403297432213,0.5795237063111036,-0.1949912725230105,0.2626691855622926,0.011184338115679336,-0.5226467582455536,-0.23076746495401435,0.25984417457616055,-0.13569984777176292,-0.16230109818666208,0.13629212397328602,-0.15596479455304152,-0.066584774508716,0.2867907362064599,-0.33127393691142104,-0.058746603454227664,-0.21703743652037322
Ba_ppm,-0.37900805299264356,0.7604562510126605,-0.288298629329507,1.0,0.7462243167458642,0.1103423654086212,0.1717003884576957,0.014131306063467686,0.710373855392283,0.3050834323099231,-0.04553036484309496,0.5198794507178132,0.008803734677933054,0.30721531583967776,0.6981029653784913,0.46235954833944326,0.6972240002120349,0.8315697172815018,0.6963366551603711,0.3317698183478301,0.13781925792636018,-0.1041683130896561,0.7155072088128996,0.7278770689004296,0.18553130760963799,0.4878784960896271,0.1124581529626936,0.6490270010810961,0.023042026894161648,0.07163342252595087,-0.42866097679231835,0.586651375015175,-0.1089684293289381,0.46629327025663314,0.4988028388856292,0.7366957098061861,-0.08006360213783228,0.6951782402880571,0.5474221508084037,0.6314022794404397,0.6386596308459331,0.35886389370208593,0.25128444057043936,0.681866317170533,0.3355963352637198,0.6571722529715397
Be_ppm,-0.4042629298612699,0.8015545106610547,-0.28675836835023943,0.7462243167458642,1.0,0.20128261932582944,0.19569934479890877,0.09311880020095727,0.8031858397475489,0.26930731788817613,-0.0749847356793075,0.5407131079268543,-0.027777346054354075,0.3131427696766615,0.7701225573321405,0.5142864098503434,0.7347222585867553,0.699247447538237,0.7844145933741863,0.32672660832962674,0.15032876740892975,-0.14228944045375316,0.7172482409428976,0.848575917930852,0.20079962177940897,0.45835707639986195,0.1634269303339918,0.5342739383222143,0.0848116221740444,0.051062459976257205,-0.42321108366656823,0.5791628381115446,-0.041741087991747396,0.5969674030120893,0.49922616977419515,0.8692627920068149,-0.08541759039837783,0.8205841374048838,0.5260069981944702,0.5136683249451487,0.7674699141422124,0.31053122339175954,0.25797751925927453,0.7924573227589627,0.38497210591580017,0.6792148179556604
Bi_ppm,0.11562199375504312,0.18428142413498966,0.19733978644173364,0.1103423654086212,0.20128261932582944,1.0,-0.14841138834285944,0.1861717456187145,0.27366043385516164,-0.007536704453709521,0.002817327580881766,0.09397146775383551,0.2967640888318497,0.2811425960320701,0.2546583350165494,0.23760762966448393,0.10752151255733056,0.1766338959710382,0.2793205075476609,-0.005410438994928278,-0.20176595560855035,0.26700885441127503,0.1001488392467285,0.27308822705148805,0.016521374865620886,0.08652583047819981,0.38626778932634387,0.1837142742038158,0.12466035814012687,0.36227737106518365,-0.08013464922144645,0.126128203957514,0.31845179532584167,0.564043875484428,-0.011069574416569113,0.29594299395845475,0.580647938748319,0.36411815975168926,0.13550052139278235,0.16670917484548234,0.33061980004213903,0.0709072696546011,0.32235676621454307,0.19918504054475825,0.18079113048613854,0.07977608102757104
Ca_per,-0.3406672069198592,0.3394611714981863,-0.4327053728556956,0.1717003884576957,0.19569934479890877,-0.14841138834285944,1.0,0.07691603058336302,0.21856356975187555,0.5086554854231137,-0.010039886521065716,0.11821160154255803,0.13024338546687186,0.32807330587330974,0.34723635592611873,0.318712206849741,0.19337071241641982,-0.02512565475265237,0.2107609737317993,0.620344301733237,0.7076477798173029,-0.33664020731500255,0.38113128936573626,0.2102743874471876,0.38282928893119045,0.4363867267061162,-0.2813991742995668,-0.1336054789630174,0.030258593448534887,0.14441086597995784,-0.29111950678179,0.4295768738382039,-0.05280644971993186,-0.013621432812882401,0.7825990711028171,0.15035519149066104,-0.10912225766903304,0.03197829536933367,0.404211298510262,-0.10468376962999514,0.06644429883542938,0.4087779682849224,-0.046463904458217194,0.41366649996586946,0.24523964054117575,0.19432244599345583
Cd_ppm,0.2510153795996761,0.03489797771200451,0.15237167795929768,0.014131306063467686,0.09311880020095727,0.1861717456187145,0.07691603058336302,1.0,0.12117193662750697,0.13937722095117855,-0.030422653912205652,0.007470525155936528,0.25892909544768816,0.12253949939581704,0.057306545769167584,0.10102503218586181,0.048189496835698994,-0.004221489679884025,0.12174244365369506,0.04630427490448392,0.23032211321936785,0.12860823959215392,0.0188218917953858,0.0667004909729327,0.14770860273778164,0.04299304668594404,0.5224119317820748,-0.01946059766487623,0.05454545563173239,0.10723062732565382,0.13725036581744912,0.03648001372346545,0.09253781377063733,0.16682695271958148,0.028424878527858383,0.07611751632859681,0.09580114987671912,0.07977518596481159,0.005370170517938391,-0.013408751144740272,0.11096067880584819,0.020024992692375926,0.0657926465919805,0.13364737427945422,0.6293666440219209,0.03156072598580908
Ce_ppm,-0.41605533405028405,0.7774364220455601,-0.2566554852211766,0.710373855392283,0.8031858397475489,0.27366043385516164,0.21856356975187555,0.12117193662750697,1.0,0.28707159341775373,-0.10073712544419405,0.5000821587492383,0.0041250373223523235,0.338035694765342,0.7560759582114415,0.5653169529475262,0.7523901930360979,0.6880997893974011,0.9863782767671012,0.3135316688608264,0.20475844124985682,-0.13298624075234203,0.6966524979873351,0.8722335102800007,0.19647010110119884,0.4559518929031624,0.20101297850931626,0.562400804400607,0.06994558873220999,0.1092152240671685,-0.48214423835985626,0.5842050669912618,-0.07240897884464582,0.6506290696960617,0.5018480903851835,0.889700569948844,-0.044742806097215856,0.8758285435931484,0.5388993844253562,0.5123724611478573,0.8011791448144814,0.2851465395828718,0.300680545346413,0.8807624761724521,0.3947266885281704,0.700324420740649
Co_ppm,-0.22449981568088337,0.5594780836304906,-0.15018523310875467,0.3050834323099231,0.26930731788817613,-0.007536704453709521,0.5086554854231137,0.13937722095117855,0.28707159341775373,1.0,0.3668898619217532,0.328997555822622,0.44766960162780567,0.7535041200355138,0.5543970606243895,0.4594290727852724,0.32904594192902276,0.11332740811106054,0.25137754618705854,0.7793367208422634,0.6174927073435907,-0.15513580592563805,0.45195024488730795,0.353316779956728,0.8364771284464898,0.762637748273946,-0.11548200195599355,0.007272709514615455,0.10114776653970912,0.20692263553009305,-0.22088442234840774,0.7341472882874773,0.02276746903185813,0.1085107995640026,0.5444587911210097,0.249199345223494,-0.023515405957449557,0.11726690082964286,0.7441243354704056,0.09614408118980998,0.12227884456484042,0.799586462354731,0.20145722036090352,0.4526645907447174,0.5348330463093295,0.3561849953002194
