,count,mean,std,min,25%,50%,75%,max,skew,n_nulos
Al_per,2132.0,5.144,3.026,0.05,2.318,5.515,7.87,15.85,-0.002,0
Fe_per,2132.0,3.377,3.41,0.18,1.45,2.655,4.602,55.0,6.71,0
Mg_per,2132.0,0.782,0.905,0.005,0.16,0.48,1.22,10.35,3.56,0
Ca_per,2132.0,2.669,4.558,0.005,0.13,1.26,3.35,35.07,3.918,0
Na_per,2132.0,0.907,1.087,0.005,0.03,0.25,1.87,5.09,0.944,0
K_per,2132.0,1.395,1.045,0.005,0.55,1.225,2.03,8.39,1.042,0
Ti_per,2132.0,0.237,0.182,0.002,0.08,0.19,0.4,0.96,0.588,0
P_ppm,2132.0,467.98,370.589,9.38,157.735,383.06,748.355,4268.94,1.753,0
S_per,2132.0,0.201,0.84,0.005,0.01,0.02,0.08,11.0,9.36,0
Mn_ppm,2132.0,844.452,1559.598,19.87,284.295,623.275,971.062,41050.26,13.186,0
Zr_ppm,2132.0,50.136,40.126,0.25,17.038,42.095,73.048,274.42,1.032,0
Nb_ppm,2132.0,4.649,3.614,0.05,1.52,4.34,6.93,25.94,1.144,0
Y_ppm,2132.0,10.716,7.705,0.05,3.97,9.93,16.19,55.85,0.791,0
Th_ppm,2132.0,4.695,5.081,0.005,1.198,3.015,6.042,32.45,1.867,0
Hf_ppm,2132.0,1.442,1.118,0.05,0.54,1.18,2.152,6.87,0.923,0
Ta_ppm,2132.0,0.35,0.281,0.025,0.11,0.32,0.52,1.73,1.004,0
Sc_ppm,2132.0,8.492,6.365,0.05,3.04,6.95,13.942,32.75,0.648,0
Ga_ppm,2132.0,11.918,6.931,0.025,5.458,12.49,17.895,35.04,0.026,0
La_ppm,2132.0,12.961,9.728,0.25,4.658,12.075,18.712,76.91,1.064,0
Ce_ppm,2132.0,26.224,18.943,0.005,9.498,24.685,38.32,122.46,0.823,0
V_ppm,2132.0,69.587,54.768,0.5,23.71,55.67,109.535,505.79,0.891,0
Cr_ppm,2132.0,20.845,14.449,0.5,12.202,18.63,26.482,201.74,3.056,0
Ni_ppm,2132.0,5.81,9.629,0.1,1.55,3.365,7.72,274.21,13.352,0
Co_ppm,2132.0,10.882,81.716,0.05,1.978,5.335,12.5,2643.08,31.08,0
U_ppm,2132.0,1.28,1.312,0.05,0.4,0.88,1.61,12.46,2.223,0
As_ppm,2132.0,149.825,883.397,0.1,3.678,9.955,31.19,11000.0,10.302,0
Sb_ppm,2132.0,23.317,141.786,0.025,2.37,6.325,17.84,4397.2,20.364,0
Tl_ppm,2132.0,0.738,0.65,0.01,0.32,0.62,0.99,11.03,4.603,0
Te_ppm,2132.0,0.495,4.335,0.025,0.025,0.025,0.065,120.683,18.755,0
Se_ppm,2132.0,0.825,2.217,0.5,0.5,0.5,0.5,64.03,19.978,0
Bi_ppm,2132.0,6.008,107.976,0.005,0.05,0.05,0.16,3566.14,27.645,0
Ge_ppm,2132.0,0.081,0.056,0.025,0.025,0.07,0.11,1.16,4.309,0
Mo_ppm,2132.0,4.778,14.424,0.025,0.45,1.05,2.84,206.0,7.56,0
W_ppm,2132.0,1.559,3.639,0.05,0.56,0.92,1.61,84.13,15.072,0
Sn_ppm,2132.0,2.293,7.398,0.1,0.53,1.19,1.82,175.75,12.932,0
Cd_ppm,2132.0,2.702,34.76,0.01,0.057,0.11,0.23,1100.0,23.212,0
Rb_ppm,2132.0,74.45,58.063,0.05,29.458,61.665,107.55,412.36,1.193,0
Cs_ppm,2132.0,5.968,5.559,0.025,2.438,4.465,7.618,61.91,2.948,0
Sr_ppm,2132.0,155.847,182.233,0.1,18.738,89.86,231.968,2906.82,2.871,0
Ba_ppm,2132.0,353.289,357.197,5.0,102.952,264.57,512.507,6874.34,4.994,0
Be_ppm,2132.0,0.823,0.519,0.025,0.38,0.74,1.17,3.07,0.704,0
Se_detectado,2132.0,0.182,0.386,0.0,0.0,0.0,0.0,1.0,1.65,0
Te_detectado,2132.0,0.318,0.466,0.0,0.0,0.0,1.0,1.0,0.78,0
