,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
1,0.361,0.0,0.3488,0.0,0.2453,0.3137,0.3285,0.3721,0.0333,0.3407,0.3627
2,0.3913,0.0,0.3672,0.0377,0.2796,0.3687,0.3736,0.4444,0.2703,0.4032,0.4046
3,0.4767,0.1967,0.3668,0.2727,0.3011,0.4,0.4183,0.4038,0.4045,0.3889,0.4645
4,0.4551,0.2857,0.375,0.25,0.3146,0.3867,0.4,0.4694,0.3956,0.404,0.4444
5,0.4756,0.2812,0.3744,0.4324,0.381,0.4286,0.446,0.404,0.4667,0.4043,0.4521
6,0.4431,0.2812,0.3697,0.4533,0.3299,0.469,0.4848,0.4706,0.5169,0.451,0.5035
7,0.4634,0.3284,0.3791,0.5455,0.3564,0.4706,0.5,0.4946,0.5106,0.5253,0.5397
8,0.4906,0.3529,0.3824,0.5843,0.3846,0.4545,0.5238,0.495,0.5055,0.5192,0.5556
9,0.4713,0.3582,0.4082,0.5227,0.3673,0.5113,0.5238,0.5347,0.4667,0.4444,0.5645
10,0.4684,0.3582,0.3938,0.5647,0.3636,0.5312,0.5231,0.4898,0.5333,0.4646,0.5738
11,0.4596,0.3636,0.3897,0.5714,0.3604,0.5039,0.5556,0.4792,0.5111,0.48,0.5574
12,0.4615,0.3636,0.4,0.5581,0.3704,0.5224,0.5366,0.4894,0.4819,0.5275,0.5167
13,0.4586,0.4058,0.3979,0.561,0.3619,0.5263,0.5238,0.5161,0.4941,0.5106,0.5172
14,0.481,0.4058,0.398,0.557,0.3469,0.5231,0.5546,0.5319,0.4762,0.4889,0.5289
15,0.4691,0.4,0.4145,0.5542,0.4124,0.56,0.569,0.5,0.4286,0.5217,0.5091
16,0.4568,0.4,0.413,0.561,0.3762,0.5414,0.595,0.5208,0.4819,0.5227,0.5455
17,0.443,0.4118,0.4084,0.6437,0.3711,0.5496,0.5983,0.5106,0.4878,0.5275,0.5091
18,0.4277,0.4507,0.4233,0.6136,0.3333,0.5373,0.5789,0.4783,0.5185,0.4598,0.5333
19,0.4625,0.4595,0.4233,0.587,0.3077,0.5323,0.5667,0.5,0.4878,0.4889,0.5641
20,0.4713,0.4595,0.4316,0.6,0.3509,0.5581,0.569,0.5208,0.506,0.5055,0.5631
21,0.475,0.4474,0.4316,0.5934,0.3243,0.544,0.5528,0.5625,0.506,0.5435,0.58
22,0.4875,0.4416,0.4308,0.6237,0.3925,0.5781,0.5378,0.5393,0.5301,0.5287,0.5625
23,0.475,0.4416,0.4249,0.6316,0.297,0.5366,0.5217,0.5532,0.5287,0.5618,0.5895
24,0.4785,0.4595,0.4375,0.5979,0.3636,0.5397,0.5536,0.5111,0.5412,0.5682,0.5941
25,0.4472,0.4474,0.4565,0.6522,0.3261,0.5312,0.5593,0.5843,0.4938,0.5455,0.5859
26,0.4444,0.4675,0.459,0.6526,0.396,0.5938,0.5424,0.5778,0.5647,0.5714,0.5745
27,0.4417,0.4675,0.4541,0.6526,0.3297,0.5484,0.6207,0.5393,0.5301,0.5682,0.5957
28,0.454,0.4935,0.4457,0.6337,0.3579,0.541,0.5614,0.5412,0.561,0.5412,0.5657
29,0.475,0.4935,0.4624,0.6337,0.3673,0.5645,0.6126,0.5455,0.5238,0.5517,0.5435
30,0.4625,0.5,0.4624,0.6316,0.3137,0.5645,0.5536,0.6067,0.4691,0.6087,0.5895
31,0.4615,0.5,0.4762,0.6598,0.4038,0.5882,0.6055,0.5977,0.5412,0.6374,0.6022
32,0.4675,0.5063,0.4706,0.6804,0.3922,0.5574,0.6018,0.5934,0.5517,0.6136,0.625
33,0.4737,0.5316,0.4762,0.6939,0.3077,0.595,0.5741,0.5934,0.5057,0.6067,0.5979
34,0.4768,0.5316,0.4762,0.6458,0.3158,0.5691,0.6111,0.6067,0.4938,0.5909,0.6392
35,0.4967,0.5316,0.479,0.6667,0.3297,0.5882,0.5686,0.5647,0.506,0.5714,0.6667
36,0.4837,0.5316,0.479,0.6869,0.3366,0.6,0.5766,0.5778,0.5455,0.5934,0.6526
37,0.4967,0.5195,0.4762,0.6863,0.3226,0.6379,0.5825,0.6154,0.5682,0.5517,0.5833
38,0.5,0.5854,0.4819,0.7292,0.3168,0.605,0.5769,0.5843,0.5349,0.5412,0.5625
39,0.5033,0.5854,0.4756,0.7525,0.3434,0.5983,0.5905,0.5581,0.5122,0.5287,0.5532
40,0.5067,0.6024,0.4785,0.6735,0.32,0.6087,0.5905,0.5647,0.506,0.5301,0.6392
41,0.5033,0.6265,0.4785,0.72,0.3462,0.5739,0.549,0.4941,0.5287,0.5432,0.5895
42,0.5,0.6098,0.4908,0.7379,0.3232,0.6018,0.5577,0.5647,0.5301,0.5747,0.6105
43,0.5065,0.619,0.4819,0.717,0.3495,0.5424,0.6214,0.5882,0.6136,0.5783,0.6
44,0.5032,0.619,0.4819,0.6916,0.2766,0.5763,0.5769,0.5647,0.5542,0.5476,0.5517
45,0.5032,0.619,0.4819,0.6863,0.3656,0.5636,0.5505,0.5301,0.5412,0.5116,0.5495
46,0.5161,0.6118,0.4848,0.6931,0.4038,0.5641,0.5743,0.5542,0.5517,0.5412,0.4828
