,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
1,0.0339,0.0,0.0,0.0,0.2041,0.2041,0.2062,0.0952,0.0333,0.0656,0.0
2,0.1471,0.0,0.0,0.0377,0.3469,0.2535,0.2778,0.2609,0.2703,0.25,0.037
3,0.4198,0.1967,0.1017,0.2727,0.4906,0.3733,0.4675,0.4318,0.4045,0.4186,0.3333
4,0.3377,0.2857,0.1379,0.25,0.3738,0.3117,0.3947,0.4045,0.3956,0.3614,0.3662
5,0.4524,0.2812,0.1034,0.4324,0.3564,0.3514,0.4359,0.4286,0.4667,0.4706,0.4267
6,0.425,0.2812,0.1034,0.4533,0.4158,0.4416,0.411,0.5495,0.5169,0.5714,0.3429
7,0.4304,0.3284,0.2,0.5455,0.4771,0.4474,0.4737,0.5169,0.5106,0.5333,0.4872
8,0.425,0.3529,0.2295,0.5843,0.4505,0.4737,0.48,0.5275,0.5055,0.5057,0.4054
9,0.3514,0.3582,0.2295,0.5227,0.4364,0.4872,0.4658,0.5934,0.4667,0.4706,0.5063
10,0.4,0.3582,0.2295,0.5647,0.4643,0.4865,0.5067,0.5455,0.5333,0.5287,0.475
11,0.3784,0.3636,0.2034,0.5714,0.4821,0.4167,0.4384,0.4819,0.5111,0.5714,0.4595
12,0.4156,0.3636,0.2034,0.5581,0.4299,0.4658,0.4444,0.5122,0.4819,0.506,0.48
13,0.3243,0.4058,0.2581,0.561,0.4466,0.4444,0.3768,0.5116,0.4941,0.5412,0.4722
14,0.3421,0.4058,0.2581,0.557,0.4646,0.4595,0.4571,0.5227,0.4762,0.5227,0.4737
15,0.3684,0.4,0.2581,0.5542,0.4423,0.4444,0.4789,0.4938,0.4286,0.5,0.4507
16,0.3288,0.4,0.2623,0.561,0.4086,0.4865,0.4058,0.5,0.4819,0.5647,0.5333
17,0.3099,0.4118,0.2623,0.6437,0.4694,0.4658,0.4167,0.6024,0.4878,0.5714,0.4444
18,0.3056,0.4507,0.2667,0.6136,0.4,0.5,0.4167,0.5116,0.5185,0.5854,0.4444
19,0.2817,0.4595,0.2069,0.587,0.3725,0.5263,0.4225,0.5412,0.4878,0.5747,0.4507
20,0.2778,0.4595,0.2034,0.6,0.4082,0.48,0.3889,0.5349,0.506,0.5366,0.4935
21,0.3099,0.4474,0.2034,0.5934,0.4356,0.5067,0.4507,0.4762,0.506,0.5882,0.4737
22,0.2857,0.4416,0.2034,0.6237,0.3929,0.48,0.4384,0.5682,0.5301,0.5366,0.4935
23,0.32,0.4416,0.2034,0.6316,0.4211,0.48,0.4,0.5238,0.5287,0.561,0.5
24,0.3243,0.4595,0.2034,0.5979,0.3652,0.4444,0.4058,0.5843,0.5412,0.5542,0.48
25,0.3288,0.4474,0.2034,0.6522,0.4237,0.4722,0.4167,0.5432,0.4938,0.5783,0.5385
26,0.3243,0.4675,0.2034,0.6526,0.4248,0.4722,0.4225,0.5301,0.5647,0.5952,0.48
27,0.3288,0.4675,0.2034,0.6526,0.431,0.4658,0.4348,0.5349,0.5301,0.525,0.4658
28,0.3288,0.4935,0.2034,0.6337,0.4685,0.4658,0.4286,0.5412,0.561,0.5432,0.411
29,0.32,0.4935,0.2034,0.6337,0.4444,0.5,0.4058,0.55,0.5238,0.5854,0.4416
30,0.3243,0.5,0.2034,0.6316,0.4673,0.4722,0.3889,0.5581,0.4691,0.5783,0.5
31,0.2778,0.5,0.2034,0.6598,0.4673,0.4658,0.4444,0.5349,0.5412,0.561,0.4865
32,0.274,0.5063,0.2034,0.6804,0.4464,0.4658,0.4058,0.5412,0.5517,0.5952,0.4857
33,0.2933,0.5316,0.2034,0.6939,0.5,0.5135,0.4058,0.5747,0.5057,0.5581,0.4533
34,0.2933,0.5316,0.2034,0.6458,0.4771,0.4658,0.3714,0.5581,0.4938,0.5476,0.45
35,0.3158,0.5316,0.2034,0.6667,0.4571,0.4658,0.4,0.5412,0.506,0.5647,0.4557
36,0.3158,0.5316,0.2069,0.6869,0.463,0.4722,0.4,0.5238,0.5455,0.5926,0.4658
37,0.3158,0.5195,0.2034,0.6863,0.4211,0.4932,0.4507,0.5747,0.5682,0.5,0.4737
38,0.2933,0.5854,0.2333,0.7292,0.4381,0.5067,0.3944,0.5814,0.5349,0.5977,0.475
39,0.32,0.5854,0.2333,0.7525,0.4182,0.4384,0.4,0.5647,0.5122,0.5854,0.55
40,0.32,0.6024,0.2333,0.6735,0.5094,0.5,0.4,0.6047,0.506,0.5854,0.5526
41,0.32,0.6265,0.2333,0.72,0.4381,0.4658,0.4444,0.619,0.5287,0.5366,0.5455
42,0.32,0.6098,0.2333,0.7379,0.4151,0.3824,0.3582,0.5783,0.5301,0.5714,0.5195
43,0.3243,0.619,0.2333,0.717,0.4074,0.4789,0.4507,0.5238,0.6136,0.5854,0.4932
44,0.3243,0.619,0.2333,0.6916,0.3889,0.5,0.4348,0.5952,0.5542,0.5882,0.4722
45,0.3243,0.619,0.2333,0.6863,0.4314,0.4286,0.3529,0.5747,0.5412,0.5714,0.5455
46,0.3243,0.6118,0.2333,0.6931,0.4074,0.4928,0.4058,0.5185,0.5517,0.5882,0.5063
