,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
1,0.2294,0.0182,0.0,0.0,0.2369,0.2375,0.2409,0.0648,0.1367,0.1303,0.0091
2,0.1287,0.0348,0.0,0.0267,0.2395,0.2004,0.2057,0.1756,0.2547,0.2051,0.0433
3,0.3625,0.2089,0.2148,0.2699,0.3487,0.3844,0.3486,0.3923,0.3861,0.4032,0.3452
4,0.3895,0.2566,0.2362,0.3003,0.3748,0.4317,0.3992,0.3958,0.4063,0.4299,0.3434
5,0.4134,0.2704,0.2052,0.3686,0.4034,0.3973,0.4069,0.4171,0.385,0.4169,0.3298
6,0.4138,0.3036,0.2064,0.4456,0.4126,0.4261,0.3977,0.4681,0.479,0.4541,0.4323
7,0.4251,0.3643,0.2117,0.4924,0.4048,0.4521,0.4261,0.4895,0.4562,0.4411,0.4342
8,0.4042,0.3546,0.2261,0.5324,0.4028,0.4646,0.4494,0.5002,0.4889,0.4963,0.47
9,0.4268,0.385,0.2055,0.5417,0.4554,0.492,0.4862,0.5128,0.5384,0.5049,0.4496
10,0.4137,0.37,0.2173,0.5411,0.4349,0.4499,0.483,0.5038,0.51,0.502,0.46
11,0.3855,0.3799,0.1927,0.55,0.4394,0.476,0.4474,0.5084,0.5198,0.5097,0.4678
12,0.3966,0.3866,0.186,0.5474,0.4485,0.4523,0.4236,0.5284,0.5063,0.5245,0.4439
13,0.3834,0.3907,0.2011,0.5458,0.4407,0.4482,0.4237,0.5352,0.5114,0.5145,0.4436
14,0.3903,0.3907,0.1942,0.5381,0.4622,0.4389,0.4149,0.5132,0.5354,0.5006,0.4427
15,0.3885,0.411,0.2009,0.5123,0.4572,0.4405,0.4073,0.5176,0.5361,0.5252,0.4539
16,0.3906,0.4237,0.2017,0.5392,0.4382,0.426,0.4076,0.5466,0.5206,0.5361,0.4448
17,0.3829,0.4528,0.2017,0.5322,0.4265,0.4413,0.4175,0.5682,0.5211,0.5363,0.4597
18,0.3916,0.4554,0.2025,0.5554,0.4599,0.4399,0.4218,0.5325,0.5522,0.5326,0.4461
19,0.4311,0.4689,0.1888,0.5641,0.4237,0.4491,0.4239,0.5627,0.5374,0.5051,0.4334
20,0.4118,0.4648,0.174,0.551,0.4582,0.4104,0.4115,0.5233,0.529,0.5243,0.4954
21,0.4253,0.4644,0.174,0.573,0.4369,0.4513,0.4228,0.541,0.4977,0.5374,0.4665
22,0.415,0.4733,0.174,0.5816,0.4364,0.425,0.3896,0.5182,0.5407,0.5313,0.4499
23,0.418,0.4603,0.1817,0.5815,0.4403,0.4187,0.392,0.5456,0.5325,0.5056,0.4684
24,0.4184,0.475,0.1897,0.5803,0.4445,0.4201,0.3875,0.512,0.5433,0.4953,0.4657
25,0.4158,0.4715,0.1897,0.6139,0.4369,0.4142,0.4061,0.4812,0.5307,0.5272,0.469
26,0.4426,0.4744,0.1817,0.6133,0.4468,0.4176,0.4224,0.5297,0.5462,0.5027,0.4395
27,0.4361,0.4726,0.2049,0.6062,0.4253,0.4381,0.4069,0.5302,0.5193,0.5044,0.4499
28,0.4301,0.5044,0.2049,0.5895,0.3984,0.432,0.3726,0.5031,0.5238,0.5162,0.487
29,0.4373,0.5231,0.2052,0.6148,0.4247,0.409,0.3807,0.5295,0.513,0.5193,0.4891
30,0.4295,0.5159,0.2052,0.6101,0.4289,0.4242,0.3906,0.5064,0.5161,0.5033,0.4379
31,0.4357,0.5099,0.1973,0.6151,0.4185,0.4338,0.3958,0.5004,0.5416,0.5221,0.4652
32,0.4333,0.5133,0.1974,0.616,0.4028,0.4418,0.3846,0.5154,0.5204,0.4955,0.4852
33,0.4269,0.5136,0.1819,0.6383,0.4071,0.4216,0.4055,0.5157,0.5235,0.4845,0.4859
34,0.4366,0.5122,0.1897,0.6094,0.3962,0.4463,0.3966,0.53,0.5058,0.4768,0.4884
35,0.435,0.5122,0.1817,0.6197,0.3872,0.4176,0.3795,0.4923,0.5038,0.4835,0.4658
36,0.4417,0.5182,0.1817,0.6141,0.3806,0.4196,0.3705,0.4935,0.5046,0.4934,0.4393
37,0.4321,0.5322,0.1817,0.6274,0.3959,0.4111,0.3614,0.4718,0.5075,0.4904,0.4943
38,0.4337,0.5597,0.174,0.6306,0.4017,0.4047,0.3686,0.5035,0.4999,0.487,0.4657
39,0.4359,0.5599,0.1819,0.6252,0.4088,0.4042,0.402,0.5118,0.5028,0.5246,0.4576
40,0.4405,0.5649,0.1819,0.6262,0.3945,0.419,0.4007,0.5221,0.5179,0.505,0.4746
41,0.4417,0.5576,0.1819,0.605,0.4027,0.3978,0.3817,0.5049,0.5005,0.5117,0.4568
42,0.4454,0.5633,0.1819,0.6127,0.4175,0.4152,0.3837,0.5052,0.5001,0.5025,0.4896
43,0.4403,0.5482,0.1819,0.6265,0.4232,0.3979,0.3595,0.5327,0.5022,0.5137,0.466
44,0.4357,0.5465,0.1895,0.6176,0.4173,0.3849,0.3645,0.5083,0.5199,0.4875,0.4686
45,0.4357,0.5516,0.1895,0.6183,0.4141,0.3821,0.3403,0.4874,0.5234,0.5028,0.4912
46,0.4357,0.5493,0.1895,0.6244,0.4012,0.4081,0.3486,0.5252,0.5332,0.4841,0.4658
