Modelo,Mejor config,Métrica,Antes (baseline),Después,Δ
KNN,Balanceo,F1,0.3243,0.5161,0.1918
KNN,Balanceo,Accuracy,0.8829,0.8244,-0.0585
KNN,Balanceo,Precision,0.5455,0.3883,-0.1571
KNN,Balanceo,Recall,0.2308,0.7692,0.5385
KNN,Balanceo,AUC-ROC,0.839,0.8751,0.0361
Reg. Logística,PCA,F1,0.6118,0.6265,0.0147
Reg. Logística,PCA,Accuracy,0.9227,0.9274,0.0047
Reg. Logística,PCA,Precision,0.7879,0.8387,0.0508
Reg. Logística,PCA,Recall,0.5,0.5,0.0
Reg. Logística,PCA,AUC-ROC,0.9369,0.9344,-0.0025
SVM (RBF),Bal+PCA,F1,0.2333,0.4908,0.2575
SVM (RBF),Bal+PCA,Accuracy,0.8923,0.8056,-0.0867
SVM (RBF),Bal+PCA,Precision,0.875,0.3604,-0.5146
SVM (RBF),Bal+PCA,Recall,0.1346,0.7692,0.6346
SVM (RBF),Bal+PCA,AUC-ROC,0.9122,0.8902,-0.022
MLP,Baseline,F1,0.7551,0.7551,0.0
MLP,Baseline,Accuracy,0.9438,0.9438,0.0
MLP,Baseline,Precision,0.8043,0.8043,0.0
MLP,Baseline,Recall,0.7115,0.7115,0.0
MLP,Baseline,AUC-ROC,0.9395,0.9395,0.0
Árbol de Decisión,Balanceo,F1,0.6393,0.6724,0.0331
Árbol de Decisión,Balanceo,Accuracy,0.897,0.911,0.0141
Árbol de Decisión,Balanceo,Precision,0.5571,0.6094,0.0522
Árbol de Decisión,Balanceo,Recall,0.75,0.75,0.0
Árbol de Decisión,Balanceo,AUC-ROC,0.8337,0.8417,0.008
Random Forest,Balanceo,F1,0.6437,0.713,0.0694
Random Forest,Balanceo,Accuracy,0.9274,0.9227,-0.0047
Random Forest,Balanceo,Precision,0.8,0.6508,-0.1492
Random Forest,Balanceo,Recall,0.5385,0.7885,0.25
Random Forest,Balanceo,AUC-ROC,0.9547,0.9506,-0.0041
ExtraTrees,Balanceo,F1,0.575,0.6667,0.0917
ExtraTrees,Balanceo,Accuracy,0.9204,0.9063,-0.0141
ExtraTrees,Balanceo,Precision,0.8214,0.5882,-0.2332
ExtraTrees,Balanceo,Recall,0.4423,0.7692,0.3269
ExtraTrees,Balanceo,AUC-ROC,0.9469,0.9386,-0.0083
HistGradientBoosting,Balanceo,F1,0.7447,0.7664,0.0217
HistGradientBoosting,Balanceo,Accuracy,0.9438,0.9415,-0.0023
HistGradientBoosting,Balanceo,Precision,0.8333,0.7455,-0.0879
HistGradientBoosting,Balanceo,Recall,0.6731,0.7885,0.1154
HistGradientBoosting,Balanceo,AUC-ROC,0.9674,0.9705,0.003
XGBoost,Baseline,F1,0.7629,0.7629,0.0
XGBoost,Baseline,Accuracy,0.9461,0.9461,0.0
XGBoost,Baseline,Precision,0.8222,0.8222,0.0
XGBoost,Baseline,Recall,0.7115,0.7115,0.0
XGBoost,Baseline,AUC-ROC,0.9648,0.9648,0.0
LightGBM,Balanceo,F1,0.7216,0.7736,0.0519
LightGBM,Balanceo,Accuracy,0.9368,0.9438,0.007
LightGBM,Balanceo,Precision,0.7778,0.7593,-0.0185
LightGBM,Balanceo,Recall,0.6731,0.7885,0.1154
LightGBM,Balanceo,AUC-ROC,0.9668,0.9662,-0.0007
CatBoost,Balanceo,F1,0.701,0.7304,0.0294
CatBoost,Balanceo,Accuracy,0.9321,0.9274,-0.0047
CatBoost,Balanceo,Precision,0.7556,0.6667,-0.0889
CatBoost,Balanceo,Recall,0.6538,0.8077,0.1538
CatBoost,Balanceo,AUC-ROC,0.9567,0.957,0.0003
