,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
1,0.3721,0.0182,0.3465,0.3399,0.2668,0.2942,0.2967,0.3607,0.3385,0.3398,0.3694
2,0.3882,0.0348,0.3794,0.3771,0.3659,0.3993,0.3938,0.3726,0.3801,0.3851,0.4123
3,0.4245,0.2089,0.39,0.4118,0.4263,0.4589,0.4644,0.4354,0.3992,0.4638,0.4852
4,0.4659,0.2566,0.4071,0.4378,0.4156,0.4951,0.4937,0.468,0.4762,0.4946,0.5236
5,0.4706,0.2704,0.4106,0.4424,0.3887,0.5259,0.5129,0.5172,0.5424,0.4989,0.5231
6,0.4838,0.3036,0.4166,0.4452,0.393,0.5397,0.5454,0.519,0.5319,0.5248,0.5294
7,0.4737,0.3643,0.4222,0.4631,0.3928,0.5358,0.5538,0.5502,0.5497,0.536,0.5499
8,0.4696,0.3546,0.4237,0.4866,0.4102,0.5592,0.5793,0.5473,0.5544,0.5554,0.5602
9,0.473,0.385,0.4192,0.507,0.4035,0.5422,0.5499,0.5467,0.5613,0.5686,0.5565
10,0.4495,0.37,0.4275,0.5077,0.4281,0.5459,0.5513,0.5261,0.5661,0.5674,0.5267
11,0.4447,0.3799,0.4279,0.5281,0.4096,0.5679,0.5723,0.5305,0.5611,0.5994,0.546
12,0.4544,0.3866,0.4354,0.5475,0.4206,0.567,0.5792,0.5533,0.555,0.6038,0.5457
13,0.4288,0.3907,0.4354,0.5278,0.4156,0.5561,0.5728,0.5478,0.5414,0.5741,0.5579
14,0.432,0.3907,0.432,0.5324,0.407,0.5631,0.579,0.5502,0.5496,0.5791,0.5486
15,0.4358,0.411,0.4328,0.5268,0.4008,0.5662,0.552,0.5431,0.5304,0.5851,0.5346
16,0.4483,0.4237,0.4341,0.548,0.379,0.5517,0.5722,0.5461,0.5432,0.5882,0.5517
17,0.4427,0.4528,0.4382,0.5445,0.4325,0.5593,0.5608,0.5675,0.558,0.5727,0.5701
18,0.4378,0.4554,0.4402,0.5669,0.4369,0.5535,0.5445,0.5536,0.5407,0.5678,0.5551
19,0.4423,0.4689,0.4378,0.5867,0.3923,0.5458,0.5555,0.5399,0.5458,0.5716,0.5739
20,0.4517,0.4648,0.4372,0.5786,0.3819,0.5559,0.5588,0.5369,0.534,0.581,0.5694
21,0.4413,0.4644,0.4382,0.5913,0.3964,0.5487,0.5512,0.5679,0.5533,0.5956,0.5523
22,0.4544,0.4733,0.4328,0.579,0.3955,0.5573,0.53,0.5349,0.5377,0.5613,0.5735
23,0.4613,0.4603,0.4303,0.5918,0.4027,0.5554,0.5202,0.5415,0.5555,0.5747,0.5832
24,0.4595,0.475,0.4203,0.5729,0.3665,0.5611,0.5422,0.5303,0.5677,0.5768,0.5481
25,0.4544,0.4715,0.4186,0.575,0.4043,0.5369,0.5591,0.541,0.5665,0.5833,0.5825
26,0.4552,0.4744,0.4215,0.581,0.3731,0.5564,0.5297,0.5344,0.5514,0.5813,0.5944
27,0.4615,0.4726,0.4306,0.5882,0.421,0.5498,0.5225,0.5554,0.5617,0.5667,0.5657
28,0.4646,0.5044,0.4332,0.5931,0.4176,0.5329,0.5429,0.5585,0.5535,0.5612,0.5549
29,0.4725,0.5231,0.4375,0.607,0.4346,0.5602,0.52,0.533,0.5451,0.584,0.5732
30,0.477,0.5159,0.4397,0.5996,0.4372,0.558,0.5371,0.528,0.5485,0.5852,0.5789
31,0.487,0.5099,0.4367,0.6022,0.4165,0.5405,0.5418,0.5411,0.5599,0.6098,0.5661
32,0.4905,0.5133,0.4373,0.6161,0.3962,0.5539,0.5164,0.5267,0.5586,0.584,0.5427
33,0.4841,0.5136,0.4427,0.6037,0.4208,0.5495,0.5355,0.5557,0.5561,0.5705,0.5458
34,0.4883,0.5122,0.4424,0.5808,0.4052,0.5306,0.5253,0.5312,0.5743,0.588,0.5642
35,0.4864,0.5122,0.4402,0.5995,0.4094,0.5499,0.5361,0.528,0.5548,0.5746,0.5479
36,0.48,0.5182,0.4461,0.6128,0.4113,0.559,0.5352,0.5419,0.5405,0.5897,0.5704
37,0.4806,0.5322,0.4492,0.608,0.4162,0.5369,0.4843,0.5409,0.5629,0.5739,0.5767
38,0.478,0.5597,0.452,0.609,0.4162,0.5222,0.5118,0.5517,0.5317,0.5748,0.5695
39,0.4839,0.5599,0.4484,0.6073,0.4108,0.5674,0.514,0.5318,0.5784,0.5853,0.5732
40,0.4839,0.5649,0.4518,0.613,0.4096,0.5567,0.5187,0.5782,0.5413,0.5794,0.5342
41,0.4867,0.5576,0.4534,0.6127,0.3835,0.5701,0.5286,0.575,0.5517,0.5755,0.5932
42,0.4893,0.5633,0.4527,0.6333,0.4165,0.5359,0.5089,0.5585,0.5851,0.5949,0.5512
43,0.4901,0.5482,0.4533,0.5991,0.388,0.5438,0.4787,0.5882,0.5826,0.5957,0.5986
44,0.49,0.5465,0.4547,0.6292,0.4225,0.5432,0.4978,0.578,0.571,0.5928,0.5582
45,0.4893,0.5516,0.454,0.6272,0.4338,0.5255,0.4724,0.5433,0.5394,0.5842,0.629
46,0.4876,0.5493,0.454,0.606,0.4059,0.5252,0.5137,0.5569,0.5623,0.6103,0.5401
