,Mejor método,F1_CV (mejor),F1_CV (sin bal.),Δ F1_CV
KNN,RandomOverSampler,0.4876,0.4357,0.0519
Reg. Logística,Sin balanceo,0.5493,0.5493,0.0
SVM (RBF),SMOTE,0.45,0.4312,0.0188
MLP,ADASYN,0.6436,0.6413,0.0023
Árbol de Decisión,BorderlineSMOTE,0.5701,0.5448,0.0253
Random Forest,SMOTE,0.6831,0.6501,0.033
ExtraTrees,SMOTE,0.6498,0.5881,0.0617
HistGradientBoosting,RandomOverSampler,0.7226,0.7034,0.0192
XGBoost,RandomOverSampler,0.7201,0.709,0.0111
LightGBM,SMOTETomek,0.7245,0.6937,0.0308
CatBoost,RandomOverSampler,0.7277,0.6671,0.0606
