Feature,VIF,Tipo,Decisión
pathfinder_mean,inf,Agregado,EXCLUIR (VIF>10)
pathfinder_sum,inf,Agregado,EXCLUIR (VIF>10)
pathfinder_max,210.66152452438027,Agregado,EXCLUIR (VIF>10)
log_Co_ppm,7.883114266244529,Log,Mantener
Al_per_Te_ratio,7.087570386650895,Ratio,Mantener
Be_Te_ratio,7.061117109331695,Ratio,Mantener
log_Sr_ppm,6.679872553366628,Log,Mantener
Cs_U_ratio,6.140113756896915,Ratio,Mantener
log_Ni_ppm,5.846631500301308,Log,Mantener
Rb_U_ratio,5.539098969991129,Ratio,Mantener
log_Zn_ppm,5.47789369870356,Log,Mantener
log_Te_ppm,5.432110319385917,Log,Mantener
Sb_Be_ratio,4.863146769992189,Ratio,Mantener
log_Ca_per,4.780901392528907,Log,Mantener
log_U_ppm,4.7779889135012725,Log,Mantener
Sb_Ce_ratio,4.539066894611799,Ratio,Mantener
log_Fe_per,4.444613446798375,Log,Mantener
log_Cs_ppm,4.318210164108795,Log,Mantener
log_Ba_ppm,3.9873344004467635,Log,Mantener
log_Mn_ppm,3.6862496881621745,Log,Mantener
log_Pb_ppm,3.685059104755848,Log,Mantener
Rb_Ce_ratio,3.63081645346683,Ratio,Mantener
log_Cd_ppm,3.614857920022683,Log,Mantener
log_Tl_ppm,3.577229223785087,Log,Mantener
log_Bi_ppm,3.572645476671959,Log,Mantener
log_Mg_per,3.388223135595129,Log,Mantener
log_As_ppm,3.279897256347174,Log,Mantener
Sb_U_ratio,3.2357166616275417,Ratio,Mantener
Te_U_ratio,3.0024332526272417,Ratio,Mantener
log_Sb_ppm,2.9696917029940257,Log,Mantener
log_Ag_ppm,2.9622260866455523,Log,Mantener
Be_U_ratio,2.7421641404219264,Ratio,Mantener
log_Cr_ppm,2.5819931238055265,Log,Mantener
log_Sn_ppm,2.5038024574021676,Log,Mantener
log_Cu_ppm,2.391481964468079,Log,Mantener
log_Se_ppm,2.0605489554929943,Log,Mantener
log_W_ppm,2.0379037918535574,Log,Mantener
log_S_per,2.022093857493996,Log,Mantener
log_Mo_ppm,1.964656811459218,Log,Mantener
log_Ge_ppm,1.8097822423624104,Log,Mantener
log_Re_ppm,1.1837517785032712,Log,Mantener
