,n,% Neg,% Pos
[sin FE] kmeans_label=0,28,0.393,0.607
[sin FE] kmeans_label=1,811,0.794,0.206
[sin FE] kmeans_label=2,574,0.965,0.035
[sin FE] kmeans_label=3,292,0.986,0.014
[sin FE] gmm_label=0,397,0.746,0.254
[sin FE] gmm_label=1,210,0.957,0.043
[sin FE] gmm_label=2,821,0.976,0.024
[sin FE] gmm_label=3,228,0.68,0.32
[sin FE] gmm_label=4,49,0.898,0.102
[sin FE] dbscan_outlier=0,1580,0.891,0.109
[sin FE] dbscan_outlier=1,125,0.712,0.288
[con FE] kmeans_label=0,801,0.774,0.226
[con FE] kmeans_label=1,904,0.97,0.03
[con FE] gmm_label=0,484,0.992,0.008
[con FE] gmm_label=1,198,0.652,0.348
[con FE] gmm_label=2,490,0.884,0.116
[con FE] gmm_label=3,67,0.448,0.552
[con FE] gmm_label=4,235,0.987,0.013
[con FE] gmm_label=5,231,0.835,0.165
[con FE] dbscan_outlier=0,1591,0.898,0.102
[con FE] dbscan_outlier=1,114,0.596,0.404
