,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost,Consenso
Ag_ppm,0.02231,0.23098,0.01488,0.09713,0.56544,0.21949,0.05035,0.57709,0.17652,0.10433,0.22071,0.2072
Sb_ppm,0.00317,0.00739,0.01576,0.02275,0.02838,0.09079,0.02714,0.05462,0.03093,0.04967,0.08148,0.03746
Be_ppm,0.06821,0.03249,0.16806,0.03792,0.0,0.01485,0.02833,0.0,0.02287,0.02633,0.0112,0.0373
As_ppm,0.03937,0.04333,0.05168,0.02296,0.01139,0.017,0.02718,0.02905,0.02437,0.06133,0.07748,0.03683
Al_per,0.03554,0.04338,0.08445,0.06288,0.01413,0.02798,0.03122,0.0,0.01616,0.01067,0.0087,0.03047
Cs_ppm,0.07103,0.0028,0.03521,0.0423,0.01936,0.01137,0.01627,0.02583,0.02003,0.03767,0.03766,0.02905
Rb_ppm,0.02951,0.03044,0.05866,0.0721,0.0,0.01143,0.02144,0.02446,0.01626,0.02533,0.02944,0.02901
Te_ppm,0.0,0.05219,0.0293,0.04133,0.0013,0.0353,0.02434,0.02958,0.02532,0.029,0.042,0.02815
Ce_ppm,0.02267,0.03474,0.0,0.03426,0.00247,0.03929,0.03657,0.01469,0.04651,0.01133,0.01115,0.02306
U_ppm,0.0437,0.02233,0.01818,0.01438,0.03244,0.01287,0.01571,0.0,0.0464,0.01933,0.01071,0.02146
Mo_ppm,0.03031,0.00576,0.0358,0.01082,0.02627,0.02123,0.02188,0.0,0.02737,0.02767,0.0243,0.02104
Ga_ppm,0.02629,0.01481,0.05225,0.02531,0.01285,0.01443,0.02413,0.0,0.02268,0.026,0.0119,0.02097
Cr_ppm,0.07366,0.0147,0.02436,0.02302,0.00708,0.00853,0.01399,0.0,0.01372,0.02933,0.02091,0.02085
Ta_ppm,0.0177,0.02717,0.0,0.03929,0.02643,0.02146,0.03425,0.00762,0.02015,0.012,0.02163,0.0207
Th_ppm,0.01899,0.04632,0.0,0.01813,0.00579,0.01203,0.02588,0.01602,0.03238,0.021,0.01615,0.01934
Zr_ppm,0.04555,0.01942,0.0,0.02901,0.01396,0.01462,0.03365,0.02491,0.00646,0.01267,0.00626,0.01877
Ca_per,0.01241,0.01281,0.04949,0.02651,0.01874,0.00949,0.01605,0.00482,0.01812,0.01633,0.01396,0.01807
Nb_ppm,0.02331,0.02406,0.0,0.02621,0.0,0.03541,0.02908,0.00403,0.03579,0.00633,0.01319,0.01795
Mg_per,0.03358,0.04191,0.0,0.00884,0.00107,0.01999,0.03296,0.0,0.02085,0.01867,0.01754,0.01776
Pb_ppm,0.01018,0.01412,0.0179,0.00708,0.02437,0.01252,0.01398,0.01385,0.01841,0.036,0.02544,0.01762
Y_ppm,0.0,0.01369,0.02756,0.01917,0.00468,0.03165,0.03718,0.01099,0.02304,0.01633,0.0059,0.01729
Na_per,0.0,0.01071,0.0,0.00542,0.01949,0.04138,0.04938,0.01135,0.01217,0.02533,0.01329,0.01714
Cu_ppm,0.00785,0.02636,0.01838,0.00881,0.02803,0.0133,0.01103,0.0,0.01435,0.03767,0.02136,0.01701
Fe_per,0.00672,0.00296,0.05329,0.03027,0.0,0.01087,0.01423,0.00937,0.01181,0.02167,0.0243,0.01686
K_per,0.029,0.00279,0.02645,0.03958,0.00993,0.01078,0.02269,0.0,0.02602,0.00733,0.00963,0.01674
