,importancia
Ag_ppm,0.6462651364020431
As_ppm,0.08293174131474254
Sb_ppm,0.06517041170712363
La_ppm,0.05345770227573417
Cs_ppm,0.053302963629411206
Ta_ppm,0.04022001287585171
Th_ppm,0.03882163246319374
Te_ppm,0.037639665336720494
kmeans_dist,0.03488876776238514
Sn_ppm,0.03027531515707298
Cu_ppm,0.02828934396112648
Y_ppm,0.027807061568302947
Pb_ppm,0.02529907082766549
Rb_ppm,0.024632383714726
Ga_ppm,0.0238854548429579
Ce_ppm,0.023184912054343143
Na_per,0.02316347042403801
U_ppm,0.023139253494850888
Be_ppm,0.0221044306902644
Hf_ppm,0.02100675725416141
Mg_per,0.020980235236668855
P_ppm,0.01863696844405065
Bi_ppm,0.017909207115696234
Cr_ppm,0.017146887674131483
V_ppm,0.01648825287331348
gmm_prob_max,0.016412136750701346
Ba_ppm,0.015686051195604823
W_ppm,0.01349908893199312
Mn_ppm,0.013485635167878152
Sr_ppm,0.013344283093800735
Mo_ppm,0.011178349788824104
S_per,0.0105012578676269
Ca_per,0.010374923377921074
Fe_per,0.008181978487039299
Co_ppm,0.00801840609281974
Tl_ppm,0.0077911643803780795
Zn_ppm,0.0067629401106175544
Sc_ppm,0.005267867055911491
Ni_ppm,0.005113736554399529
Al_per,0.004894439465304545
Cd_ppm,0.004443660730029953
Nb_ppm,0.004244821187159365
Re_ppm,0.0022218303650149763
K_per,0.0015230183454482571
Zr_ppm,0.001154075454904202
Se_ppm,0.0008653513326410511
Ge_ppm,0.0
Ti_per,0.0
kmeans_label,0.0
gmm_label,0.0
dbscan_outlier,0.0
