,Mejor set,Balanceo,F1_CV (default),± std (def),F1_CV (Optuna),± std (opt),Δ Optuna,F1_CV (mejor),± std (mejor)
LightGBM,E5 +FE+Cluster LOG,SMOTETomek,0.7402,0.0308,0.754,0.0382,0.0138,0.754,0.0382
CatBoost,E0 Base,RandomOverSampler,0.7277,0.0464,0.7493,0.0457,0.0216,0.7493,0.0457
XGBoost,E3 +FE+Cluster RAW,RandomOverSampler,0.7295,0.0373,0.7442,0.0407,0.0147,0.7442,0.0407
HistGradientBoosting,E2 +Cluster RAW,RandomOverSampler,0.7307,0.0372,0.7428,0.0402,0.0121,0.7428,0.0402
ExtraTrees,E2 +Cluster RAW,SMOTE,0.6957,0.0083,0.7308,0.0233,0.0351,0.7308,0.0233
MLP,E2 +Cluster RAW,ADASYN,0.7052,0.0577,0.7069,0.0572,0.0017,0.7069,0.0572
Random Forest,E0 Base,SMOTE,0.6831,0.0253,0.6921,0.029,0.009,0.6921,0.029
SVM (RBF),E5 +FE+Cluster LOG,SMOTE,0.673,0.044,0.6754,0.0438,0.0024,0.6754,0.0438
Reg. Logística,E5 +FE+Cluster LOG,Sin balanceo,0.6642,0.0262,0.6681,0.0255,0.0039,0.6681,0.0255
KNN,E1 +FE,RandomOverSampler,0.5695,0.0467,0.5892,0.033,0.0197,0.5892,0.033
Árbol de Decisión,E0 Base,BorderlineSMOTE,0.5701,0.0302,0.5853,0.0183,0.0152,0.5853,0.0183
