,F_anova
Sb_U_ratio,194.78141257615565
Al_per_Te_ratio,177.2820421725411
Rb_U_ratio,156.27038858043068
Sb_Ce_ratio,135.10501540223717
Te_U_ratio,117.19430016114347
Be_Te_ratio,115.84718526550239
Sb_Be_ratio,114.34800938437529
Rb_Ce_ratio,110.73323744997941
Be_U_ratio,107.91519595175927
Cs_U_ratio,104.01729050035748
As_Cs_ratio,100.95271364182557
As_Al_per_ratio,94.1525715937177
Sb_Al_per_ratio,93.18363265603031
Ce_Mo_ratio,90.83687394294907
Cs_Ce_ratio,82.49544812935044
Al_per_Mo_ratio,77.59812408284238
U_Mo_ratio,75.42675989014064
Sb_Cs_ratio,69.22338883484376
As_Ce_ratio,66.45657071252292
As_U_ratio,57.49789673143673
Rb_Te_ratio,56.24575842989245
Cs_Te_ratio,55.49129313015929
Be_Mo_ratio,53.51669672451152
Sb_As_ratio,52.77402878508845
Sb_Mo_ratio,52.1518400211358
Sb_Rb_ratio,51.70520211942674
Al_per_U_ratio,46.145869644698514
Te_Mo_ratio,44.700264202615635
Te_Ce_ratio,44.43232455467602
Rb_Mo_ratio,42.727824301361956
Cs_Mo_ratio,40.87807175873999
As_Te_ratio,37.58457420768708
As_Mo_ratio,34.9551646983571
As_Rb_ratio,28.62247821807127
Sb_Te_ratio,17.44707723143253
Be_As_ratio,12.682015412348711
Al_per_Cs_ratio,8.546781772189123
Be_Al_per_ratio,4.158177749038785
Be_Cs_ratio,2.6801041775504024
Cs_Rb_ratio,2.6620484002111655
Al_per_Rb_ratio,1.9308836091740733
Ce_U_ratio,1.1704073956286185
Be_Rb_ratio,1.143067102754506
Al_per_Ce_ratio,0.0001864944930123984
Be_Ce_ratio,0.00012656689804955103
