Modelo,E1 Baseline,Mejor experimento,Set,+ Optuna,Mejor F1 final,Config final,Δ vs E1
KNN,0.5161,0.5605,E4 +FE+Clu,0.5797,0.5797,+ Optuna,0.0636
Reg. Logística,0.6118,0.7347,E4 +FE+Clu,0.7273,0.7347,Mejor experimento,0.1229
SVM (RBF),0.4848,0.6777,E4 +FE+Clu,0.6549,0.6777,Mejor experimento,0.1929
MLP,0.7551,0.7551,E1 Baseline,0.7033,0.7551,Mejor experimento,0.0
Árbol de Decisión,0.6724,0.6726,E3 +Cluster,0.6829,0.6829,+ Optuna,0.0105
Random Forest,0.713,0.7321,E4 +FE+Clu,0.7434,0.7434,+ Optuna,0.0304
ExtraTrees,0.6667,0.7207,E4 +FE+Clu,0.7257,0.7257,+ Optuna,0.059
HistGradientBoosting,0.7664,0.8224,E3 +Cluster,0.7679,0.8224,Mejor experimento,0.056
XGBoost,0.7629,0.7921,E4 +FE+Clu,0.7931,0.7931,+ Optuna,0.0302
LightGBM,0.7736,0.8113,E4 +FE+Clu,0.7647,0.8113,Mejor experimento,0.0377
CatBoost,0.7304,0.7611,E2 +FE,0.7395,0.7611,Mejor experimento,0.0307
