,Mejor set,Balanceo,F2_CV (default),± std (def),F2_CV (Optuna),± std (opt),Δ Optuna,F2_CV (mejor),± std (mejor)
XGBoost,E2 +Cluster,SMOTE,0.6424,0.0249,0.7258,0.0239,0.0834,0.7258,0.0239
CatBoost,E1 +Índices,Pesos de clase,0.673,0.0262,0.6997,0.0236,0.0267,0.6997,0.0236
HistGradientBoosting,E0 Base,SMOTETomek,0.6532,0.0251,0.6993,0.0289,0.0461,0.6993,0.0289
Random Forest,E3 +Índ+Clust+Inter,SMOTE,0.644,0.0246,0.6858,0.0224,0.0418,0.6858,0.0224
ExtraTrees,E0 Base,ADASYN,0.6099,0.0292,0.6839,0.0332,0.074,0.6839,0.0332
LightGBM,E2 +Cluster,SMOTETomek,0.6548,0.0219,0.6815,0.049,0.0267,0.6815,0.049
SVM (RBF),E3 +Índ+Clust+Inter,RandomOverSampler,0.6558,0.0508,0.6797,0.012,0.0239,0.6797,0.012
Reg. Logística,E1 +Índices,RandomOverSampler,0.647,0.0433,0.6612,0.0353,0.0142,0.6612,0.0353
MLP,E0 Base,ADASYN,0.5959,0.0627,0.6538,0.0664,0.0579,0.6538,0.0664
KNN,E1 +Índices,ADASYN,0.6433,0.0418,0.6506,0.0232,0.0073,0.6506,0.0232
Árbol de Decisión,E0 Base,SMOTE,0.5719,0.0472,0.6027,0.0396,0.0308,0.6027,0.0396
