,info_mutua
P_ppm__over__Sb_ppm,0.0875
Mn_ppm__over__Sb_ppm,0.0842
Mg_per__over__Sb_ppm,0.083
Na_per__over__Sb_ppm,0.0814
Sb_ppm__over__Sr_ppm,0.08
Ni_ppm__over__Sb_ppm,0.079
Al_per__over__Sb_ppm,0.0785
Sb_ppm__over__Sn_ppm,0.0784
Ce_ppm__over__Mo_ppm,0.0772
Nb_ppm__over__W_ppm,0.077
Cs_ppm__over__Sb_ppm,0.0752
Ge_ppm__over__Sb_ppm,0.0743
As_ppm__over__Na_per,0.0728
Ba_ppm__over__Sb_ppm,0.0725
Bi_ppm__over__Sb_ppm,0.0709
Ca_per__over__Sb_ppm,0.0706
Co_ppm__over__Sb_ppm,0.0706
Fe_per__over__Sb_ppm,0.0686
Bi_ppm__over__U_ppm,0.0681
Nb_ppm__over__Tl_ppm,0.0674
Hf_ppm__over__Mo_ppm,0.0671
Mo_ppm__over__Na_per,0.066
Cd_ppm__over__U_ppm,0.0647
As_ppm__over__Sn_ppm,0.0646
Mo_ppm__over__P_ppm,0.0644
As_ppm__over__P_ppm,0.0638
Al_per__over__As_ppm,0.0625
Sb_ppm__over__V_ppm,0.0623
Ba_ppm__over__Mo_ppm,0.0617
As_ppm__over__Sr_ppm,0.0613
