N,F1 CV
1,0.5085
2,0.5465
3,0.5928
4,0.5837
5,0.6407
6,0.6942
7,0.6992
8,0.6858
9,0.6802
10,0.7048
11,0.7052
12,0.737
13,0.7275
14,0.7214
15,0.7265
16,0.7326
17,0.7181
18,0.7292
19,0.7317
20,0.7356
21,0.7229
22,0.7335
23,0.7407
24,0.7371
25,0.7099
26,0.7227
27,0.7185
28,0.7129
29,0.7241
30,0.7128
31,0.7288
32,0.7153
33,0.72
34,0.7175
35,0.7173
36,0.7317
37,0.7171
38,0.7096
39,0.7138
40,0.7339
41,0.7096
42,0.7185
43,0.7271
44,0.7126
45,0.7091
46,0.7146
47,0.7203
48,0.7112
49,0.7119
50,0.7225
51,0.7225
