,shap_medio
Ag_ppm,3.916864746110873
Sb_ppm,0.7136244110488775
Sr_ppm,0.31285708515662075
U_ppm,0.29002408275923036
Ta_ppm,0.2867653023270291
As_ppm,0.27689667338517077
Te_ppm,0.2596976634987272
Cs_ppm,0.25864141312014755
Mg_per,0.23166596390334565
Sn_ppm,0.23163001979436268
Th_ppm,0.2100426940501197
Na_per,0.20822712620506653
Rb_ppm,0.2073059160080616
Y_ppm,0.20325476391135347
Cu_ppm,0.19592266232412764
Be_ppm,0.16988339038415465
Ni_ppm,0.1505636103767056
Mo_ppm,0.14326134419375341
La_ppm,0.12976501589987813
Cr_ppm,0.1277140979816583
kmeans_dist,0.11371001169190528
Mn_ppm,0.1092514669081634
gmm_prob_max,0.1077200996037519
Fe_per,0.10406970930235349
Pb_ppm,0.09745592127753855
Ce_ppm,0.09717589764535817
Ga_ppm,0.09552875559075125
V_ppm,0.07942423517753511
Ba_ppm,0.07862274923954642
W_ppm,0.07758981738020798
Hf_ppm,0.07680059827578041
Se_ppm,0.07385592833151731
Zn_ppm,0.07284416059818208
Cd_ppm,0.07223089487461183
Bi_ppm,0.0670206903806152
Zr_ppm,0.06415361894711492
S_per,0.05826892615241288
Nb_ppm,0.054186791270871185
Ca_per,0.04990008453138827
P_ppm,0.04714552968460769
Ti_per,0.042172536494587
Sc_ppm,0.04205095218487114
K_per,0.04057234650499582
Tl_ppm,0.03793198392291602
Co_ppm,0.03693826904603376
Ge_ppm,0.035613456329127664
Al_per,0.03322091394356853
Re_ppm,0.009751401079699046
kmeans_label,0.007005663622050833
gmm_label,0.0030263190146765247
dbscan_outlier,0.0
