,shap_medio
Ag_ppm,3.908107845324075
Sb_ppm,0.7275476666559181
Sr_ppm,0.3175787459982969
U_ppm,0.30587742802527534
As_ppm,0.2954122123246084
Te_ppm,0.28071431316772816
Cs_ppm,0.2649297130159468
Ta_ppm,0.24849853773797617
Mg_per,0.22710697055882167
Sn_ppm,0.21942257388626968
Rb_ppm,0.2176765800299923
Cu_ppm,0.2082319813651636
Na_per,0.2003538401845531
Y_ppm,0.19523767038554182
Th_ppm,0.1891719119976488
Be_ppm,0.16901361181735308
Mo_ppm,0.16013609985738667
Ni_ppm,0.1485042659717172
Cr_ppm,0.13414756032034805
La_ppm,0.12435909832675873
Mn_ppm,0.12332956095800887
kmeans_dist,0.12283820287940343
Fe_per,0.11196699784581327
Ga_ppm,0.09780036817786293
gmm_prob_max,0.09605252499119671
Ce_ppm,0.09447285173048897
Pb_ppm,0.08940787208487033
W_ppm,0.08584768573302631
V_ppm,0.0823663747869847
Ba_ppm,0.0792322590085684
Zn_ppm,0.07844776051407504
Bi_ppm,0.0727809355419764
Hf_ppm,0.07255193061151963
Se_ppm,0.07195286850664605
Cd_ppm,0.07029924117353056
Zr_ppm,0.06949195071773523
S_per,0.06212538946003688
Nb_ppm,0.05374329332335446
Ca_per,0.05368394939210183
P_ppm,0.05154746874668913
Sc_ppm,0.04477739067712484
Ti_per,0.044366397267967414
K_per,0.04275549324866945
Tl_ppm,0.041324470295330484
Ge_ppm,0.03845251511889928
Co_ppm,0.03835564782670716
Al_per,0.036050408875412034
Re_ppm,0.00913076263918487
kmeans_label,0.007136066128325872
gmm_label,0.0034429537973890497
dbscan_outlier,0.0
