feature,mean_abs_shap,cum_frac
Ag_ppm,2.846208,0.31543404
Sb_ppm,0.78719395,0.40267563
Rb_ppm,0.35425338,0.44193614
As_ppm,0.34047782,0.47966993
Te_ppm,0.32836044,0.5160608
U_ppm,0.28953686,0.5481491
Cr_ppm,0.24325748,0.57510835
Sn_ppm,0.23170401,0.6007872
La_ppm,0.22254007,0.62545043
Cu_ppm,0.2173608,0.6495397
Cs_ppm,0.1851239,0.6700563
Mn_ppm,0.1685926,0.6887407
Be_ppm,0.16189489,0.70668286
Fe_per,0.15496358,0.72385687
Ba_ppm,0.1502007,0.740503
Mo_ppm,0.1490631,0.7570231
Ca_per,0.14335869,0.77291095
Ni_ppm,0.1389726,0.7883128
Na_per,0.11865861,0.80146325
Mg_per,0.11696218,0.81442565
Ga_ppm,0.11582369,0.827262
Zr_ppm,0.10086259,0.8384402
S_per,0.093043186,0.8487518
V_ppm,0.09116713,0.8588555
Ta_ppm,0.08939115,0.8687623
Th_ppm,0.08896122,0.8786216
W_ppm,0.08530465,0.8880755
P_ppm,0.0815263,0.89711076
Sr_ppm,0.08130264,0.90612125
Pb_ppm,0.08000816,0.9149883
Y_ppm,0.0772067,0.92354476
Al_per,0.07347095,0.93168724
Bi_ppm,0.062732264,0.9386397
Ce_ppm,0.06111094,0.94541234
K_per,0.061019905,0.9521749
Zn_ppm,0.05966453,0.9587873
Se_ppm,0.05588531,0.96498084
Nb_ppm,0.055479947,0.9711295
Cd_ppm,0.053717725,0.9770828
Sc_ppm,0.051740877,0.982817
Tl_ppm,0.045026403,0.98780715
Co_ppm,0.041924972,0.9924536
Hf_ppm,0.035273798,0.9963628
Ge_ppm,0.017427161,0.99829423
Ti_per,0.015391235,1.0
Re_ppm,0.0,1.0
