,shap_medio
Ag_ppm,2.3016334
Sb_ppm,0.8697516
Rb_ppm,0.5213067
Te_ppm,0.4164516
As_ppm,0.37842485
Mg_per,0.25943944
Cs_ppm,0.2495795
La_ppm,0.24751335
U_ppm,0.24512568
Cu_ppm,0.22657509
Ce_ppm,0.2256966
Ba_ppm,0.22278248
gmm_label,0.21849805
Sn_ppm,0.21661314
Cr_ppm,0.2022769
P_ppm,0.18950373
Al_per,0.18610536
Fe_per,0.17624515
Ta_ppm,0.16848531
Be_ppm,0.1565012
Zr_ppm,0.14579935
Mo_ppm,0.14433111
Ni_ppm,0.14091825
Sr_ppm,0.13491711
Bi_ppm,0.13413547
kmeans_dist,0.120969296
Na_per,0.12065273
Ge_ppm,0.09775999
Zn_ppm,0.09448913
Ga_ppm,0.090328
Cd_ppm,0.09025176
Tl_ppm,0.08355541
S_per,0.08039066
Th_ppm,0.07837035
V_ppm,0.077636436
Y_ppm,0.071425706
Mn_ppm,0.07124148
K_per,0.07082605
Ca_per,0.069912024
Pb_ppm,0.065855116
Ti_per,0.06161282
Se_ppm,0.06040937
Nb_ppm,0.055981293
Co_ppm,0.050998915
W_ppm,0.049053222
Hf_ppm,0.03266303
Sc_ppm,0.02546041
gmm_prob_max,0.008929022
Re_ppm,0.0
kmeans_label,0.0
dbscan_outlier,0.0
