Slice,Categoría,n,positivos,% positivos
cuadrante,NE,113,12,0.106
cuadrante,NO,95,13,0.137
cuadrante,SE,107,6,0.056
cuadrante,SO,112,21,0.188
profundidad,Medio,130,23,0.177
profundidad,Profundo,144,17,0.118
profundidad,Superficial,153,12,0.078
ag,Alto_AG,145,52,0.359
ag,Bajo_AG,149,0,0.0
ag,Medio_AG,133,0,0.0
as,Alto_AS,132,29,0.22
as,Bajo_AS,148,4,0.027
as,Medio_AS,147,19,0.129
s,Alto_S,150,21,0.14
s,Bajo_S,197,22,0.112
s,Medio_S,80,9,0.112
fe,Alto_FE,146,11,0.075
fe,Bajo_FE,147,27,0.184
fe,Medio_FE,134,14,0.104
frontera,Frontera_0.05-0.15,31,9,0.29
frontera,Lejos_negativo,264,0,0.0
frontera,Lejos_positivo,21,21,1.0
frontera,Resto,111,22,0.198
cluster,C0,190,40,0.211
cluster,C1,7,5,0.714
cluster,C2,82,2,0.024
cluster,C3,148,5,0.034
confianza,Alta_conf,33,29,0.879
confianza,Baja_conf,359,7,0.019
confianza,Media_conf,35,16,0.457
error,FN,13,13,1.0
error,FP,14,0,0.0
error,TN,361,0,0.0
error,TP,39,39,1.0
