Slice,Categoría,n,positivos,F1,IC95_inf,IC95_sup,Precision,Recall,Δ F1 vs global
cuadrante,NE,113,12,0.5833,0.3,0.7857,0.5833,0.5833,-0.1595
cuadrante,NO,95,13,0.9231,0.7825,1.0,0.9231,0.9231,0.1802
cuadrante,SE,107,6,0.4706,0.1333,0.728,0.3636,0.6667,-0.2723
cuadrante,SO,112,21,0.8421,0.7059,0.9524,0.9412,0.7619,0.0992
profundidad,Medio,130,23,0.9091,0.8075,0.9796,0.9524,0.8696,0.1662
profundidad,Profundo,144,17,0.7742,0.5832,0.9231,0.8571,0.7059,0.0313
profundidad,Superficial,153,12,0.4667,0.2143,0.6667,0.3889,0.5833,-0.2762
ag,Alto_AG,145,52,0.7429,0.6428,0.8305,0.7358,0.75,0.0
ag,Bajo_AG,149,0,,,,,,
ag,Medio_AG,133,0,,,,,,
as,Alto_AS,132,29,0.75,0.5937,0.8637,0.7778,0.7241,0.0071
as,Bajo_AS,148,4,0.8,0.4,1.0,0.6667,1.0,0.0571
as,Medio_AS,147,19,0.7179,0.5185,0.8571,0.7,0.7368,-0.0249
s,Alto_S,150,21,0.7442,0.5652,0.878,0.7273,0.7619,0.0013
s,Bajo_S,197,22,0.7727,0.5945,0.8929,0.7727,0.7727,0.0299
s,Medio_S,80,9,0.6667,0.3333,0.8802,0.6667,0.6667,-0.0762
fe,Alto_FE,146,11,0.6667,0.3636,0.8696,0.7,0.6364,-0.0762
fe,Bajo_FE,147,27,0.7667,0.6273,0.8814,0.697,0.8519,0.0238
fe,Medio_FE,134,14,0.75,0.5263,0.9231,0.9,0.6429,0.0071
frontera,Frontera_0.05-0.15,31,9,0.5556,0.1995,0.7857,0.5556,0.5556,-0.1873
frontera,Lejos_negativo,264,0,,,,,,
frontera,Lejos_positivo,21,21,0.9231,0.8333,1.0,1.0,0.8571,0.1802
frontera,Resto,111,22,0.7111,0.5293,0.8421,0.6957,0.7273,-0.0317
cluster,C0,190,40,0.7561,0.6301,0.8478,0.7381,0.775,0.0132
cluster,C1,7,5,0.7273,0.25,1.0,0.6667,0.8,-0.0156
cluster,C2,82,2,1.0,1.0,1.0,1.0,1.0,0.2571
cluster,C3,148,5,0.5,0.0,0.8889,0.6667,0.4,-0.2429
confianza,Alta_conf,33,29,0.9355,0.8621,0.9846,0.8788,1.0,0.1926
confianza,Baja_conf,359,7,0.0,0.0,0.0,0.0,0.0,-0.7429
confianza,Media_conf,35,16,0.5556,0.3331,0.7274,0.5,0.625,-0.1873
