Slice,Categoria,Metrica,Baseline,Mitigacion,Delta
GLOBAL,Todos,Accuracy,0.9882903981264637,0.9812646370023419,-0.007025761124121788
GLOBAL,Todos,Precision,0.9607843137254902,0.94,-0.020784313725490278
GLOBAL,Todos,Recall,0.9423076923076923,0.9038461538461539,-0.038461538461538436
GLOBAL,Todos,F1,0.9514563106796117,0.9215686274509803,-0.029887683228631334
GLOBAL,Todos,PR_AUC,0.9932469240161549,0.9843149511570277,-0.008931972859127169
GLOBAL,Todos,ROC_AUC,0.9988205128205128,0.9973333333333333,-0.0014871794871794686
GLOBAL,Todos,Brier,0.00866815634071827,0.012645808293300868,0.003977651952582598
ag,Bajo_Ag,F1,0.0,0.0,0.0
ag,Bajo_Ag,Precision,0.0,0.0,0.0
ag,Bajo_Ag,Recall,0.0,0.0,0.0
ag,Medio_Ag,F1,0.0,0.0,0.0
ag,Medio_Ag,Precision,0.0,0.0,0.0
ag,Medio_Ag,Recall,0.0,0.0,0.0
