feature,mean_abs_shap,cum_frac
Ag_ppm,6.451571055347798,0.29322912508095456
Te_ppm,0.9637738295754288,0.337033425521553
Se_ppm,0.7874762574841963,0.37282485865049764
Sb_ppm,0.6641135557747695,0.40300935716157216
Cr_ppm__over__Mg_per,0.5899159830247075,0.42982151595043344
Ba_ppm__over__Sb_ppm,0.5561158136016082,0.45509742968789624
Be_ppm__over__Zr_ppm,0.47666839467788874,0.4767623939463741
Mn_ppm__over__Sb_ppm,0.42754366659435744,0.49619459956169426
kmeans_dist_log,0.3448331672047364,0.5118675460503676
Al_per__over__Sc_ppm,0.28599565695852414,0.5248662800869998
Ce_ppm__over__Fe_per,0.2819844326047417,0.5376827007308673
Fe_per__over__Sn_ppm,0.27189253006969116,0.5500404362381428
Al_per__over__Th_ppm,0.2564256070468921,0.5616951875781883
Ba_ppm__over__Na_per,0.24876597891343194,0.573001802621392
La_ppm,0.24696586342126367,0.584226600958822
Cu_ppm,0.2398779872337093,0.5951292495880137
Sn_ppm__over__V_ppm,0.22622781818693238,0.605411486988304
Ti_per__over__Zr_ppm,0.2172050228898597,0.6152836310410907
Ta_ppm,0.19896537577328247,0.6243267683728949
Sr_ppm,0.19560189340827738,0.6332170327094776
Ba_ppm__over__Rb_ppm,0.19539782590701232,0.6420980220129962
gmm_prob_max_log,0.19029383572660255,0.650747030832663
S_per,0.1808187952190178,0.6589653913940513
Be_ppm__over__Ni_ppm,0.18080151395315608,0.6671829665079223
Ti_per__over__V_ppm,0.16738236174121215,0.6747906302949739
Cs_ppm,0.1608172956196533,0.6820999065143449
Rb_ppm,0.1551885880493107,0.6891533534198901
Nb_ppm__over__Tl_ppm,0.15150316765873004,0.6960392949864389
Th_ppm__over__W_ppm,0.14705274286599004,0.7027229611448711
Mg_per,0.1420343227136521,0.7091785360464707
Y_ppm,0.141504849267324,0.7156100459514846
K_per__over__Rb_ppm,0.14029477910480773,0.7219865571884225
Cs_ppm__over__Ni_ppm,0.12983468066117831,0.7278876484867791
Bi_ppm__over__U_ppm,0.12430300246794623,0.7335373205350159
Na_per,0.12246437416362733,0.7391034254390021
Mg_per__over__Sb_ppm,0.12179380418098107,0.7446390523946514
Ga_ppm,0.12079841916235978,0.7501294382957382
Be_ppm__over__Co_ppm,0.11916334384622358,0.7555455087006027
Ba_ppm__over__Cd_ppm,0.11824354079989334,0.7609197733127061
Sn_ppm__over__Sr_ppm,0.11773794675326911,0.7662710582662635
Mg_per__over__Mo_ppm,0.11745688981560534,0.7716095689545728
As_ppm,0.11283942702984884,0.7767382122228154
Pb_ppm,0.10641712002748697,0.7815749564408657
Ga_ppm__over__U_ppm,0.10369186906723643,0.7862878357974981
Ca_per__over__Cr_ppm,0.10090590649357604,0.7908740909007547
As_ppm__over__Fe_per,0.09923809047964803,0.7953845424165806
Hf_ppm__over__W_ppm,0.09610533536643842,0.7997526076774837
Ta_ppm__over__Ti_per,0.09262044304080981,0.8039622817622099
Fe_per__over__Th_ppm,0.08519489881908053,0.8078344588533033
Ge_ppm,0.08328749146845997,0.8116199427368359
Al_per__over__Rb_ppm,0.08186430488477422,0.8153407416384963
Hf_ppm__over__P_ppm,0.08116397735262099,0.819029710087115
Be_ppm,0.08079849085755866,0.8227020668787811
Sb_ppm__over__W_ppm,0.0798689235740633,0.8263321740852061
Ba_ppm__over__Fe_per,0.07932656049442474,0.8299376304507808
Ge_ppm__over__Sr_ppm,0.07882543742998507,0.8335203103675677
