Slice,Categoría,n,positivos,F1,IC95_inf,IC95_sup,Precision,Recall,Δ F1 vs global,significativo
confianza,Baja_conf,359,7,0.0,0.0,0.0,0.0,0.0,-0.7429,True
profundidad,Superficial,153,12,0.4667,0.2143,0.6667,0.3889,0.5833,-0.2762,True
cuadrante,SE,107,6,0.4706,0.1333,0.728,0.3636,0.6667,-0.2723,True
cluster,C3,148,5,0.5,0.0,0.8889,0.6667,0.4,-0.2429,False
frontera,Frontera_0.05-0.15,31,9,0.5556,0.1995,0.7857,0.5556,0.5556,-0.1873,False
confianza,Media_conf,35,16,0.5556,0.3331,0.7274,0.5,0.625,-0.1873,True
cuadrante,NE,113,12,0.5833,0.3,0.7857,0.5833,0.5833,-0.1595,False
fe,Alto_FE,146,11,0.6667,0.3636,0.8696,0.7,0.6364,-0.0762,False
s,Medio_S,80,9,0.6667,0.3333,0.8802,0.6667,0.6667,-0.0762,False
frontera,Resto,111,22,0.7111,0.5293,0.8421,0.6957,0.7273,-0.0317,False
as,Medio_AS,147,19,0.7179,0.5185,0.8571,0.7,0.7368,-0.0249,False
