slice,categoria,n,n_pos,f1,f1_lo,f1_hi,elegible,delta_vs_global
Banda prob.,Baja,576,1,,,,False,
Banda prob.,Media,561,11,0.0,0.0,0.0,True,-0.7212276214833759
Banda prob.,Alta,568,196,0.7436,0.6939,0.7911,True,0.022372378516624103
Concordancia,0,1490,56,0.0,0.0,0.0,True,-0.7212276214833759
Concordancia,1,36,12,0.265,0.0,0.5186,True,-0.4562276214833759
Concordancia,2,28,12,0.5829,0.3749,0.7619,True,-0.13832762148337596
Concordancia,3,151,128,0.9176,0.8815,0.9477,True,0.19637237851662404
Cercanía Au,Lejos-neg,1417,0,,,,False,
Cercanía Au,Borde,105,25,0.4433,0.2632,0.6032,True,-0.2779276214833759
Cercanía Au,Lejos-pos,183,183,0.8257,0.78,0.8669,True,0.10447237851662405
Cuadrante XY,NE,446,43,0.7455,0.6269,0.8445,True,0.024272378516624116
Cuadrante XY,NW,407,58,0.6655,0.5585,0.7619,True,-0.055727621483375955
Cuadrante XY,SE,407,20,0.6783,0.5,0.8387,True,-0.04292762148337592
Cuadrante XY,SW,445,87,0.7527,0.6755,0.8256,True,0.0314723785166241
Franja Z,Inferior,568,74,0.627,0.531,0.7143,True,-0.09422762148337593
Franja Z,Media,568,97,0.771,0.6988,0.8365,True,0.04977237851662408
Franja Z,Superior,569,37,0.7738,0.6582,0.8684,True,0.05257237851662411
Densidad esp.,Densa,568,112,0.7023,0.6279,0.77,True,-0.0189276214833759
Densidad esp.,Intermedia,568,58,0.7282,0.6286,0.8155,True,0.006972378516624023
Densidad esp.,Aislada,569,38,0.7502,0.6316,0.8506,True,0.028972378516624042
Cluster,0,824,178,0.7396,0.6841,0.7898,True,0.0183723785166241
Cluster,1,881,30,0.601,0.439,0.7501,True,-0.12022762148337596
Geo: Ag_ppm,T1,571,1,,,,False,
Geo: Ag_ppm,T2,565,17,0.0827,0.0,0.2609,True,-0.6385276214833759
Geo: Ag_ppm,T3,569,190,0.7624,0.7128,0.8082,True,0.04117237851662403
Geo: Sb_ppm,T1,568,6,0.3373,0.0,0.7273,True,-0.38392762148337595
Geo: Sb_ppm,T2,569,38,0.4584,0.2927,0.6077,True,-0.26282762148337596
Geo: Sb_ppm,T3,568,164,0.7767,0.7213,0.8252,True,0.05547237851662401
Geo: Rb_ppm,T1,568,86,0.7239,0.6444,0.7976,True,0.002672378516624052
Geo: Rb_ppm,T2,569,65,0.7588,0.6667,0.8395,True,0.037572378516624094
Geo: Rb_ppm,T3,568,57,0.6639,0.5435,0.7692,True,-0.05732762148337589
Geo: As_ppm,T1,569,32,0.6454,0.5,0.7778,True,-0.07582762148337596
Geo: As_ppm,T2,567,65,0.7075,0.6047,0.8,True,-0.013727621483375918
Geo: As_ppm,T3,569,111,0.7478,0.6811,0.81,True,0.026572378516624084
Geo: Te_ppm,Bajo,1167,91,0.6735,0.5833,0.7518,True,-0.04772762148337595
Geo: Te_ppm,Alto,538,117,0.7542,0.6881,0.8145,True,0.032972378516624046
