Motor,Batch,p50 (ms),p95 (ms),Throughput (req/s),ms/muestra
XGBoost_campeon_sklearn,1,6.999,17.396,109,6.9989
XGBoost_core_sklearn,1,0.342,0.568,2410,0.3424
XGBoost_core_ONNX,1,0.012,0.013,85036,0.0115
RF_calibrado_sklearn,1,120.314,195.832,7,120.3136
RF_core_ONNX,1,0.009,0.009,112811,0.0086
XGBoost_campeon_sklearn,427,10.028,46.850,23729,0.0235
XGBoost_core_sklearn,427,0.730,1.494,477091,0.0017
XGBoost_core_ONNX,427,0.968,1.744,372779,0.0023
RF_calibrado_sklearn,427,120.178,165.227,3299,0.2814
RF_core_ONNX,427,2.081,4.076,188040,0.0049
