Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba
1,11747.495,5863.982,1459.979,0.17,1,0,0.4,1,0.5884957123521409,1,1.0
2,6352.596,6830.149,1352.149,132.245,1,1,1.0,1,1.0,1,1.0
3,6352.596,6830.149,1352.149,11.0,1,1,0.8,1,0.977124786471805,1,1.0
4,6352.74,6819.014,1352.149,4.392,1,0,0.2,1,0.9895925732388067,1,1.0
5,6352.74,6819.014,1352.149,4.363,1,0,0.2,1,0.6361826901305179,1,1.0
6,6342.393,6898.786,1302.709,12.985,1,1,0.6,1,0.9999964812359926,1,1.0
7,6342.393,6898.786,1302.709,11.0,1,1,0.6,1,0.999884393964148,1,1.0
8,6343.687,6864.89,1302.709,10.903,1,1,1.0,1,0.9999999704850833,1,1.0
9,6343.687,6864.89,1302.709,11.0,1,1,1.0,1,0.9989823522688511,1,1.0
10,5555.949,6806.014,1156.639,0.493,1,0,0.4,1,0.6993506621338434,1,1.0
11,5669.038,6632.027,1284.399,1.89,1,1,0.8,1,0.9863445641186718,1,1.0
12,8054.946,6334.044,1365.179,0.032,0,0,0.2,0,0.23731728176354874,1,1.0
13,2579.966,2221.598,516.659,0.197,1,1,0.8,1,0.9820895809317359,1,1.0
14,2869.306,1880.466,673.609,0.352,1,0,0.4,0,0.1143816411874718,1,1.0
15,5577.393,6763.242,1156.639,0.928,1,1,1.0,1,0.9999874626125389,1,1.0
16,5671.99,6627.611,1284.399,0.742,1,1,1.0,1,0.7106746441422452,1,1.0
17,5266.044,7286.197,716.069,2.02,1,1,0.6,1,0.6830802039040462,1,1.0
18,5686.08,6607.879,1284.399,3.788,1,1,1.0,1,0.9999999799045882,1,1.0
19,7359.948,7465.966,1280.549,0.292,1,0,0.0,1,0.6459927755550388,1,1.0
20,6262.426,7149.453,1169.099,1.125,1,0,0.2,1,0.989533904882356,1,1.0
21,5555.229,6806.051,1156.639,3.108,1,1,0.6,1,0.5770051165160649,1,1.0
22,5504.041,6986.029,1060.439,0.441,1,1,1.0,1,0.9875781520688287,1,1.0
23,5497.22,7002.321,1060.439,0.6,1,1,0.8,1,0.9646317742046873,1,1.0
24,6259.677,7147.453,1169.099,2.136,1,1,1.0,1,0.9994581775266617,1,1.0
25,5670.158,6626.205,1284.399,0.115,1,0,0.2,1,0.8178685242534434,1,1.0
26,5561.711,6797.572,1156.639,6.967,1,1,0.6,1,0.780256275524647,1,1.0
27,5556.843,6807.053,1156.639,0.713,1,1,0.6,0,0.49711374634475863,1,1.0
28,6256.895,7080.973,1169.099,1.039,1,0,0.4,1,0.9658538488162991,1,1.0
29,9650.171,3166.114,1463.229,2.262,1,1,1.0,1,0.9999999999998295,1,1.0
30,7190.329,3570.463,1262.249,4.25,1,1,1.0,1,0.9999999995843825,1,1.0
31,9717.313,3175.588,1463.229,0.29,1,0,0.2,1,0.879154358987684,1,1.0
32,7199.911,3507.765,1262.249,1.057,1,1,1.0,1,0.9999106840799558,1,1.0
33,7270.265,3810.471,1200.709,0.245,1,0,0.4,1,0.8548816165455901,1,1.0
34,6972.504,4908.509,1047.699,0.187,1,0,0.4,1,0.9995974415507465,1,1.0
35,7333.912,6515.929,1286.879,2.721,1,1,0.6,1,0.9906547192075396,1,1.0
36,5066.0,6581.0,1094.0,4.538,1,1,0.6,1,0.9999695175433458,1,1.0
37,4375.226,6417.477,830.0,8.707,1,1,0.8,1,0.9994225200743782,1,1.0
38,4605.0,6333.0,1010.0,0.272,1,0,0.4,1,0.917527944900248,1,1.0
39,4912.899,6732.387,995.0,0.333,1,1,0.6,0,0.15061258706815167,1,1.0
40,4848.251,6220.151,1155.0,0.254,1,0,0.4,1,0.9408340387786356,1,1.0
41,4962.0,6661.0,1045.0,0.102,1,1,0.8,1,0.6517857980618921,1,1.0
42,4930.0,6655.0,1039.0,1.001,1,1,0.6,1,0.788137240243973,1,1.0
43,9558.941,3114.694,1415.709,4.921,1,1,1.0,1,1.0,1,1.0
44,7746.633,3283.81,1452.149,0.063,0,0,0.2,1,0.5733285014141498,1,1.0
45,7806.013,3268.358,1452.149,0.017,0,0,0.2,1,0.8517170253372456,1,1.0
46,6275.028,8226.694,721.0,1.254,1,0,0.2,1,0.9531442832501948,1,1.0
47,6555.308,8188.868,802.0,1.751,1,1,0.8,1,0.999829172170269,1,1.0
48,16047.285,9179.101,1375.689,0.046,0,0,0.2,0,3.759056936213115e-05,1,1.0
49,12448.019,9465.28,1366.139,0.246,1,0,0.2,0,0.44856929494770537,1,1.0
50,6585.25,8214.579,819.0,0.271,1,0,0.2,1,0.9851443774292489,1,1.0
51,14537.603,9548.218,1452.959,6.451,1,1,0.6,1,0.9995949122693912,1,1.0
52,7651.098,7262.602,1258.0,1.881,1,1,1.0,1,0.9999797961217572,1,1.0
53,7654.096,7280.083,1252.0,0.628,1,1,0.6,1,0.9997390037312168,1,1.0
54,6274.909,7994.661,829.0,0.222,1,1,0.6,1,0.9658988591169136,1,1.0
55,5300.192,8533.699,486.0,2.476,1,1,1.0,1,1.0,1,1.0
56,4846.153,6213.969,1157.0,0.235,1,0,0.4,0,0.24901071564223626,1,1.0
57,4784.829,6145.35,1150.0,0.718,1,1,0.6,1,0.9797995097711606,1,1.0
58,4769.826,6597.82,956.0,4.187,1,1,1.0,1,0.9999999982063272,1,1.0
59,4919.0,6694.0,1020.0,1.831,1,0,0.2,1,0.5093867455004075,1,1.0
60,5294.0,6431.0,1219.0,0.14,1,0,0.4,0,0.18879523678922086,1,1.0
61,4924.965,6626.562,1066.0,6.953,1,1,1.0,1,0.997709939868111,1,1.0
62,4926.39,6626.541,1066.0,0.475,1,0,0.2,0,0.056726250859308894,1,1.0
63,5420.998,6356.61,1317.0,0.135,1,1,0.6,0,0.37869845469303703,1,1.0
64,5424.0,6768.0,1098.0,0.853,1,1,0.6,0,0.41788940498151433,1,1.0
65,6365.0,7602.0,924.0,74.766,1,1,1.0,1,1.0,1,1.0
66,4674.0,7389.0,549.0,1.181,1,1,0.6,0,0.49292285869661506,1,1.0
67,4886.0,6801.0,926.0,0.308,1,0,0.4,0,0.2659299615874125,1,1.0
68,4929.0,6655.0,1040.0,1.544,1,1,0.6,1,0.9350150723106849,1,1.0
69,10756.416,5703.675,1545.18,0.024,0,0,0.0,0,0.10742063944787626,1,1.0
70,9748.088,7293.679,1274.99,0.165,1,1,0.6,0,0.19717464596716416,1,1.0
71,9739.973,6295.477,1498.0,0.188,1,0,0.4,0,0.4913265671479439,1,1.0
72,5939.501,3655.298,1025.64,0.103,1,0,0.4,1,0.8490441919869146,1,1.0
73,5951.538,3707.239,993.34,0.532,1,1,1.0,1,0.9999997923347097,1,1.0
74,10781.239,5714.179,1554.56,0.318,1,1,0.6,1,0.9980380074657916,1,1.0
75,5106.18,8329.73,355.0,0.113,1,0,0.2,0,0.32438708744760136,1,1.0
76,4688.76,6297.202,1068.0,0.209,1,0,0.0,0,0.3469292797608994,1,1.0
77,4681.005,6257.046,1088.0,13.957,1,1,1.0,1,0.999999999999998,1,1.0
78,4587.0,6403.0,1007.0,0.119,1,0,0.2,0,0.041245435078905116,1,1.0
79,4726.049,6254.175,1092.0,4.093,1,1,0.8,1,0.9999960869239182,1,1.0
80,4601.089,6364.632,1021.28,2.873,1,0,0.2,1,0.9324349862442182,1,1.0
81,4619.826,6358.339,1022.22,0.38,1,1,0.6,1,0.9120144286780878,1,1.0
82,4653.335,6315.891,1063.0,0.246,1,1,0.6,1,0.7297280443926604,1,1.0
83,4656.668,6316.063,1063.0,0.519,1,0,0.4,1,0.8899292813594972,1,1.0
