Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm
1,6352.596,6830.149,1352.149,132.245,1,1,1.0,1,1.0,1,1.0,1,0.97,19.51265629083719
2,6530.685,7774.565,968.0,4.934,1,1,0.8,0,0.16537504067576939,1,0.8947368421052632,1,0.89,7.0661733112962395
3,6365.0,7602.0,924.0,74.766,1,1,1.0,1,1.0,1,1.0,1,0.97,6.600423668048201
4,6352.596,6830.149,1352.149,11.0,1,1,0.8,1,0.977124786471805,1,1.0,1,0.97,6.552837210232339
5,6729.996,7747.946,1013.359,0.085,0,0,0.2,0,0.16613335395397455,0,0.06719367588932806,0,0.13,6.220562812611661
6,5472.809,7666.241,756.0,0.0025,0,0,0.4,0,0.0383864143096406,0,0.0,0,0.01,5.904492256297214
7,6461.315,7685.196,951.059,0.0025,0,0,0.2,0,0.1859937910951922,0,0.0,0,0.07,5.500295913240852
8,6529.013,7791.281,941.609,13.986,1,1,0.8,0,0.30557810266438173,1,0.8947368421052632,1,0.88,5.308363076882898
9,8373.013,6836.033,1391.239,0.009,0,0,0.2,0,0.07946007932425594,0,0.0,0,0.0,4.846900410294284
10,6751.775,6472.681,1229.269,0.0025,0,1,0.6,0,0.1839661628272195,0,0.06818181818181818,0,0.27,4.620860539051815
11,9463.0,6618.0,1510.0,0.011,0,0,0.0,0,0.1318089993575124,0,0.06719367588932806,0,0.06,4.546220298670198
12,9456.0,6383.0,1510.0,0.0025,0,0,0.2,0,0.10191958260227187,0,0.0,0,0.03,4.441589028102009
13,5614.553,7977.078,616.0,0.0025,0,0,0.2,0,0.28321636850416815,0,0.0,0,0.0,4.3804767411146175
14,4593.717,6484.722,909.0,0.086,0,0,0.0,0,0.15900400793869668,0,0.06818181818181818,0,0.04,4.314593608688688
15,4995.068,8197.667,413.0,0.0025,0,0,0.0,0,0.06763185434387556,0,0.0,0,0.03,4.268840844720026
16,8243.0,8411.0,923.0,0.0025,0,1,0.8,0,0.13357682864861256,0,0.0,0,0.02,4.149028223607108
17,7177.255,7692.244,1077.0,0.017,0,1,0.6,0,0.14937482270576175,0,0.06818181818181818,0,0.08,4.149028223607108
18,6411.0,7961.0,850.0,6.157,1,1,0.8,0,0.21920759292685033,1,0.8947368421052632,1,0.84,4.1311059707441915
