Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba
1,6352.596,6830.149,1352.149,132.245,1,1,1.0
2,6343.687,6864.89,1302.709,11.0,1,1,1.0
3,6343.687,6864.89,1302.709,10.903,1,1,1.0
4,5504.041,6986.029,1060.439,0.441,1,1,1.0
5,7190.329,3570.463,1262.249,4.25,1,1,1.0
6,7199.911,3507.765,1262.249,1.057,1,1,1.0
7,6259.677,7147.453,1169.099,2.136,1,1,1.0
8,5671.99,6627.611,1284.399,0.742,1,1,1.0
9,5577.393,6763.242,1156.639,0.928,1,1,1.0
10,5686.08,6607.879,1284.399,3.788,1,1,1.0
11,5670.538,6624.916,1218.0,0.317,1,1,1.0
12,5951.538,3707.239,993.34,0.532,1,1,1.0
13,5315.348,3201.014,1126.48,0.286,1,1,1.0
14,4681.005,6257.046,1088.0,13.957,1,1,1.0
15,4741.763,6241.317,1092.0,1.262,1,1,1.0
16,4930.0,6656.0,1036.0,1.738,1,1,1.0
17,5106.15,8330.0,355.0,1.14,1,1,1.0
18,4922.1,6645.0,1051.0,4.788,1,1,1.0
19,4924.965,6626.562,1066.0,6.953,1,1,1.0
20,5700.862,8006.657,601.0,0.171,1,1,1.0
21,6365.0,7602.0,924.0,74.766,1,1,1.0
22,4769.826,6597.82,956.0,4.187,1,1,1.0
23,7651.098,7262.602,1258.0,1.881,1,1,1.0
24,14537.849,9549.684,1452.959,0.475,1,1,1.0
25,5300.192,8533.699,486.0,2.476,1,1,1.0
26,9558.941,3114.694,1415.709,4.921,1,1,1.0
27,9650.171,3166.114,1463.229,2.262,1,1,1.0
28,5730.086,3349.171,1143.25,0.102,1,1,1.0
29,7669.902,7218.467,1274.0,4.063,1,1,1.0
30,7521.699,7263.314,1282.0,1.133,1,1,1.0
31,13273.051,7774.233,1386.92,0.211,1,1,1.0
32,6466.76,6960.407,1252.0,1.887,1,1,1.0
33,5674.576,3343.853,1130.0,0.256,1,1,1.0
34,5705.875,3342.532,1138.08,0.309,1,1,0.8
35,6411.0,7961.0,850.0,6.157,1,1,0.8
36,5149.893,7419.615,659.0,0.923,1,1,0.8
37,5671.274,6625.091,1218.0,2.35,1,1,0.8
38,7521.0,7266.0,1282.0,0.586,1,1,0.8
39,5497.22,7002.321,1060.439,0.6,1,1,0.8
40,8157.017,7013.962,1317.179,0.013,0,1,0.8
41,6352.596,6830.149,1352.149,11.0,1,1,0.8
42,8450.08,6044.907,1444.589,0.086,0,1,0.8
43,5669.038,6632.027,1284.399,1.89,1,1,0.8
44,2579.966,2221.598,516.659,0.197,1,1,0.8
45,7668.103,7227.104,1273.0,2.625,1,1,0.8
46,6530.685,7774.565,968.0,4.934,1,1,0.8
47,6530.714,7826.906,945.0,2.496,1,1,0.8
48,7647.106,6134.796,1329.093,0.017,0,1,0.8
49,12571.0,9326.0,1258.0,0.114,1,1,0.8
50,12235.003,9655.366,1353.57,0.184,1,1,0.8
51,5730.094,6776.153,1121.78,0.867,1,1,0.8
52,4375.226,6417.477,830.0,8.707,1,1,0.8
53,4913.899,6732.387,995.0,0.442,1,1,0.8
54,4962.0,6661.0,1045.0,0.102,1,1,0.8
55,3359.985,7087.879,0.0,0.172,1,1,0.8
56,4726.049,6254.175,1092.0,4.093,1,1,0.8
57,4749.609,6228.706,1102.0,0.351,1,1,0.8
58,6359.0,7629.0,909.0,0.037,0,1,0.8
59,6555.308,8188.868,802.0,1.751,1,1,0.8
60,6529.013,7791.281,941.609,13.986,1,1,0.8
61,8243.0,8411.0,923.0,0.0025,0,1,0.8
62,4686.67,6204.417,1080.0,0.855,1,1,0.8
63,5817.0,7768.0,721.0,1.094,1,1,0.8
64,6419.0,7850.0,899.0,11.494,1,1,0.8
65,6507.0,7857.0,911.0,2.643,1,1,0.8
