Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm,Ridge_pred_ppm,Arbol_Decision_Regressor_pred_ppm,Random_Forest_Regressor_pred_ppm
1,6352.596,6830.149,1352.149,132.245,1,1,1.0,1,1.0,1,1.0,1,0.97,19.51265629083719,318.0186856702102,132.24499999999998,81.85919438197384
2,6365.0,7602.0,924.0,74.766,1,1,1.0,1,1.0,1,1.0,1,0.97,6.600423668048201,12.864221151482313,74.76600000000002,43.31505552856851
3,6352.596,6830.149,1352.149,11.0,1,1,0.8,1,0.977124786471805,1,1.0,1,0.97,6.552837210232339,6.884340386253294,11.0,12.800120374993273
4,6342.393,6898.786,1302.709,12.985,1,1,0.6,1,0.9999964812359926,1,1.0,1,0.94,3.1752325260566185,2.7401583487827534,12.985,11.103856560562917
5,6342.393,6898.786,1302.709,11.0,1,1,0.6,1,0.999884393964148,1,1.0,1,0.94,3.4394167096578068,2.4999203304240667,11.0,10.59769306476138
6,6343.687,6864.89,1302.709,10.903,1,1,1.0,1,0.9999999704850833,1,1.0,1,0.98,3.7791813381517714,3.354928882655116,10.903000000000002,10.511932575702762
7,6343.687,6864.89,1302.709,11.0,1,1,1.0,1,0.9989823522688511,1,1.0,1,0.98,3.472365874002259,2.4483730347743218,11.0,10.495681555898926
8,6500.656,7831.902,931.0,22.424,1,1,0.6,0,0.4366102653020717,1,0.8947368421052632,1,0.69,2.301442093150472,1.2062157591174114,10.665890931652221,8.889559998153992
9,13083.354,7638.403,1385.0,16.681,1,1,0.6,1,0.9999999727105974,1,1.0,1,0.89,2.1489221886053627,11.324184117978781,16.681000000000004,8.397961912828826
10,6529.013,7791.281,941.609,13.986,1,1,0.8,0,0.30557810266438173,1,0.8947368421052632,1,0.88,5.308363076882898,0.9646932554773462,10.665890931652221,8.125776738561157
11,6531.783,7789.934,965.0,13.727,1,1,0.6,0,0.28054275490154607,1,0.8947368421052632,1,0.8,4.0316023493216635,0.8759598013810536,10.665890931652221,6.233218743121704
12,6419.0,7850.0,899.0,11.494,1,1,0.8,0,0.42819266547110363,1,0.8947368421052632,1,0.56,1.8544137167564863,0.7566427367121099,10.665890931652221,6.1361336576724685
13,4681.005,6257.046,1088.0,13.957,1,1,1.0,1,0.999999999999998,1,1.0,0,0.48,2.839552303891425,6.2040700049977575,10.665890931652221,5.751071165113921
14,9558.941,3114.694,1415.709,4.921,1,1,1.0,1,1.0,1,1.0,1,0.69,2.3426734991359717,6.401498115374599,4.921,5.4225744709017905
15,4993.402,8199.455,413.0,0.0025,0,0,0.4,0,0.31672907591912436,0,0.0,0,0.04,0.426819529151062,2.363242435842683,132.24499999999998,5.392341712560041
16,4917.354,6722.226,1021.0,6.466,1,0,0.4,1,0.5445404554428339,1,0.8947368421052632,1,0.83,0.8871980459880737,1.4331033031618925,6.465999999999999,5.251265203385275
17,4375.226,6417.477,830.0,8.707,1,1,0.8,1,0.9994225200743782,1,1.0,1,0.81,1.6421695487073125,1.6572543915857343,4.509632847636605,5.126282627124416
18,6526.955,7843.95,941.609,6.736,1,0,0.2,0,0.19995570101916826,1,0.8947368421052632,1,0.91,3.3138840982674624,0.9175719500290206,10.665890931652221,5.027956903657426
19,13082.933,7638.933,1385.0,8.391,1,1,0.6,1,0.9999318040252695,1,1.0,1,0.8,2.242486178478264,11.897235832769208,10.665890931652221,4.932481949390113
20,363.0,8021.0,790.0,0.0025,0,0,0.4,0,0.225495223946444,0,0.0,0,0.02,0.4378340358567687,0.35440581792489917,132.24499999999998,4.553723166274277
21,7637.571,7300.337,1220.0,0.021,0,0,0.0,0,0.34226969216133746,0,0.02702702702702703,0,0.02,1.9988260721747306,0.7229422478418931,6.465999999999999,4.114133363101517
22,7190.329,3570.463,1262.249,4.25,1,1,1.0,1,0.9999999995843825,1,1.0,1,0.83,1.8496122186919581,0.9589410401334657,1.8931737585878774,4.051826803916397
23,4995.0,8213.0,382.0,0.01,0,0,0.2,0,0.19326922773422966,0,0.0,0,0.02,0.43820993901165295,1.008125804933023,132.24499999999998,4.047989705509775
24,6411.0,7961.0,850.0,6.157,1,1,0.8,0,0.21920759292685033,1,0.8947368421052632,1,0.84,4.1311059707441915,0.8119612967464594,10.665890931652221,3.936802569930772
