Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba
1,5671.99,6627.611,1284.399,0.742,1,1,1.0,1,0.7106746441422452,1,1.0,1,1.0
2,6343.687,6864.89,1302.709,10.903,1,1,1.0,1,0.9999999704850833,1,1.0,1,0.98
3,6343.687,6864.89,1302.709,11.0,1,1,1.0,1,0.9989823522688511,1,1.0,1,0.98
4,6352.596,6830.149,1352.149,132.245,1,1,1.0,1,1.0,1,1.0,1,0.97
5,6352.596,6830.149,1352.149,11.0,1,1,0.8,1,0.977124786471805,1,1.0,1,0.97
6,6365.0,7602.0,924.0,74.766,1,1,1.0,1,1.0,1,1.0,1,0.97
7,5671.274,6625.091,1218.0,2.35,1,1,0.8,1,0.6936260848290501,1,1.0,1,0.97
8,4924.965,6626.562,1066.0,6.953,1,1,1.0,1,0.997709939868111,1,1.0,1,0.96
9,7668.103,7227.104,1273.0,2.625,1,1,0.8,1,0.9953897482772758,1,1.0,1,0.96
10,6581.0,7080.0,1177.0,0.28,1,0,0.2,1,0.5378558005565648,1,1.0,1,0.96
11,5577.393,6763.242,1156.639,0.928,1,1,1.0,1,0.9999874626125389,1,1.0,1,0.96
12,7521.699,7263.314,1282.0,1.133,1,1,1.0,1,0.9999457801168155,1,1.0,1,0.95
13,6466.76,6960.407,1252.0,1.887,1,1,1.0,1,0.9978301956814183,1,1.0,1,0.95
14,7521.0,7266.0,1282.0,0.586,1,1,0.8,1,0.6577263540542126,1,1.0,1,0.95
15,6342.393,6898.786,1302.709,11.0,1,1,0.6,1,0.999884393964148,1,1.0,1,0.94
16,5705.875,3342.532,1138.08,0.309,1,1,0.8,1,0.9999238802061945,1,1.0,1,0.94
17,6342.393,6898.786,1302.709,12.985,1,1,0.6,1,0.9999964812359926,1,1.0,1,0.94
18,4930.0,6656.0,1036.0,1.738,1,1,1.0,1,0.807615501390425,1,0.8947368421052632,1,0.94
19,4913.899,6732.387,995.0,0.442,1,1,0.8,0,0.30116188828201773,0,0.4666666666666667,1,0.93
20,5149.893,7419.615,659.0,0.923,1,1,0.8,0,0.3062954583330091,1,0.8947368421052632,1,0.93
21,5730.086,3349.171,1143.25,0.102,1,1,1.0,1,0.9999786437226094,1,1.0,1,0.93
22,4928.0,6654.0,1038.0,1.317,1,1,0.6,1,0.5567926947066762,1,0.8947368421052632,1,0.93
23,4912.65,6713.0,1005.0,3.082,1,0,0.4,1,0.6532764316044961,1,0.8947368421052632,1,0.93
24,2579.966,2221.598,516.659,0.197,1,1,0.8,1,0.9820895809317359,1,1.0,1,0.92
25,5951.538,3707.239,993.34,0.532,1,1,1.0,1,0.9999997923347097,1,1.0,1,0.92
26,7669.902,7218.467,1274.0,4.063,1,1,1.0,1,0.9999999996617754,1,1.0,1,0.92
27,7538.573,7314.581,1266.0,0.134,1,1,0.6,0,0.3642060797695095,0,0.38461538461538464,1,0.92
28,4922.1,6645.0,1051.0,4.788,1,1,1.0,0,0.4043158547272894,1,0.8947368421052632,1,0.91
29,5504.041,6986.029,1060.439,0.441,1,1,1.0,1,0.9875781520688287,1,1.0,1,0.91
30,5670.538,6624.916,1218.0,0.317,1,1,1.0,1,0.7931096049992049,1,1.0,1,0.91
31,6463.948,7037.448,1206.0,0.401,1,0,0.2,0,0.4245979630938453,1,0.8947368421052632,1,0.91
32,5734.634,3345.364,1143.99,0.23,1,0,0.4,1,0.9955221590843161,1,1.0,1,0.91
33,6526.955,7843.95,941.609,6.736,1,0,0.2,0,0.19995570101916826,1,0.8947368421052632,1,0.91
34,5635.487,3346.942,1112.64,0.204,1,0,0.4,1,0.876742045379171,1,1.0,1,0.9
