Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba
1,6352.596,6830.149,1352.149,132.245,1,1,1.0,1,1.0
2,6365.0,7602.0,924.0,74.766,1,1,1.0,1,1.0
3,9558.941,3114.694,1415.709,4.921,1,1,1.0,1,1.0
4,5300.192,8533.699,486.0,2.476,1,1,1.0,1,1.0
5,4681.005,6257.046,1088.0,13.957,1,1,1.0,1,0.999999999999998
6,9650.171,3166.114,1463.229,2.262,1,1,1.0,1,0.9999999999998295
7,13273.051,7774.233,1386.92,0.211,1,1,1.0,1,0.9999999997418847
8,7669.902,7218.467,1274.0,4.063,1,1,1.0,1,0.9999999996617754
9,4741.763,6241.317,1092.0,1.262,1,1,1.0,1,0.9999999996295774
10,7190.329,3570.463,1262.249,4.25,1,1,1.0,1,0.9999999995843825
11,4769.826,6597.82,956.0,4.187,1,1,1.0,1,0.9999999982063272
12,5686.08,6607.879,1284.399,3.788,1,1,1.0,1,0.9999999799045882
13,13083.354,7638.403,1385.0,16.681,1,1,0.6,1,0.9999999727105974
14,6343.687,6864.89,1302.709,10.903,1,1,1.0,1,0.9999999704850833
15,5951.538,3707.239,993.34,0.532,1,1,1.0,1,0.9999997923347097
16,5315.348,3201.014,1126.48,0.286,1,1,1.0,1,0.9999974666335407
17,6342.393,6898.786,1302.709,12.985,1,1,0.6,1,0.9999964812359926
18,4726.049,6254.175,1092.0,4.093,1,1,0.8,1,0.9999960869239182
19,5577.393,6763.242,1156.639,0.928,1,1,1.0,1,0.9999874626125389
20,7651.098,7262.602,1258.0,1.881,1,1,1.0,1,0.9999797961217572
21,5730.086,3349.171,1143.25,0.102,1,1,1.0,1,0.9999786437226094
22,5066.0,6581.0,1094.0,4.538,1,1,0.6,1,0.9999695175433458
23,7521.699,7263.314,1282.0,1.133,1,1,1.0,1,0.9999457801168155
24,13082.933,7638.933,1385.0,8.391,1,1,0.6,1,0.9999318040252695
25,5705.875,3342.532,1138.08,0.309,1,1,0.8,1,0.9999238802061945
26,7199.911,3507.765,1262.249,1.057,1,1,1.0,1,0.9999106840799558
27,6342.393,6898.786,1302.709,11.0,1,1,0.6,1,0.999884393964148
28,4686.67,6204.417,1080.0,0.855,1,1,0.8,1,0.9998635525752001
29,6555.308,8188.868,802.0,1.751,1,1,0.8,1,0.999829172170269
30,7654.096,7280.083,1252.0,0.628,1,1,0.6,1,0.9997390037312168
31,5106.15,8330.0,355.0,1.14,1,1,1.0,1,0.9997097849647049
32,6972.504,4908.509,1047.699,0.187,1,0,0.4,1,0.9995974415507465
33,14537.603,9548.218,1452.959,6.451,1,1,0.6,1,0.9995949122693912
34,14537.849,9549.684,1452.959,0.475,1,1,1.0,1,0.9994685783789888
35,6259.677,7147.453,1169.099,2.136,1,1,1.0,1,0.9994581775266617
36,4375.226,6417.477,830.0,8.707,1,1,0.8,1,0.9994225200743782
37,6343.687,6864.89,1302.709,11.0,1,1,1.0,1,0.9989823522688511
38,5674.576,3343.853,1130.0,0.256,1,1,1.0,1,0.9982179369343852
39,10781.239,5714.179,1554.56,0.318,1,1,0.6,1,0.9980380074657916
40,6466.76,6960.407,1252.0,1.887,1,1,1.0,1,0.9978301956814183
41,4924.965,6626.562,1066.0,6.953,1,1,1.0,1,0.997709939868111
42,4630.442,6102.064,1039.0,0.05,0,0,0.4,1,0.9969051878909729
43,5015.0,6729.0,989.0,1.043,1,1,0.6,1,0.9964973421341919
