Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm,Ridge_pred_ppm
1,6352.596,6830.149,1352.149,132.245,1,1,1.0,1,1.0,1,1.0,1,0.97,19.51265629083719,318.0186856702102
2,10748.904,9560.958,1370.0,0.005,0,0,0.0,0,4.655444574168757e-06,0,0.06719367588932806,0,0.04,0.39220528836763247,22.621369938174304
3,11986.986,7930.563,1364.0,0.0025,0,0,0.0,0,1.4594020516671024e-05,0,0.0,0,0.0,0.4342754772840126,16.983582501428955
4,3700.431,6073.42,573.0,0.049,0,0,0.2,0,0.001311857535633267,0,0.0,0,0.34,1.166609037604591,14.544329544492092
5,6365.0,7602.0,924.0,74.766,1,1,1.0,1,1.0,1,1.0,1,0.97,6.600423668048201,12.864221151482313
6,13082.933,7638.933,1385.0,8.391,1,1,0.6,1,0.9999318040252695,1,1.0,1,0.8,2.242486178478264,11.897235832769208
7,13083.354,7638.403,1385.0,16.681,1,1,0.6,1,0.9999999727105974,1,1.0,1,0.89,2.1489221886053627,11.324184117978781
8,4416.0,7582.0,357.0,0.0025,0,0,0.0,0,0.0007028554736676935,0,0.03278688524590164,0,0.0,0.9361369155687657,8.999819070955883
9,3936.127,7387.505,214.0,0.006,0,0,0.0,0,0.001325885782027978,0,0.03278688524590164,0,0.0,1.0092371169952237,7.061828532366558
10,6352.596,6830.149,1352.149,11.0,1,1,0.8,1,0.977124786471805,1,1.0,1,0.97,6.552837210232339,6.884340386253294
11,11861.497,9973.41,1360.34,0.016,0,0,0.0,0,6.212001668924856e-05,0,0.0,0,0.0,0.2669131436179216,6.497344755765487
12,9558.941,3114.694,1415.709,4.921,1,1,1.0,1,1.0,1,1.0,1,0.69,2.3426734991359717,6.401498115374599
13,10287.0,8689.0,1085.0,0.0025,0,0,0.0,0,0.0009631745597092124,0,0.0,0,0.0,0.31339200632907266,6.375987731207901
14,14537.603,9548.218,1452.959,6.451,1,1,0.6,1,0.9995949122693912,1,1.0,1,0.83,1.9484944133852973,6.362725863045441
15,10026.0,8974.0,1185.0,0.0025,0,0,0.0,0,0.0011891029442131736,0,0.0,0,0.0,0.38552378108909185,6.273454493618112
16,4681.005,6257.046,1088.0,13.957,1,1,1.0,1,0.999999999999998,1,1.0,0,0.48,2.839552303891425,6.2040700049977575
17,5154.828,6439.146,1186.5,0.008,0,0,0.0,0,0.0397657020572639,0,0.02702702702702703,0,0.05,0.29648201362072496,5.846913205888579
18,4422.475,7521.769,384.0,0.0025,0,0,0.0,0,0.0017980909814130411,0,0.0,0,0.0,0.29092560109856813,5.823710790654108
19,11665.294,7865.684,1314.0,0.0025,0,0,0.0,0,0.0006035674172834625,0,0.03278688524590164,0,0.0,0.29921149977487044,5.689901016820574
20,5105.85,8323.0,360.0,0.006,0,0,0.0,0,0.00044492607298754635,1,0.6666666666666666,0,0.05,0.3227956335986715,5.610408588475192
21,6327.073,8514.711,617.0,0.0025,0,0,0.0,0,0.0002412255686080633,0,0.0,0,0.0,1.3277400407895552,5.536629501367601
22,3937.027,7387.505,214.8,0.005,0,0,0.0,0,8.557761264892169e-05,0,0.0,0,0.0,0.3979290805919187,5.499388790244077
23,7664.31,4557.415,1072.0,0.0025,0,0,0.0,0,0.00937532433109149,0,0.0,0,0.01,0.3270633553995527,5.305971227961603
24,10460.726,9162.846,1276.0,0.0025,0,0,0.0,0,0.0005251706045603941,0,0.0,0,0.03,0.31339200632907266,5.229217722461137
25,5105.83,8322.0,360.0,0.0025,0,0,0.0,0,0.00011305003811796948,0,0.0,0,0.01,0.8020866269231682,5.185319063610326
26,281.0,7781.0,787.0,0.0025,0,0,0.0,0,9.968371440954158e-06,0,0.0,0,0.0,1.3277400407895552,5.18454390379747
27,6093.945,6750.018,1279.219,0.0025,0,0,0.0,0,0.013727251794228663,0,0.0,0,0.0,1.1889035836517279,5.119297290596755
28,6933.387,4491.697,959.0,0.0025,0,0,0.0,0,0.0035679879410371656,0,0.0,0,0.0,0.313119634306739,5.087780854400058
29,4428.391,7574.709,389.0,0.0025,0,0,0.0,0,0.002080638093896054,0,0.03278688524590164,0,0.02,1.0584583235431977,5.060346589163782
30,4418.0,7497.0,396.0,0.0025,0,0,0.0,0,0.0006482724125556616,0,0.03278688524590164,0,0.0,0.5800595314196089,4.945718854321423
31,8332.0,5475.0,1374.0,0.0025,0,0,0.0,0,0.005771552713619073,0,0.0,0,0.0,0.18895856196041866,4.938346343168149
32,7295.639,5755.038,1187.0,0.0025,0,0,0.0,0,0.003068764964040253,0,0.0,0,0.0,0.3270633553995527,4.527579218108942
33,10436.0,8858.0,1150.0,0.007,0,0,0.0,0,0.0006823897094157596,0,0.0,0,0.0,0.38552378108909185,4.524623143676337
34,7185.679,9242.846,909.93,0.009,0,0,0.0,0,0.06131396820880796,0,0.03278688524590164,0,0.01,0.2363896598843187,4.320339110275794
35,13493.0,7316.0,1405.0,0.0025,0,0,0.0,0,0.0030547489540948426,0,0.0,0,0.0,0.38552378108909185,4.306604278295746
36,4933.982,6270.518,1228.0,0.006,0,0,0.0,0,0.0004141713583844285,0,0.0,0,0.0,1.2319798825112362,4.262155075729744
37,10404.521,6048.041,1484.0,0.005,0,0,0.0,0,0.006637405808547982,0,0.03278688524590164,0,0.01,1.0977090252010062,4.236959121148055
38,885.0,11617.0,751.0,0.0025,0,0,0.0,0,0.010344969293536259,0,0.0,0,0.0,1.2827255904095414,4.175226088673007
39,8161.0,6671.0,1421.0,0.0025,0,0,0.0,0,0.003478347939845009,0,0.0,0,0.0,0.38552378108909185,4.065054799791824
40,7095.31,4683.005,1051.0,0.0025,0,0,0.0,0,0.033256067095292045,0,0.0,0,0.0,0.28009205566249185,4.053450205646146
41,5605.827,6728.348,1135.0,0.0025,0,0,0.0,0,4.7102307743748484e-05,0,0.0,0,0.0,1.1532947647043266,3.986098967472477
42,8618.49,5946.74,1429.29,0.0025,0,0,0.0,0,0.004744202461325972,0,0.0,0,0.01,0.28009205566249185,3.9595182255554486
43,12369.0,6246.0,1488.0,0.0025,0,0,0.0,0,0.0031079868005403463,0,0.0,0,0.0,0.28009205566249196,3.93268790290185
44,4718.322,6074.248,1131.0,0.0025,0,0,0.0,0,0.0015420310660049059,0,0.0,0,0.0,1.2695947441053914,3.9214124768007483
45,10343.0,8772.0,1110.0,0.0025,0,0,0.0,0,0.002326310733659893,0,0.0,0,0.0,0.38552378108909185,3.8873688671534907
46,6201.0,6418.0,1363.0,0.0025,0,0,0.0,0,0.03560069276318865,0,0.0,0,0.0,0.21924923808056482,3.8680960911097086
47,5231.629,7080.589,830.949,0.0025,0,0,0.0,0,5.6004840321843564e-05,0,0.0,0,0.0,1.1532947647043266,3.8165533097236755
48,7683.43,4469.841,1036.0,0.0025,0,0,0.0,0,0.010256753874581831,0,0.0,0,0.0,0.3251514733447335,3.815167495716522
49,5699.027,6580.02,1284.399,0.0025,0,0,0.0,0,0.0003838947426390987,0,0.0,0,0.0,1.3277400407895552,3.7603366202303903
50,9201.0,6520.0,1362.0,0.005,0,0,0.0,0,0.0024061848782302975,0,0.0,0,0.0,0.38552378108909185,3.7459651530843203
51,5686.08,6607.879,1284.399,3.788,1,1,1.0,1,0.9999999799045882,1,1.0,1,0.82,2.5816483878945053,3.692917149216748
52,7342.329,9283.829,938.0,0.0025,0,0,0.0,0,0.0025841171152588714,0,0.0,0,0.0,1.1532947647043266,3.6274288992931973
53,10077.0,8760.0,1081.0,0.0025,0,0,0.0,0,0.00321678511928535,0,0.0,0,0.0,0.31339200632907266,3.6136667633524553
54,6330.0,7325.0,1083.0,0.0025,0,0,0.0,0,0.004669163145356428,0,0.0,0,0.01,0.28009205566249185,3.583301196761603
55,5576.0,4860.0,794.0,0.0025,0,0,0.0,0,0.004912325523777566,0,0.0,0,0.01,0.3784051391518745,3.572785931919351
56,9429.0,6643.0,1493.0,0.021,0,0,0.2,0,0.022818982438232396,0,0.06818181818181818,0,0.04,0.5631881918436876,3.5485008273120515
57,5289.277,7052.313,926.0,0.019,0,0,0.0,0,1.5240214746842465e-05,0,0.0,0,0.02,1.3277400407895552,3.519588041836389
58,6517.0,8470.0,698.0,0.0025,0,0,0.0,0,0.00020175485986077523,0,0.0,0,0.0,0.38552378108909185,3.4903269712344205
59,7214.0,5275.0,1365.0,0.0025,0,0,0.0,0,0.0034115940645204797,0,0.0,0,0.0,0.38552378108909185,3.4880543110220175
60,12099.47,6411.755,1376.0,0.0025,0,1,0.6,0,0.10434091009928056,0,0.02702702702702703,0,0.04,0.786171356567926,3.4873288769247592
61,8435.15,5558.05,1340.28,0.0025,0,0,0.0,0,0.004233636570997522,0,0.0,0,0.0,0.38552378108909185,3.427890905387789
62,5545.507,6837.096,1156.639,0.026,0,0,0.0,0,0.00015652065622581894,0,0.0,0,0.0,1.1532947647043266,3.421716669203089
63,7316.0,5338.0,1373.0,0.0025,0,0,0.0,0,0.002285657775527848,0,0.0,0,0.0,0.3274420295532055,3.4108049980488317
64,11795.463,9115.365,1276.28,0.0025,0,0,0.0,0,0.0009522404930858346,0,0.0,0,0.0,0.38552378108909185,3.4018235801897765
65,17444.0,8340.0,1287.0,0.1,0,0,0.4,0,0.051271009151459705,0,0.0,0,0.24,1.1519413126655051,3.3992699599793585
66,5107.25,8319.5,361.0,0.087,0,0,0.0,0,0.0004799839991884871,0,0.0,0,0.02,0.7499293920838903,3.3815672275762947
67,8439.0,5192.0,1254.0,0.0025,0,0,0.0,0,0.0034238004901588097,0,0.0,0,0.0,0.28009205566249185,3.3707414879259243
68,9938.961,7979.888,1098.0,0.0025,0,0,0.0,0,0.0011371370679830568,0,0.0,0,0.0,0.27099200403208507,3.3648797675587057
69,5397.0,6603.0,1143.0,0.0025,0,0,0.0,0,0.0015226658138559803,0,0.0,0,0.0,0.38552378108909185,3.3631889043226035
70,14323.775,8943.012,1435.429,0.0025,0,0,0.0,0,0.028728615732629054,0,0.0,0,0.0,0.22467592041784817,3.358403483980142
71,6343.687,6864.89,1302.709,10.903,1,1,1.0,1,0.9999999704850833,1,1.0,1,0.98,3.7791813381517714,3.354928882655116
72,6358.081,8524.675,620.0,0.0025,0,0,0.0,0,0.0023217408872288816,0,0.0,0,0.0,1.3277400407895552,3.34972193521319
73,3191.0,6517.0,166.0,0.006,0,0,0.0,0,0.004569813674397239,0,0.03278688524590164,0,0.01,2.139780787919591,3.3332824308477202
74,5356.395,7056.879,907.18,0.0025,0,0,0.0,0,0.0033528852046452234,0,0.0,0,0.0,0.28009205566249185,3.2957629676997504
75,11263.732,7832.584,1230.37,0.0025,0,0,0.0,0,0.00032869068851092766,0,0.0,0,0.0,1.3074922699210423,3.294775455020888
76,10406.749,6048.345,1482.0,0.0025,0,0,0.0,0,0.004761168285050831,0,0.0,0,0.0,0.38552378108909185,3.2854631701285957
77,13009.704,6619.15,1544.27,0.0025,0,0,0.0,0,0.00400300194554932,0,0.0,0,0.0,0.38552378108909185,3.241032742960095
78,11899.552,10003.919,1357.18,0.0025,0,0,0.0,0,0.0008781225014082393,0,0.0,0,0.0,0.3270633553995527,3.234330926729825
79,5066.0,6581.0,1094.0,4.538,1,1,0.6,1,0.9999695175433458,1,1.0,1,0.78,1.452418246011122,3.2341893401727364
80,7830.852,9255.068,1008.92,0.0025,0,0,0.0,0,0.002145252739295792,0,0.0,0,0.0,1.4738986134548777,3.2320215019538
81,5660.019,6728.037,1156.639,0.0025,0,0,0.0,0,0.0020861435013780397,0,0.0,0,0.0,0.38552378108909185,3.218328689130872
82,10414.0,8808.0,1142.0,0.0025,0,0,0.0,0,0.0008901577012846105,0,0.02702702702702703,0,0.0,0.3251514733447335,3.199181003969248
83,11579.528,6845.732,1355.0,0.0025,0,0,0.0,0,0.005000788025769689,0,0.03278688524590164,0,0.01,0.7895535449084286,3.1398030973341373
84,7232.238,4423.497,923.0,0.0025,0,0,0.0,0,0.008201664912409541,0,0.0,0,0.0,0.2823718422498906,3.118007780715982
85,7169.087,5272.533,1387.149,0.005,0,0,0.0,0,0.0008873360680897207,0,0.0,0,0.0,1.3277400407895552,3.1082177226176237
86,8940.0,5296.0,1174.0,0.0025,0,0,0.0,0,0.008215632229206906,0,0.0,0,0.0,0.2823718422498907,3.0922082854060737
87,3932.176,6390.467,587.0,0.0025,0,0,0.0,0,0.006219339987801584,0,0.0,0,0.0,0.3979290805919188,3.0892529743955395
88,9291.764,6342.348,1418.24,0.0025,0,0,0.0,0,0.002390481949612882,0,0.0,0,0.0,0.38552378108909185,3.088861786085426
