Rank,East,North,Level,Au_ppm,Random_Forest_proba,Random_Forest_Regressor_pred_ppm
1,5671.99,6627.611,1284.399,0.742,1.0,0.8641533113038997
2,6343.687,6864.89,1302.709,10.903,0.98,10.511932575702762
3,6343.687,6864.89,1302.709,11.0,0.98,10.495681555898926
4,6352.596,6830.149,1352.149,132.245,0.97,81.85919438197384
5,6365.0,7602.0,924.0,74.766,0.97,43.31505552856851
6,6352.596,6830.149,1352.149,11.0,0.97,12.800120374993273
7,5671.274,6625.091,1218.0,2.35,0.97,1.5287769764879744
8,4924.965,6626.562,1066.0,6.953,0.96,3.5633201625412174
9,7668.103,7227.104,1273.0,2.625,0.96,2.167132608288285
10,5577.393,6763.242,1156.639,0.928,0.96,1.2581041397018686
11,6581.0,7080.0,1177.0,0.28,0.96,0.44396970702917665
12,6466.76,6960.407,1252.0,1.887,0.95,1.6679234199312072
13,7521.699,7263.314,1282.0,1.133,0.95,1.2757368712576762
14,7521.0,7266.0,1282.0,0.586,0.95,0.740333780822467
15,6342.393,6898.786,1302.709,12.985,0.94,11.103856560562917
16,6342.393,6898.786,1302.709,11.0,0.94,10.59769306476138
17,4930.0,6656.0,1036.0,1.738,0.94,1.446960294186383
18,5705.875,3342.532,1138.08,0.309,0.94,0.6922754182244995
19,4912.65,6713.0,1005.0,3.082,0.93,2.5058462187664414
20,4928.0,6654.0,1038.0,1.317,0.93,1.3087909623456948
21,5149.893,7419.615,659.0,0.923,0.93,0.9308119462618849
22,4913.899,6732.387,995.0,0.442,0.93,0.7825607809402182
23,5730.086,3349.171,1143.25,0.102,0.93,0.3155785739262846
24,7669.902,7218.467,1274.0,4.063,0.92,3.7144841854559116
25,5951.538,3707.239,993.34,0.532,0.92,0.7046564337087614
26,7538.573,7314.581,1266.0,0.134,0.92,0.38871337486115315
27,2579.966,2221.598,516.659,0.197,0.92,0.2640733519501029
28,6526.955,7843.95,941.609,6.736,0.91,5.027956903657426
29,4922.1,6645.0,1051.0,4.788,0.91,3.5448645685367155
30,5504.041,6986.029,1060.439,0.441,0.91,0.7071670983962108
31,5670.538,6624.916,1218.0,0.317,0.91,0.5390417070619662
32,5734.634,3345.364,1143.99,0.23,0.91,0.3763835533115959
33,6463.948,7037.448,1206.0,0.401,0.91,0.37355297254977177
34,4674.0,7389.0,549.0,1.181,0.9,2.0145206616755473
35,5635.487,3346.942,1112.64,0.204,0.9,0.47404747508781775
36,7474.034,7385.265,1266.0,0.167,0.9,0.4132584059217967
37,13083.354,7638.403,1385.0,16.681,0.89,8.397961912828826
38,5561.711,6797.572,1156.639,6.967,0.89,3.645149502532708
39,6530.685,7774.565,968.0,4.934,0.89,3.2831987549357096
40,6534.289,7776.823,941.609,4.41,0.89,3.075761260105584
41,7333.912,6515.929,1286.879,2.721,0.89,2.2397600989874444
42,6516.94,7262.883,1102.0,0.828,0.89,0.9095333028997187
43,6498.297,7316.089,1082.0,0.561,0.89,0.7982818583388978
44,5772.328,3350.648,1143.47,0.171,0.89,0.2543590802861234
45,6529.013,7791.281,941.609,13.986,0.88,8.125776738561157
46,5266.044,7286.197,716.069,2.02,0.88,1.7160136596564466
47,7347.0,7301.0,1265.0,2.376,0.88,1.4731474826558102
48,6972.504,4908.509,1047.699,0.187,0.88,0.9337394074705884
49,7449.0,7200.0,1290.0,0.364,0.88,0.5435291619523351
50,4653.335,6315.891,1063.0,0.246,0.88,0.5327660902651095
